Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
272,Niklas Stark,SV Werder Bremen,0.5,2.0,1086,17,GER
275,Lennard Maloney,1. FC Heidenheim 1846,0.5,1.0,2292,29,USA
275,Marco Friedl,SV Werder Bremen,0.5,1.0,2198,25,AUT
275,Mikkel Kaufmann,1. FC Union Berlin,0.5,1.0,479,18,DEN
278,Clemens Riedel,SV Darmstadt,0.5,0.0,754,14,GER
278,Edimilson Fernandes,1. FSV Mainz 05,0.5,0.0,1284,21,SUI
278,Emir Karic,SV Darmstadt,0.5,0.0,1781,27,AUT
278,Jakub Kaminski,VfL Wolfsburg,0.5,0.0,465,17,POL
278,Jessic Ngankam,1. FSV Mainz 05,0.5,0.0,450,22,GER
278,Niklas Dorsch,FC Augsburg,0.5,0.0,1387,21,GER
278,Pep Biel,FC Augsburg,0.5,0.0,274,11,ESP
278,Philipp Förster,VfL Bochum,0.5,0.0,378,13,GER
278,Sebastiaan Bornauw,VfL Wolfsburg,0.5,0.0,1431,20,BEL
278,Senne Lynen,SV Werder Bremen,0.5,0.0,1791,32,BEL
288,Janik Haberer,1. FC Union Berlin,0.4,1.0,1223,21,GER
288,Joseph Scally,Borussia Mönchengladbach,0.4,1.0,2236,31,USA
288,Lukas Nmecha,VfL Wolfsburg,0.4,1.0,39,3,GER
288,Mads Valentin Pedersen,FC Augsburg,0.4,1.0,1783,27,DEN
288,Matej Maglica,SV Darmstadt,0.4,1.0,1701,26,CRO
288,Mert Kömür,FC Augsburg,0.4,1.0,116,4,TUR
294,Amin Sarr,VfL Wolfsburg,0.4,0.0,377,14,SWE
294,Benno Schmitz,FC Köln,0.4,0.0,1154,22,GER
294,Christoph Zimmermann,SV Darmstadt,0.4,0.0,1216,19,GER
294,Finn Becker,TSG Hoffenheim,0.4,0.0,596,22,GER
294,Frans Krätzig,Bayern München,0.4,0.0,52,4,GER
294,Giovanni Reyna,Borussia Dortmund,0.4,0.0,271,11,USA
294,Norman Theuerkauf,1. FC Heidenheim 1846,0.4,0.0,1257,25,GER
294,Sebastian Polter,SV Darmstadt,0.4,0.0,444,9,GER
294,Sheraldo Becker,1. FC Union Berlin,0.4,0.0,649,11,SUR
294,Waldemar Anton,VfB Stuttgart,0.4,0.0,2888,33,GER
304,Milos Pantovic,1. FC Union Berlin,0.3,1.0,14,1,SRB
304,Niklas Süle,Borussia Dortmund,0.3,1.0,1509,23,GER
304,Noah Weisshaupt,SC Freiburg,0.3,1.0,744,24,GER
304,Odilon Kossounou,Bayer 04 Leverkusen,0.3,1.0,1812,22,CIV
308,Amos Pieper,SV Werder Bremen,0.3,0.0,591,7,GER
308,Arthur,Bayer 04 Leverkusen,0.3,0.0,184,4,BRA
308,Aster Vranckx,VfL Wolfsburg,0.3,0.0,1143,24,BEL
308,Bryan Zaragoza,Bayern München,0.3,0.0,178,7,ESP
308,David Jurasek,TSG Hoffenheim,0.3,0.0,490,13,CZE
308,Dawid Kownacki,SV Werder Bremen,0.3,0.0,366,22,POL
