Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
131,András Schäfer,1. FC Union Berlin,0.13,0.07,1218,20,HUN
132,Jan Thielmann,FC Köln,0.13,0.06,1588,22,GER
132,Leonardo Bittencourt,SV Werder Bremen,0.13,0.06,1585,29,GER
134,Arne Engels,FC Augsburg,0.12,0.19,1398,32,BEL
135,Matthijs de Ligt,Bayern München,0.12,0.13,1389,22,NED
136,Merlin Röhl,SC Freiburg,0.12,0.12,1483,24,GER
137,Piero Hincapié,Bayer 04 Leverkusen,0.12,0.06,1484,26,ECU
138,Alex Kral,1. FC Union Berlin,0.12,0.0,1365,24,CZE
139,Maximilian Wittek,VfL Bochum,0.11,0.25,1067,21,GER
140,Josha Vagnoman,VfB Stuttgart,0.1,0.15,1181,18,GER
141,Yannick Gerhardt,VfL Wolfsburg,0.1,0.11,1635,25,GER
142,Emre Can,Borussia Dortmund,0.1,0.09,1956,25,GER
143,Ellyes Skhiri,Eintracht Frankfurt,0.1,0.08,2169,27,TUN
144,Marius Bülter,TSG Hoffenheim,0.1,0.07,1346,30,GER
144,Robin Koch,Eintracht Frankfurt,0.1,0.07,2740,31,GER
144,Silvan Widmer,1. FSV Mainz 05,0.1,0.07,1243,20,SUI
147,Nico Schlotterbeck,Borussia Dortmund,0.1,0.06,2861,33,GER
147,Patrick Mainka,1. FC Heidenheim 1846,0.1,0.06,3060,34,GER
149,Josip Juranovic,1. FC Union Berlin,0.1,0.0,1290,21,CRO
150,Robin Gosens,1. FC Union Berlin,0.09,0.24,2297,30,GER
151,Keven Schlotterbeck,VfL Bochum,0.09,0.21,2184,27,GER
151,Niels Nkounkou,Eintracht Frankfurt,0.09,0.21,1301,29,FRA
151,Robert Andrich,Bayer 04 Leverkusen,0.09,0.21,1681,28,GER
154,Julian Ryerson,Borussia Dortmund,0.09,0.2,1772,21,NOR
155,Ozan Kabak,TSG Hoffenheim,0.09,0.16,2290,28,TUR
156,Aleksandar Pavlovic,Bayern München,0.09,0.15,1228,19,GER
157,Pavel Kaderabek,TSG Hoffenheim,0.09,0.11,2419,29,CZE
158,Dayot Upamecano,Bayern München,0.09,0.05,1763,25,FRA
158,Linton Maina,FC Köln,0.09,0.05,1904,31,GER
160,Benjamin Henrichs,RB Leipzig,0.09,0.04,2531,33,GER
161,Jakub Kaminski,VfL Wolfsburg,0.09,0.0,465,17,POL
161,Lucas Tousart,1. FC Union Berlin,0.09,0.0,1573,23,FRA
163,Julian Justvan,SV Darmstadt,0.08,0.17,1069,18,GER
163,Ko Itakura,Borussia Mönchengladbach,0.08,0.17,1598,20,JPN
165,Sepp van den Berg,1. FSV Mainz 05,0.08,0.1,2838,33,NED
166,Elvis Rexhbecaj,FC Augsburg,0.08,0.09,1994,25,GER
166,Milos Veljkovic,SV Werder Bremen,0.08,0.09,1921,23,SRB
168,Julian Weigl,Borussia Mönchengladbach,0.08,0.07,2766,31,GER
169,Iago,FC Augsburg,0.08,0.06,1622,23,BRA
170,Eric Martel,FC Köln,0.08,0.04,2464,30,GER
170,Ridle Baku,VfL Wolfsburg,0.08,0.04,2011,33,GER
172,Anthony Losilla,VfL Bochum,0.08,0.03,2586,31,FRA
172,Bernardo,VfL Bochum,0.08,0.03,2924,33,BRA
174,Dejan Ljubicic,FC Köln,0.08,0.0,2055,26,AUT
174,Denis Thomalla,1. FC Heidenheim 1846,0.08,0.0,432,21,GER
174,Florian Pick,1. FC Heidenheim 1846,0.08,0.0,315,22,GER
174,Noussair Mazraoui,Bayern München,0.08,0.0,1197,19,MAR
178,Jonathan Tah,Bayer 04 Leverkusen,0.07,0.14,2632,31,GER
179,Olivier Deman,SV Werder Bremen,0.07,0.13,1359,29,BEL
180,Amadou Haidara,RB Leipzig,0.07,0.12,1537,21,MLI
181,Patrick Osterhage,VfL Bochum,0.07,0.1,1863,24,GER
182,Anton Stach,TSG Hoffenheim,0.07,0.07,2497,33,GER
182,Janik Haberer,1. FC Union Berlin,0.07,0.07,1223,21,GER
184,Kouadio Koné,Borussia Mönchengladbach,0.07,0.06,1565,22,FRA
185,Dominik Kohr,1. FSV Mainz 05,0.07,0.04,2190,31,GER
185,Philipp Mwene,1. FSV Mainz 05,0.07,0.04,2003,23,AUT
187,Maximilian Eggestein,SC Freiburg,0.07,0.03,2918,33,GER
188,Cedric Zesiger,VfL Wolfsburg,0.07,0.0,1634,23,SUI
188,Matthias Ginter,SC Freiburg,0.07,0.0,1918,23,GER
190,Kristijan Jakic,FC Augsburg,0.06,0.14,1253,18,CRO
191,Fredrik Jensen,FC Augsburg,0.06,0.13,1350,22,FIN
192,Noah Weisshaupt,SC Freiburg,0.06,0.12,744,24,GER
193,Franck Honorat,Borussia Mönchengladbach,0.06,0.11,2358,32,FRA
194,Granit Xhaka,Bayer 04 Leverkusen,0.06,0.1,2828,33,SUI
194,Hugo Larsson,Eintracht Frankfurt,0.06,0.1,1885,29,SWE
196,Maximilian Wöber,Borussia Mönchengladbach,0.06,0.09,2070,25,AUT
197,Anthony Caci,1. FSV Mainz 05,0.06,0.07,2493,31,FRA
197,Nico Elvedi,Borussia Mönchengladbach,0.06,0.07,2485,30,SUI
199,Dan-Axel Zagadou,VfB Stuttgart,0.06,0.06,1453,19,FRA
200,Ivan Ordets,VfL Bochum,0.06,0.05,1879,24,UKR
200,Robin Knoche,1. FC Union Berlin,0.06,0.05,1916,24,GER
202,Benedikt Gimber,1. FC Heidenheim 1846,0.06,0.04,2026,24,GER
203,Angelo Stiller,VfB Stuttgart,0.06,0.03,2780,32,GER
204,Aissa Laidouni,1. FC Union Berlin,0.06,0.0,1064,23,TUN
204,Marius Wolf,Borussia Dortmund,0.06,0.0,1161,22,GER
204,Timo Hübers,FC Köln,0.06,0.0,2779,31,GER
207,Josip Stanisic,Bayer 04 Leverkusen,0.05,0.21,1257,20,CRO
208,Jan Schöppner,1. FC Heidenheim 1846,0.05,0.09,2000,26,GER
209,Christoph Klarer,SV Darmstadt,0.05,0.08,2356,30,AUT
209,Danilho Doekhi,1. FC Union Berlin,0.05,0.08,2160,24,NED
211,Joakim Mæhle,VfL Wolfsburg,0.05,0.07,2454,30,DEN
211,Tom Krauss,1. FSV Mainz 05,0.05,0.07,1339,29,GER
213,Fabian Nürnberger,SV Darmstadt,0.05,0.06,1519,21,GER
213,Felix Uduokhai,FC Augsburg,0.05,0.06,2922,33,GER
213,Lukas Klostermann,RB Leipzig,0.05,0.06,1433,25,GER
216,Max Finkgrafe,FC Köln,0.05,0.05,1756,24,GER
217,Florian Grillitsch,TSG Hoffenheim,0.05,0.04,2297,30,AUT
217,Joshua Kimmich,Bayern München,0.05,0.04,2185,28,GER
217,Manuel Gulde,SC Freiburg,0.05,0.04,2048,27,GER
220,Jeffrey Gouweleeuw,FC Augsburg,0.05,0.03,2594,30,NED
220,Tuta,Eintracht Frankfurt,0.05,0.03,2605,30,BRA
222,Felix Agu,SV Werder Bremen,0.05,0.0,1621,24,GER
222,Julian Chabot,FC Köln,0.05,0.0,2707,32,GER
222,Konrad Laimer,Bayern München,0.05,0.0,1770,29,AUT
222,Rasmus Carstensen,FC Köln,0.05,0.0,1658,23,DEN
222,Sebastiaan Bornauw,VfL Wolfsburg,0.05,0.0,1431,20,BEL
222,Waldemar Anton,VfB Stuttgart,0.05,0.0,2888,33,GER
228,Alphonso Davies,Bayern München,0.04,0.09,2067,29,CAN
228,Maximilian Mittelstaedt,VfB Stuttgart,0.04,0.09,2104,31,GER
230,Maximilian Arnold,VfL Wolfsburg,0.04,0.07,2503,30,GER
231,Mads Valentin Pedersen,FC Augsburg,0.04,0.05,1783,27,DEN
231,Matthias Bader,SV Darmstadt,0.04,0.05,1807,24,GER
231,Min-Jae Kim,Bayern München,0.04,0.05,1970,25,KOR
234,Atakan Karazor,VfB Stuttgart,0.04,0.0,2630,33,GER
234,Christian Gross,SV Werder Bremen,0.04,0.0,792,20,GER
234,Edimilson Fernandes,1. FSV Mainz 05,0.04,0.0,1284,21,SUI
234,Edmond Tapsoba,Bayer 04 Leverkusen,0.04,0.0,2084,28,BFA
234,Erhan Masovic,VfL Bochum,0.04,0.0,2218,29,SRB
234,Finn Becker,TSG Hoffenheim,0.04,0.0,596,22,GER
234,Hiroki Ito,VfB Stuttgart,0.04,0.0,2231,26,JPN
234,Jérome Roussillon,1. FC Union Berlin,0.04,0.0,743,23,FRA
234,Luca Netz,Borussia Mönchengladbach,0.04,0.0,2231,30,GER
234,Niklas Dorsch,FC Augsburg,0.04,0.0,1387,21,GER
234,Umut Tohumcu,TSG Hoffenheim,0.04,0.0,1012,20,GER
234,Willian Pacho,Eintracht Frankfurt,0.04,0.0,2970,33,ECU
234,Xaver Schlager,RB Leipzig,0.04,0.0,2482,29,AUT
247,Maxence Lacroix,VfL Wolfsburg,0.03,0.15,2364,28,FRA
248,Niklas Süle,Borussia Dortmund,0.03,0.06,1509,23,GER
249,Lukas Kübler,SC Freiburg,0.03,0.05,1848,26,GER
249,Matej Maglica,SV Darmstadt,0.03,0.05,1701,26,CRO
249,Odilon Kossounou,Bayer 04 Leverkusen,0.03,0.05,1812,22,CIV
252,Castello Lukeba,RB Leipzig,0.03,0.04,2185,32,FRA
252,Lennard Maloney,1. FC Heidenheim 1846,0.03,0.04,2292,29,USA
252,Nicolas Höfler,SC Freiburg,0.03,0.04,2332,28,GER
255,Christoph Zimmermann,SV Darmstadt,0.03,0.0,1216,19,GER
255,Christopher Trimmel,1. FC Union Berlin,0.03,0.0,1653,26,AUT
255,Danny da Costa,1. FSV Mainz 05,0.03,0.0,826,19,GER
255,Diogo Leite,1. FC Union Berlin,0.03,0.0,2708,32,POR
255,Fabian Holland,SV Darmstadt,0.03,0.0,1847,23,GER
255,Kilian Sildillia,SC Freiburg,0.03,0.0,1804,27,FRA
255,Klaus Gjasula,SV Darmstadt,0.03,0.0,1366,22,ALB
255,Leart Paqarada,FC Köln,0.03,0.0,1073,17,KVX
255,Marvin Friedrich,Borussia Mönchengladbach,0.03,0.0,1561,24,GER
255,Norman Theuerkauf,1. FC Heidenheim 1846,0.03,0.0,1257,25,GER
255,Pascal Stenzel,VfB Stuttgart,0.03,0.0,1068,23,GER
255,Rani Khedira,1. FC Union Berlin,0.03,0.0,1350,20,GER
255,Willi Orban,RB Leipzig,0.03,0.0,1583,19,HUN
268,Niklas Stark,SV Werder Bremen,0.02,0.17,1086,17,GER
269,David Raum,RB Leipzig,0.02,0.07,2743,31,GER
269,Philipp Max,Eintracht Frankfurt,0.02,0.07,1357,23,GER
271,Aurelio Buta,Eintracht Frankfurt,0.02,0.05,1744,30,POR
272,Joseph Scally,Borussia Mönchengladbach,0.02,0.04,2236,31,USA
273,Anthony Jung,SV Werder Bremen,0.02,0.03,2583,31,GER
274,Bartol Franjic,SV Darmstadt,0.02,0.0,1232,20,CRO
274,Benno Schmitz,FC Köln,0.02,0.0,1154,22,GER
274,Denis Huseinbasic,FC Köln,0.02,0.0,1627,26,BIH
274,Emir Karic,SV Darmstadt,0.02,0.0,1781,27,AUT
274,Jonas Föhrenbach,1. FC Heidenheim 1846,0.02,0.0,2790,33,GER
274,Jordy Makengo,SC Freiburg,0.02,0.0,1022,20,FRA
274,Kevin Akpoguma,TSG Hoffenheim,0.02,0.0,1095,17,NGA
274,Kevin Vogt,1. FC Union Berlin,0.02,0.0,2643,32,GER
274,Moritz Jenz,VfL Wolfsburg,0.02,0.0,1745,22,GER
274,Senne Lynen,SV Werder Bremen,0.02,0.0,1791,32,BEL
284,Kevin Kampl,RB Leipzig,0.01,0.07,1360,26,SVN
285,Marco Friedl,SV Werder Bremen,0.01,0.04,2198,25,AUT
286,Anthony Rouault,VfB Stuttgart,0.01,0.0,1008,22,FRA
286,Aster Vranckx,VfL Wolfsburg,0.01,0.0,1143,24,BEL
286,Cristian Gamboa,VfL Bochum,0.01,0.0,1187,22,CRC
286,Kevin Mbabu,FC Augsburg,0.01,0.0,2048,25,SUI
286,Omar Traoré,1. FC Heidenheim 1846,0.01,0.0,2474,31,GER
286,Salih Özcan,Borussia Dortmund,0.01,0.0,1179,23,TUR
292,Frederik Rønnow,1. FC Union Berlin,0.0,0.0,2970,33,DEN
292,Michael Zetterer,SV Werder Bremen,0.0,0.0,2430,27,GER
292,Robin Zentner,1. FSV Mainz 05,0.0,0.0,2700,30,GER
