Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
132,Ludovic Ajorque,1. FSV Mainz 05,0.5,2.1,1355,26,FRA
132,Pascal Stenzel,VfB Stuttgart,0.5,2.1,1068,23,GER
132,Tobias Kempe,SV Darmstadt,0.5,2.1,1351,24,GER
136,Donyell Malen,Borussia Dortmund,0.5,2.0,1783,27,NED
136,Kevin Volland,1. FC Union Berlin,0.5,2.0,1346,26,GER
138,Leart Paqarada,FC Köln,0.5,1.9,1073,17,KVX
139,Marcel Sabitzer,Borussia Dortmund,0.5,1.7,1964,25,AUT
140,Dawid Kownacki,SV Werder Bremen,0.5,1.5,366,22,POL
141,Jonas Wind,VfL Wolfsburg,0.5,1.0,2660,34,DEN
141,Victor Okoh Boniface,Bayer 04 Leverkusen,0.5,1.0,1553,23,NGA
143,Benjamin Sesko,RB Leipzig,0.5,0.6,1528,31,SVN
144,Ellyes Skhiri,Eintracht Frankfurt,0.4,3.9,2169,27,TUN
145,Robert Andrich,Bayer 04 Leverkusen,0.4,3.7,1681,28,GER
146,Denis Thomalla,1. FC Heidenheim 1846,0.4,2.9,432,21,GER
146,Hugo Larsson,Eintracht Frankfurt,0.4,2.9,1885,29,SWE
146,Nikola Dovedan,1. FC Heidenheim 1846,0.4,2.9,646,21,AUT
149,Aleksandar Pavlovic,Bayern München,0.4,2.8,1228,19,GER
149,Florian Kainz,FC Köln,0.4,2.8,2210,33,AUT
151,Anthony Losilla,VfL Bochum,0.4,2.6,2586,31,FRA
151,Felix Nmecha,Borussia Dortmund,0.4,2.6,1016,20,GER
153,Anthony Caci,1. FSV Mainz 05,0.4,2.5,2493,31,FRA
154,Julian Justvan,SV Darmstadt,0.4,2.4,1069,18,GER
155,Rasmus Carstensen,FC Köln,0.4,2.3,1658,23,DEN
156,Arne Engels,FC Augsburg,0.4,2.2,1398,32,BEL
156,Kevin Mbabu,FC Augsburg,0.4,2.2,2048,25,SUI
158,Erhan Masovic,VfL Bochum,0.4,2.1,2218,29,SRB
158,Fabian Nürnberger,SV Darmstadt,0.4,2.1,1519,21,GER
160,Amine Adli,Bayer 04 Leverkusen,0.4,2.0,890,23,MAR
160,Yussuf Poulsen,RB Leipzig,0.4,2.0,1209,28,DEN
162,Alassane Plea,Borussia Mönchengladbach,0.4,1.9,1925,27,FRA
162,Jan Thielmann,FC Köln,0.4,1.9,1588,22,GER
164,David Raum,RB Leipzig,0.4,1.8,2743,31,GER
