Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
140,Matthias Bader,SV Darmstadt,6.87,1.0,1807,24,GER
141,Anthony Jung,SV Werder Bremen,6.86,0.0,2583,31,GER
141,Leonardo Bittencourt,SV Werder Bremen,6.86,0.0,1585,29,GER
143,Niels Nkounkou,Eintracht Frankfurt,6.86,3.0,1301,29,FRA
144,Ozan Kabak,TSG Hoffenheim,6.85,1.0,2290,28,TUR
144,Tim Skarke,SV Darmstadt,6.85,1.0,2418,30,GER
146,Niklas Süle,Borussia Dortmund,6.85,0.0,1509,23,GER
146,Felix Nmecha,Borussia Dortmund,6.85,0.0,1016,20,GER
148,Gregor Kobel,Borussia Dortmund,6.85,1.0,2366,27,SUI
148,Fares Chaibi,Eintracht Frankfurt,6.85,1.0,1920,28,ALG
148,Felix Uduokhai,FC Augsburg,6.85,1.0,2922,33,GER
151,Kevin Kampl,RB Leipzig,6.84,0.0,1360,26,SVN
152,Eric Martel,FC Köln,6.84,3.0,2464,30,GER
153,Benjamin Sesko,RB Leipzig,6.84,1.0,1528,31,SVN
154,Maximilian Eggestein,SC Freiburg,6.83,1.0,2918,33,GER
155,Edimilson Fernandes,1. FSV Mainz 05,6.82,1.0,1284,21,SUI
156,Josha Vagnoman,VfB Stuttgart,6.82,0.0,1181,18,GER
157,Phillip Tietz,FC Augsburg,6.82,2.0,2405,34,GER
158,Elvis Rexhbecaj,FC Augsburg,6.81,0.0,1994,25,GER
159,Omar Traoré,1. FC Heidenheim 1846,6.8,0.0,2474,31,GER
159,Niklas Dorsch,FC Augsburg,6.8,0.0,1387,21,GER
159,Aster Vranckx,VfL Wolfsburg,6.8,0.0,1143,24,BEL
162,Ihlas Bebou,TSG Hoffenheim,6.79,1.0,1628,32,TOG
163,Kevin Paredes,VfL Wolfsburg,6.79,0.0,1429,28,USA
164,Ansgar Knauff,Eintracht Frankfurt,6.79,1.0,2117,31,GER
165,Ruben Vargas,FC Augsburg,6.79,0.0,1978,31,SUI
165,Philipp Max,Eintracht Frankfurt,6.79,0.0,1357,23,GER
167,Jamie Bynoe-Gittens,Borussia Dortmund,6.78,0.0,1059,25,ENG
167,Salih Özcan,Borussia Dortmund,6.78,0.0,1179,23,TUR
167,Roland Sallai,SC Freiburg,6.78,0.0,1850,27,HUN
170,Tom Krauss,1. FSV Mainz 05,6.77,0.0,1339,29,GER
170,Christopher Trimmel,1. FC Union Berlin,6.77,0.0,1653,26,AUT
170,Ko Itakura,Borussia Mönchengladbach,6.77,0.0,1598,20,JPN
173,András Schäfer,1. FC Union Berlin,6.77,1.0,1218,20,HUN
174,Matthias Ginter,SC Freiburg,6.77,0.0,1918,23,GER
174,Luca Netz,Borussia Mönchengladbach,6.77,0.0,2231,30,GER
176,Robin Zentner,1. FSV Mainz 05,6.76,1.0,2700,30,GER
176,Tobias Kempe,SV Darmstadt,6.76,1.0,1351,24,GER
178,Yannick Gerhardt,VfL Wolfsburg,6.76,2.0,1635,25,GER
179,Mathys Tel,Bayern München,6.76,0.0,1031,30,FRA
180,Olivier Deman,SV Werder Bremen,6.75,0.0,1359,29,BEL
181,Philipp Hofmann,VfL Bochum,6.75,1.0,1576,29,GER
182,Hugo Larsson,Eintracht Frankfurt,6.75,0.0,1885,29,SWE
182,Marius Wolf,Borussia Dortmund,6.75,0.0,1161,22,GER
184,Kevin Behrens,VfL Wolfsburg,6.75,1.0,1880,31,GER
185,Silvan Widmer,1. FSV Mainz 05,6.75,0.0,1243,20,SUI
185,Merlin Röhl,SC Freiburg,6.75,0.0,1483,24,GER
185,Fabian Holland,SV Darmstadt,6.75,0.0,1847,23,GER
188,Jamie Leweling,VfB Stuttgart,6.74,0.0,1519,34,GER
188,Diogo Leite,1. FC Union Berlin,6.74,0.0,2708,32,POR
188,Ridle Baku,VfL Wolfsburg,6.74,0.0,2011,33,GER
191,Janik Haberer,1. FC Union Berlin,6.73,1.0,1223,21,GER
192,Silas Katompa Mvumpa,VfB Stuttgart,6.72,0.0,890,27,COD
192,Mads Valentin Pedersen,FC Augsburg,6.72,0.0,1783,27,DEN
192,Lukas Klostermann,RB Leipzig,6.72,0.0,1433,25,GER
195,Frederik Rønnow,1. FC Union Berlin,6.71,3.0,2970,33,DEN
196,Lukas Kübler,SC Freiburg,6.7,0.0,1848,26,GER
196,Emir Karic,SV Darmstadt,6.7,0.0,1781,27,AUT
198,Danilho Doekhi,1. FC Union Berlin,6.7,1.0,2160,24,NED
199,Benedikt Gimber,1. FC Heidenheim 1846,6.69,1.0,2026,24,GER
200,Gian-Luca Waldschmidt,FC Köln,6.69,0.0,1151,22,GER
200,Rani Khedira,1. FC Union Berlin,6.69,0.0,1350,20,GER
200,Cristian Gamboa,VfL Bochum,6.69,0.0,1187,22,CRC
203,Alexander Nübel,VfB Stuttgart,6.68,1.0,2700,30,GER
204,Yussuf Poulsen,RB Leipzig,6.68,0.0,1209,28,DEN
205,Kilian Sildillia,SC Freiburg,6.68,1.0,1804,27,FRA
205,Manuel Riemann,VfL Bochum,6.68,1.0,2970,33,GER
205,Dejan Ljubicic,FC Köln,6.68,1.0,2055,26,AUT
208,Jordy Makengo,SC Freiburg,6.67,0.0,1022,20,FRA
208,Jordan Pefok,Borussia Mönchengladbach,6.67,0.0,1450,26,USA
208,Marvin Pieringer,1. FC Heidenheim 1846,6.67,0.0,1520,31,GER
211,Lucas Tousart,1. FC Union Berlin,6.66,0.0,1573,23,FRA
211,Woo-Yeong Jeong,VfB Stuttgart,6.66,0.0,618,26,KOR
211,Moritz Jenz,VfL Wolfsburg,6.66,0.0,1745,22,GER
214,Lennard Maloney,1. FC Heidenheim 1846,6.65,0.0,2292,29,USA
214,Aurelio Buta,Eintracht Frankfurt,6.65,0.0,1744,30,POR
216,Nick Woltemade,SV Werder Bremen,6.64,1.0,1182,30,GER
217,Davie Selke,FC Köln,6.63,0.0,1271,19,GER
217,Kevin Sessa,1. FC Heidenheim 1846,6.63,0.0,1001,30,GER
217,Kevin Vogt,1. FC Union Berlin,6.63,0.0,2643,32,GER
220,Adrian Beck,1. FC Heidenheim 1846,6.62,0.0,971,23,GER
220,Nathan N'Goumou,Borussia Mönchengladbach,6.62,0.0,1381,32,FRA
220,Jan Thielmann,FC Köln,6.62,0.0,1588,22,GER
223,Milos Veljkovic,SV Werder Bremen,6.62,1.0,1921,23,SRB
224,Noah Weisshaupt,SC Freiburg,6.61,0.0,744,24,GER
224,Jonas Föhrenbach,1. FC Heidenheim 1846,6.61,0.0,2790,33,GER
224,Karim Adeyemi,Borussia Dortmund,6.61,0.0,911,21,GER
224,Václav Cerny,VfL Wolfsburg,6.61,0.0,923,22,CZE
224,Denis Huseinbasic,FC Köln,6.61,0.0,1627,26,BIH
229,Norman Theuerkauf,1. FC Heidenheim 1846,6.6,0.0,1257,25,GER
230,Christoph Baumgartner,RB Leipzig,6.59,0.0,1149,32,AUT
230,Luca Pfeiffer,SV Darmstadt,6.59,0.0,1625,24,GER
232,Takuma Asano,VfL Bochum,6.58,2.0,2003,29,JPN
233,Finn Dahmen,FC Augsburg,6.58,1.0,2790,31,GER
234,Marius Bülter,TSG Hoffenheim,6.58,0.0,1346,30,GER
235,Umut Tohumcu,TSG Hoffenheim,6.57,0.0,1012,20,GER
