Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
93,Dion Drena Beljo,FC Augsburg,3.0,10.5,562,26,CRO
93,Leandro Barreiro,1. FSV Mainz 05,3.0,10.5,2606,31,LUX
93,Yannick Gerhardt,VfL Wolfsburg,3.0,10.5,1635,25,GER
96,Dani Olmo,RB Leipzig,3.0,8.9,1454,21,ESP
97,Kingsley Coman,Bayern München,3.0,8.8,1123,17,FRA
98,Aymen Barkok,1. FSV Mainz 05,3.0,8.3,312,13,MAR
99,Goncalo Paciencia,VfL Bochum,3.0,7.9,645,19,POR
100,Lennard Maloney,1. FC Heidenheim 1846,3.0,7.1,2292,29,USA
101,Gian-Luca Waldschmidt,FC Köln,3.0,7.0,1151,22,GER
102,Patrick Mainka,1. FC Heidenheim 1846,3.0,6.9,3060,34,GER
103,Iago,FC Augsburg,3.0,5.6,1622,23,BRA
103,Piero Hincapié,Bayer 04 Leverkusen,3.0,5.6,1484,26,ECU
105,Fares Chaibi,Eintracht Frankfurt,3.0,5.0,1920,28,ALG
106,Mathias Honsak,SV Darmstadt,3.0,4.4,1013,23,AUT
107,Tiago Tomás,VfL Wolfsburg,3.0,3.7,1029,26,POR
108,Leonardo Bittencourt,SV Werder Bremen,3.0,3.2,1585,29,GER
109,Benjamin Henrichs,RB Leipzig,3.0,2.9,2531,33,GER
110,Borja Iglesias,Bayer 04 Leverkusen,3.0,0.0,252,7,ESP
110,Jessic Ngankam,1. FSV Mainz 05,3.0,0.0,450,22,GER
110,Moritz-Broni Kwarteng,VfL Bochum,3.0,0.0,275,11,GER
110,Ramy Bensebaini,Borussia Dortmund,3.0,0.0,1030,17,ALG
110,Willian Pacho,Eintracht Frankfurt,3.0,0.0,2970,33,ECU
115,Nathan Tella,Bayer 04 Leverkusen,2.0,23.8,812,24,NGA
116,Timo Werner,RB Leipzig,2.0,22.2,204,8,GER
117,Ozan Kabak,TSG Hoffenheim,2.0,21.1,2290,28,TUR
118,Eren Dinkci,1. FC Heidenheim 1846,2.0,20.4,2672,33,TUR
119,Hugo Larsson,Eintracht Frankfurt,2.0,20.0,1885,29,SWE
120,Exequiel Palacios,Bayer 04 Leverkusen,2.0,19.1,1840,24,ARG
121,Keven Schlotterbeck,VfL Bochum,2.0,18.5,2184,27,GER
122,Davie Selke,FC Köln,2.0,18.2,1271,19,GER
122,John Anthony Brooks,TSG Hoffenheim,2.0,18.2,1539,21,USA
124,Robert Andrich,Bayer 04 Leverkusen,2.0,17.4,1681,28,GER
125,Emil Forsberg,RB Leipzig,2.0,16.7,460,14,SWE
125,Vincenzo Grifo,SC Freiburg,2.0,16.7,2344,32,ITA
127,Jan-Niklas Beste,1. FC Heidenheim 1846,2.0,16.3,2618,31,GER
127,Mathys Tel,Bayern München,2.0,16.3,1031,30,FRA
129,Jonathan Tah,Bayer 04 Leverkusen,2.0,15.4,2632,31,GER
130,Matthijs de Ligt,Bayern München,2.0,14.3,1389,22,NED
130,Philipp Lienhart,SC Freiburg,2.0,14.3,1265,15,AUT
130,Sven Michel,FC Augsburg,2.0,14.3,574,22,GER
133,Steffen Tigges,FC Köln,2.0,13.6,715,25,GER
134,Brajan Gruda,1. FSV Mainz 05,2.0,13.3,1651,28,GER
134,Hugo Ekitike,Eintracht Frankfurt,2.0,13.3,717,14,FRA
136,Robin Knoche,1. FC Union Berlin,2.0,12.5,1916,24,GER
137,Brenden Aaronson,1. FC Union Berlin,2.0,11.1,1263,30,USA
137,Marvin Pieringer,1. FC Heidenheim 1846,2.0,11.1,1520,31,GER
137,Nico Elvedi,Borussia Mönchengladbach,2.0,11.1,2485,30,SUI
137,Woo-Yeong Jeong,VfB Stuttgart,2.0,11.1,618,26,KOR
141,Franck Honorat,Borussia Mönchengladbach,2.0,10.7,2358,32,FRA
141,Leon Goretzka,Bayern München,2.0,10.7,2242,30,GER
143,Joakim Mæhle,VfL Wolfsburg,2.0,10.0,2454,30,DEN
144,Dayot Upamecano,Bayern München,2.0,9.1,1763,25,FRA
144,Nick Woltemade,SV Werder Bremen,2.0,9.1,1182,30,GER
146,Adrian Beck,1. FC Heidenheim 1846,2.0,8.3,971,23,GER
146,Max Finkgrafe,FC Köln,2.0,8.3,1756,24,GER
148,Mohamed Simakan,RB Leipzig,2.0,6.7,2139,32,FRA
149,Angelo Stiller,VfB Stuttgart,2.0,5.6,2780,32,GER
149,Tuta,Eintracht Frankfurt,2.0,5.6,2605,30,BRA
151,András Schäfer,1. FC Union Berlin,2.0,4.8,1218,20,HUN
151,Marius Bülter,TSG Hoffenheim,2.0,4.8,1346,30,GER
153,Felix Nmecha,Borussia Dortmund,2.0,4.4,1016,20,GER
154,Dominik Kohr,1. FSV Mainz 05,2.0,4.0,2190,31,GER
155,Eric Martel,FC Köln,2.0,3.7,2464,30,GER
155,Ridle Baku,VfL Wolfsburg,2.0,3.7,2011,33,GER
157,Bernardo,VfL Bochum,2.0,3.5,2924,33,BRA
158,Nadiem Amiri,1. FSV Mainz 05,2.0,2.6,1401,23,GER
159,Mattias Svanberg,VfL Wolfsburg,2.0,2.4,1725,25,SWE
160,Jamie Bynoe-Gittens,Borussia Dortmund,2.0,2.3,1059,25,ENG
161,Alex Kral,1. FC Union Berlin,2.0,0.0,1365,24,CZE
161,Dawid Kownacki,SV Werder Bremen,2.0,0.0,366,22,POL
161,Erhan Masovic,VfL Bochum,2.0,0.0,2218,29,SRB
161,Eric Dier,Bayern München,2.0,0.0,1166,15,ENG
161,Fabian Holland,SV Darmstadt,2.0,0.0,1847,23,GER
161,Felix Agu,SV Werder Bremen,2.0,0.0,1621,24,GER
161,Lucas Tousart,1. FC Union Berlin,2.0,0.0,1573,23,FRA
161,Marius Wolf,Borussia Dortmund,2.0,0.0,1161,22,GER
161,Marvin Friedrich,Borussia Mönchengladbach,2.0,0.0,1561,24,GER
161,Matthias Ginter,SC Freiburg,2.0,0.0,1918,23,GER
161,Pep Biel,FC Augsburg,2.0,0.0,274,11,ESP
161,Sheraldo Becker,1. FC Union Berlin,2.0,0.0,649,11,SUR
161,Timo Hübers,FC Köln,2.0,0.0,2779,31,GER
174,Lovro Zvonarek,Bayern München,1.0,100.0,160,5,CRO
175,Damion Downs,FC Köln,1.0,40.0,173,10,GER
176,Youssoufa Moukoko,Borussia Dortmund,1.0,35.7,614,20,GER
177,Josip Stanisic,Bayer 04 Leverkusen,1.0,30.0,1257,20,CRO
178,Andreas Hanche-Olsen,1. FSV Mainz 05,1.0,25.0,995,15,NOR
178,Maximilian Bauer,FC Augsburg,1.0,25.0,808,14,GER
178,Rogério,VfL Wolfsburg,1.0,25.0,906,13,BRA
181,Christoph Klarer,SV Darmstadt,1.0,22.2,2356,30,AUT
181,Julian Ryerson,Borussia Dortmund,1.0,22.2,1772,21,NOR
183,Nacho Ferri,Eintracht Frankfurt,1.0,20.0,68,8,ESP
183,Randal Kolo Muani,Eintracht Frankfurt,1.0,20.0,155,2,FRA
185,Rocco Reitz,Borussia Mönchengladbach,1.0,18.2,2141,34,GER
186,Christian Günter,SC Freiburg,1.0,16.7,1064,15,GER
186,Yannik Keitel,SC Freiburg,1.0,16.7,921,15,GER
188,Pavel Kaderabek,TSG Hoffenheim,1.0,15.8,2419,29,CZE
189,Arne Engels,FC Augsburg,1.0,15.0,1398,32,BEL
190,Oscar Vilhelmsson,SV Darmstadt,1.0,14.3,1375,26,SWE
190,Tobias Kempe,SV Darmstadt,1.0,14.3,1351,24,GER
192,Alejandro Grimaldo,Bayer 04 Leverkusen,1.0,14.1,2785,33,ESP
193,Danilho Doekhi,1. FC Union Berlin,1.0,12.5,2160,24,NED
193,Lukas Kübler,SC Freiburg,1.0,12.5,1848,26,GER
195,Emre Can,Borussia Dortmund,1.0,11.8,1956,25,GER
195,Olivier Deman,SV Werder Bremen,1.0,11.8,1359,29,BEL
197,Adam Hlozek,Bayer 04 Leverkusen,1.0,11.1,451,23,CZE
198,Julian Weigl,Borussia Mönchengladbach,1.0,10.5,2766,31,GER
198,Maximilian Wöber,Borussia Mönchengladbach,1.0,10.5,2070,25,AUT
200,Min-Jae Kim,Bayern München,1.0,10.0,1970,25,KOR
201,Robert Skov,TSG Hoffenheim,1.0,9.4,1261,25,DEN
202,Kevin Stöger,VfL Bochum,1.0,9.3,2678,32,AUT
203,Joseph Scally,Borussia Mönchengladbach,1.0,9.1,2236,31,USA
203,Patrick Osterhage,VfL Bochum,1.0,9.1,1863,24,GER
205,Marcel Sabitzer,Borussia Dortmund,1.0,8.5,1964,25,AUT
206,Manuel Gulde,SC Freiburg,1.0,8.3,2048,27,GER
207,Aaron Seydel,SV Darmstadt,1.0,7.1,615,16,GER
208,Christopher Antwi-Adjej,VfL Bochum,1.0,6.9,1216,25,GHA
209,Mitchell Weiser,SV Werder Bremen,1.0,6.8,2639,30,GER
210,Mikkel Kaufmann,1. FC Union Berlin,1.0,6.7,479,18,DEN
211,Anthony Caci,1. FSV Mainz 05,1.0,6.5,2493,31,FRA
212,Ivan Ordets,VfL Bochum,1.0,6.3,1879,24,UKR
213,Benedikt Gimber,1. FC Heidenheim 1846,1.0,5.6,2026,24,GER
214,Anton Stach,TSG Hoffenheim,1.0,5.0,2497,33,GER
215,Florian Grillitsch,TSG Hoffenheim,1.0,4.8,2297,30,AUT
216,Philipp Mwene,1. FSV Mainz 05,1.0,4.2,2003,23,AUT
217,Joshua Kimmich,Bayern München,1.0,4.0,2185,28,GER
218,Anthony Losilla,VfL Bochum,1.0,3.6,2586,31,FRA
219,Karim Onisiwo,1. FSV Mainz 05,1.0,3.0,1496,24,AUT
219,Linton Maina,FC Köln,1.0,3.0,1904,31,GER
221,Marco Richter,1. FSV Mainz 05,1.0,2.6,713,20,GER
222,Aissa Laidouni,1. FC Union Berlin,1.0,0.0,1064,23,TUN
222,Bouna Sarr,Bayern München,1.0,0.0,105,2,SEN
222,Braydon Manu,SV Darmstadt,1.0,0.0,171,4,GHA
222,Bryan Zaragoza,Bayern München,1.0,0.0,178,7,ESP
222,Cedric Zesiger,VfL Wolfsburg,1.0,0.0,1634,23,SUI
222,Dejan Ljubicic,FC Köln,1.0,0.0,2055,26,AUT
222,Diogo Leite,1. FC Union Berlin,1.0,0.0,2708,32,POR
222,Edmond Tapsoba,Bayer 04 Leverkusen,1.0,0.0,2084,28,BFA
222,Eljif Elmas,RB Leipzig,1.0,0.0,256,14,MKD
222,Fabio Torsiello,SV Darmstadt,1.0,0.0,147,10,ITA
222,Fraser Hornby,SV Darmstadt,1.0,0.0,214,7,SCO
222,Gerrit Holtmann,SV Darmstadt,1.0,0.0,388,10,PHI
222,Giovanni Reyna,Borussia Dortmund,1.0,0.0,271,11,USA
222,Jakub Kaminski,VfL Wolfsburg,1.0,0.0,465,17,POL
222,Jérome Roussillon,1. FC Union Berlin,1.0,0.0,743,23,FRA
222,Josip Juranovic,1. FC Union Berlin,1.0,0.0,1290,21,CRO
222,Julian Chabot,FC Köln,1.0,0.0,2707,32,GER
222,Kevin Akpoguma,TSG Hoffenheim,1.0,0.0,1095,17,NGA
222,Kevin Vogt,TSG Hoffenheim,1.0,0.0,2643,32,GER
222,Kilian Sildillia,SC Freiburg,1.0,0.0,1804,27,FRA
222,Klaus Gjasula,SV Darmstadt,1.0,0.0,1366,22,ALB
222,Konrad Laimer,Bayern München,1.0,0.0,1770,29,AUT
222,Luca Netz,Borussia Mönchengladbach,1.0,0.0,2231,30,GER
222,Luca Raimund,VfB Stuttgart,1.0,0.0,28,3,GER
222,Mergim Berisha,TSG Hoffenheim,1.0,0.0,263,8,GER
222,Merveille Papela,1. FSV Mainz 05,1.0,0.0,253,11,GER
222,Moritz Jenz,VfL Wolfsburg,1.0,0.0,1745,22,GER
222,Nelson Weiper,1. FSV Mainz 05,1.0,0.0,121,5,GER
222,Norman Theuerkauf,1. FC Heidenheim 1846,1.0,0.0,1257,25,GER
222,Noussair Mazraoui,Bayern München,1.0,0.0,1197,19,MAR
222,Rani Khedira,1. FC Union Berlin,1.0,0.0,1350,20,GER
222,Rasmus Carstensen,FC Köln,1.0,0.0,1658,23,DEN
222,Samuel Bamba,Borussia Dortmund,1.0,0.0,45,2,GER
222,Sebastiaan Bornauw,VfL Wolfsburg,1.0,0.0,1431,20,BEL
222,Sebastian Polter,SV Darmstadt,1.0,0.0,444,9,GER
222,Stefan Lainer,Borussia Mönchengladbach,1.0,0.0,749,15,AUT
222,Stefan Schimmer,1. FC Heidenheim 1846,1.0,0.0,141,16,GER
222,Waldemar Anton,VfB Stuttgart,1.0,0.0,2888,33,GER
222,Willi Orban,RB Leipzig,1.0,0.0,1583,19,HUN
222,Xaver Schlager,RB Leipzig,1.0,0.0,2482,29,AUT
