Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
114,Wout Weghorst,TSG Hoffenheim,3.0,3.0,1987,28,NED
122,András Schäfer,1. FC Union Berlin,3.0,2.0,1218,20,HUN
122,Anthony Rouault,VfB Stuttgart,3.0,2.0,1008,22,FRA
122,Christian Günter,SC Freiburg,3.0,2.0,1064,15,GER
122,Christopher Trimmel,1. FC Union Berlin,3.0,2.0,1653,26,AUT
122,Felix Passlack,VfL Bochum,3.0,2.0,966,15,GER
122,Hiroki Ito,VfB Stuttgart,3.0,2.0,2231,26,JPN
122,Hugo Ekitike,Eintracht Frankfurt,3.0,2.0,717,14,FRA
122,Ian Maatsen,Borussia Dortmund,3.0,2.0,1269,16,NED
122,Jan Schöppner,1. FC Heidenheim 1846,3.0,2.0,2000,26,GER
122,Josip Juranovic,1. FC Union Berlin,3.0,2.0,1290,21,CRO
122,Kevin Mbabu,FC Augsburg,3.0,2.0,2048,25,SUI
122,Matthias Bader,SV Darmstadt,3.0,2.0,1807,24,GER
122,Robert Andrich,Bayer 04 Leverkusen,3.0,2.0,1681,28,GER
122,Robin Hack,Borussia Mönchengladbach,3.0,2.0,1345,29,GER
122,Tobias Kempe,SV Darmstadt,3.0,2.0,1351,24,GER
122,Tuta,Eintracht Frankfurt,3.0,2.0,2605,30,BRA
122,Umut Tohumcu,TSG Hoffenheim,3.0,2.0,1012,20,GER
122,Yussuf Poulsen,RB Leipzig,3.0,2.0,1209,28,DEN
140,Ellyes Skhiri,Eintracht Frankfurt,3.0,1.0,2169,27,TUN
140,Goncalo Paciencia,VfL Bochum,3.0,1.0,645,19,POR
140,Hugo Larsson,Eintracht Frankfurt,3.0,1.0,1885,29,SWE
140,Karim Adeyemi,Borussia Dortmund,3.0,1.0,911,21,GER
140,Kevin Behrens,VfL Wolfsburg,3.0,1.0,1880,31,GER
140,Marius Wolf,Borussia Dortmund,3.0,1.0,1161,22,GER
140,Serge Gnabry,Bayern München,3.0,1.0,433,10,GER
147,Gian-Luca Waldschmidt,FC Köln,3.0,0.0,1151,22,GER
147,Jeffrey Gouweleeuw,FC Augsburg,3.0,0.0,2594,30,NED
147,Leart Paqarada,FC Köln,3.0,0.0,1073,17,KVX
147,Rafael Santos Borre,SV Werder Bremen,3.0,0.0,989,19,COL
147,Raphaël Guerreiro,Bayern München,3.0,0.0,1194,20,POR
147,Steffen Tigges,FC Köln,3.0,0.0,715,25,GER
153,Florian Grillitsch,TSG Hoffenheim,2.0,6.0,2297,30,AUT
154,Xaver Schlager,RB Leipzig,2.0,5.0,2482,29,AUT
155,Arne Maier,FC Augsburg,2.0,4.0,998,22,GER
156,Adam Hlozek,Bayer 04 Leverkusen,2.0,3.0,451,23,CZE
156,Luca Pfeiffer,SV Darmstadt,2.0,3.0,1625,24,GER
156,Maximilian Wöber,Borussia Mönchengladbach,2.0,3.0,2070,25,AUT
156,Waldemar Anton,VfB Stuttgart,2.0,3.0,2888,33,GER
160,Aleksandar Pavlovic,Bayern München,2.0,2.0,1228,19,GER
160,Anthony Losilla,VfL Bochum,2.0,2.0,2586,31,FRA
160,Christoph Klarer,SV Darmstadt,2.0,2.0,2356,30,AUT
160,Eric Maxim Choupo-Moting,Bayern München,2.0,2.0,703,27,CMR
160,Fabian Holland,SV Darmstadt,2.0,2.0,1847,23,GER
160,Jakub Kaminski,VfL Wolfsburg,2.0,2.0,465,17,POL
160,Josha Vagnoman,VfB Stuttgart,2.0,2.0,1181,18,GER
160,Julian Justvan,SV Darmstadt,2.0,2.0,1069,18,GER
160,Matthias Ginter,SC Freiburg,2.0,2.0,1918,23,GER
160,Nathan N'Goumou,Borussia Mönchengladbach,2.0,2.0,1381,32,FRA
160,Omar Traoré,1. FC Heidenheim 1846,2.0,2.0,2474,31,GER
160,Yorbe Vertessen,1. FC Union Berlin,2.0,2.0,593,13,BEL
172,Adrian Beck,1. FC Heidenheim 1846,2.0,1.0,971,23,GER
172,Amadou Haidara,RB Leipzig,2.0,1.0,1537,21,MLI
172,Anwar El-Ghazi,1. FSV Mainz 05,2.0,1.0,51,3,NED
172,Benedikt Gimber,1. FC Heidenheim 1846,2.0,1.0,2026,24,GER
172,Christoph Baumgartner,RB Leipzig,2.0,1.0,1149,32,AUT
172,Cristian Gamboa,VfL Bochum,2.0,1.0,1187,22,CRC
172,Danny da Costa,1. FSV Mainz 05,2.0,1.0,826,19,GER
172,Edmond Tapsoba,Bayer 04 Leverkusen,2.0,1.0,2084,28,BFA
172,Emil Forsberg,RB Leipzig,2.0,1.0,460,14,SWE
172,Florian Pick,1. FC Heidenheim 1846,2.0,1.0,315,22,GER
172,Josip Stanisic,Bayer 04 Leverkusen,2.0,1.0,1257,20,CRO
172,Kjell Wätjen,Borussia Dortmund,2.0,1.0,104,2,GER
172,Lennard Maloney,1. FC Heidenheim 1846,2.0,1.0,2292,29,USA
172,Mads Valentin Pedersen,FC Augsburg,2.0,1.0,1783,27,DEN
172,Mark Uth,FC Köln,2.0,1.0,369,11,GER
172,Mathias Honsak,SV Darmstadt,2.0,1.0,1013,23,AUT
172,Nikola Dovedan,1. FC Heidenheim 1846,2.0,1.0,646,21,AUT
172,Olivier Deman,SV Werder Bremen,2.0,1.0,1359,29,BEL
