Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
30,Pavel Kaderabek,TSG Hoffenheim,7.0,0.0,2419,29,CZE
30,Tim Skarke,SV Darmstadt,7.0,0.0,2418,30,GER
30,Waldemar Anton,VfB Stuttgart,7.0,0.0,2888,33,GER
30,Willian Pacho,Eintracht Frankfurt,7.0,0.0,2970,33,ECU
30,Xaver Schlager,RB Leipzig,7.0,0.0,2482,29,AUT
44,John Anthony Brooks,TSG Hoffenheim,6.0,1.0,1539,21,USA
45,Aleksandar Pavlovic,Bayern München,6.0,0.0,1228,19,GER
45,Aster Vranckx,VfL Wolfsburg,6.0,0.0,1143,24,BEL
45,Cristian Gamboa,VfL Bochum,6.0,0.0,1187,22,CRC
45,David Raum,RB Leipzig,6.0,0.0,2743,31,GER
45,Dejan Ljubicic,FC Köln,6.0,0.0,2055,26,AUT
45,Diogo Leite,1. FC Union Berlin,6.0,0.0,2708,32,POR
45,Eric Martel,FC Köln,6.0,0.0,2464,30,GER
45,Exequiel Palacios,Bayer 04 Leverkusen,6.0,0.0,1840,24,ARG
45,Jae-Sung Lee,1. FSV Mainz 05,6.0,0.0,2124,29,KOR
45,Jeremie Frimpong,Bayer 04 Leverkusen,6.0,0.0,2263,31,NED
45,Jonathan Tah,Bayer 04 Leverkusen,6.0,0.0,2632,31,GER
45,Marco Friedl,SV Werder Bremen,6.0,0.0,2198,25,AUT
45,Matus Bero,VfL Bochum,6.0,0.0,1665,24,SVK
45,Maximilian Eggestein,SC Freiburg,6.0,0.0,2918,33,GER
45,Roland Sallai,SC Freiburg,6.0,0.0,1850,27,HUN
45,Senne Lynen,SV Werder Bremen,6.0,0.0,1791,32,BEL
45,Tim Kleindienst,1. FC Heidenheim 1846,6.0,0.0,2874,33,GER
45,Timo Hübers,FC Köln,6.0,0.0,2779,31,GER
63,Ansgar Knauff,Eintracht Frankfurt,5.0,1.0,2117,31,GER
63,Jens Stage,SV Werder Bremen,5.0,1.0,2334,30,DEN
63,Mads Valentin Pedersen,FC Augsburg,5.0,1.0,1783,27,DEN
63,Moritz Jenz,VfL Wolfsburg,5.0,1.0,1745,22,GER
63,Rani Khedira,1. FC Union Berlin,5.0,1.0,1350,20,GER
68,Amadou Haidara,RB Leipzig,5.0,0.0,1537,21,MLI
68,Amine Adli,Bayer 04 Leverkusen,5.0,0.0,890,23,MAR
68,Andreas Hanche-Olsen,1. FSV Mainz 05,5.0,0.0,995,15,NOR
68,Angelo Stiller,VfB Stuttgart,5.0,0.0,2780,32,GER
68,Aurelio Buta,Eintracht Frankfurt,5.0,0.0,1744,30,POR
68,Bartol Franjic,SV Darmstadt,5.0,0.0,1232,20,CRO
68,Benjamin Henrichs,RB Leipzig,5.0,0.0,2531,33,GER
68,Benno Schmitz,FC Köln,5.0,0.0,1154,22,GER
68,Brajan Gruda,1. FSV Mainz 05,5.0,0.0,1651,28,GER
68,Cedric Zesiger,VfL Wolfsburg,5.0,0.0,1634,23,SUI
68,Christoph Zimmermann,SV Darmstadt,5.0,0.0,1216,19,GER
68,Christopher Antwi-Adjej,VfL Bochum,5.0,0.0,1216,25,GHA
68,Denis Huseinbasic,FC Köln,5.0,0.0,1627,26,BIH
68,Deniz Undav,VfB Stuttgart,5.0,0.0,2096,30,GER
68,Donyell Malen,Borussia Dortmund,5.0,0.0,1783,27,NED
68,Emre Can,Borussia Dortmund,5.0,0.0,1956,25,GER
68,Enzo Millot,VfB Stuttgart,5.0,0.0,2254,31,FRA
68,Eric Ebimbe,Eintracht Frankfurt,5.0,0.0,1967,31,FRA
68,Granit Xhaka,Bayer 04 Leverkusen,5.0,0.0,2828,33,SUI
68,Ian Maatsen,Borussia Dortmund,5.0,0.0,1269,16,NED
68,Jannik Müller,SV Darmstadt,5.0,0.0,1133,16,GER
68,Joakim Mæhle,VfL Wolfsburg,5.0,0.0,2454,30,DEN
68,Kevin Mbabu,FC Augsburg,5.0,0.0,2048,25,SUI
68,Kristijan Jakic,FC Augsburg,5.0,0.0,1253,18,CRO
68,Lovro Majer,VfL Wolfsburg,5.0,0.0,2116,32,CRO
68,Lucas Tousart,1. FC Union Berlin,5.0,0.0,1573,23,FRA
68,Manuel Riemann,VfL Bochum,5.0,0.0,2970,33,GER
68,Marvin Pieringer,1. FC Heidenheim 1846,5.0,0.0,1520,31,GER
68,Matthijs de Ligt,Bayern München,5.0,0.0,1389,22,NED
68,Maximilian Mittelstaedt,VfB Stuttgart,5.0,0.0,2104,31,GER
68,Mitchell Weiser,SV Werder Bremen,5.0,0.0,2639,30,GER
68,Nadiem Amiri,1. FSV Mainz 05,5.0,0.0,1401,23,GER
68,Nico Elvedi,Borussia Mönchengladbach,5.0,0.0,2485,30,SUI
