Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
57,Mathys Tel,Bayern München,1.6,2.0,1031,30,FRA
58,Adam Hlozek,Bayer 04 Leverkusen,1.6,1.0,451,23,CZE
58,András Schäfer,1. FC Union Berlin,1.6,1.0,1218,20,HUN
58,Phillip Tietz,FC Augsburg,1.6,1.0,2405,34,GER
61,Gian-Luca Waldschmidt,FC Köln,1.6,0.0,1151,22,GER
61,Yussuf Poulsen,RB Leipzig,1.6,0.0,1209,28,DEN
63,Keven Schlotterbeck,VfL Bochum,1.5,9.0,2184,27,GER
64,Mohamed Simakan,RB Leipzig,1.5,8.0,2139,32,FRA
65,Klaus Gjasula,SV Darmstadt,1.5,7.0,1366,22,ALB
66,Aleksandar Pavlovic,Bayern München,1.5,6.0,1228,19,GER
67,Bartol Franjic,SV Darmstadt,1.5,5.0,1232,20,CRO
67,Brajan Gruda,1. FSV Mainz 05,1.5,5.0,1651,28,GER
67,Denis Huseinbasic,FC Köln,1.5,5.0,1627,26,BIH
70,Faride Alidou,FC Köln,1.5,4.0,1284,26,GER
70,Jan Thielmann,FC Köln,1.5,4.0,1588,22,GER
70,Philipp Mwene,1. FSV Mainz 05,1.5,4.0,2003,23,AUT
73,Ruben Vargas,FC Augsburg,1.5,3.0,1978,31,SUI
74,Arne Engels,FC Augsburg,1.5,1.0,1398,32,BEL
75,Rafael Santos Borre,SV Werder Bremen,1.5,0.0,989,19,COL
76,Grischa Prömel,TSG Hoffenheim,1.4,8.0,2146,28,GER
77,Dejan Ljubicic,FC Köln,1.4,6.0,2055,26,AUT
77,Timo Hübers,FC Köln,1.4,6.0,2779,31,GER
79,Amine Adli,Bayer 04 Leverkusen,1.4,5.0,890,23,MAR
79,Ansgar Knauff,Eintracht Frankfurt,1.4,5.0,2117,31,GER
79,Enzo Millot,VfB Stuttgart,1.4,5.0,2254,31,FRA
82,Ivan Ordets,VfL Bochum,1.4,4.0,1879,24,UKR
82,Kevin Behrens,VfL Wolfsburg,1.4,4.0,1880,31,GER
84,Konrad Laimer,Bayern München,1.4,3.0,1770,29,AUT
85,Dion Drena Beljo,FC Augsburg,1.4,2.0,562,26,CRO
85,Kilian Sildillia,SC Freiburg,1.4,2.0,1804,27,FRA
87,Kevin Sessa,1. FC Heidenheim 1846,1.4,1.0,1001,30,GER
88,Nikola Dovedan,1. FC Heidenheim 1846,1.4,0.0,646,21,AUT
89,Anthony Losilla,VfL Bochum,1.3,10.0,2586,31,FRA
90,Maximilian Arnold,VfL Wolfsburg,1.3,9.0,2503,30,GER
91,Diogo Leite,1. FC Union Berlin,1.3,6.0,2708,32,POR
91,Marco Friedl,SV Werder Bremen,1.3,6.0,2198,25,AUT
93,Cedric Zesiger,VfL Wolfsburg,1.3,5.0,1634,23,SUI
93,Moritz Jenz,VfL Wolfsburg,1.3,5.0,1745,22,GER
95,Ikoma Lois Openda,RB Leipzig,1.3,4.0,2716,34,BEL
96,Goncalo Paciencia,VfL Bochum,1.3,3.0,645,19,POR
96,Ihlas Bebou,TSG Hoffenheim,1.3,3.0,1628,32,TOG
96,Jamie Leweling,VfB Stuttgart,1.3,3.0,1519,34,GER
96,Marco Richter,1. FSV Mainz 05,1.3,3.0,713,20,GER
100,Jamal Musiala,Bayern München,1.3,2.0,1766,24,GER
100,Ramy Bensebaini,Borussia Dortmund,1.3,2.0,1030,17,ALG
102,Adrian Beck,1. FC Heidenheim 1846,1.3,1.0,971,23,GER
102,Eric Maxim Choupo-Moting,Bayern München,1.3,1.0,703,27,CMR
102,Pascal Stenzel,VfB Stuttgart,1.3,1.0,1068,23,GER
105,Denis Thomalla,1. FC Heidenheim 1846,1.3,0.0,432,21,GER
105,Mikkel Kaufmann,1. FC Union Berlin,1.3,0.0,479,18,DEN
105,Silas Katompa Mvumpa,VfB Stuttgart,1.3,0.0,890,27,COD
108,Ozan Kabak,TSG Hoffenheim,1.2,9.0,2290,28,TUR
109,Anthony Caci,1. FSV Mainz 05,1.2,8.0,2493,31,FRA
109,Kevin Stöger,VfL Bochum,1.2,8.0,2678,32,AUT
111,Kevin Akpoguma,TSG Hoffenheim,1.2,7.0,1095,17,NGA
111,Tim Skarke,SV Darmstadt,1.2,7.0,2418,30,GER
111,Xaver Schlager,RB Leipzig,1.2,7.0,2482,29,AUT
114,Angelo Stiller,VfB Stuttgart,1.2,5.0,2780,32,GER
114,Aurelio Buta,Eintracht Frankfurt,1.2,5.0,1744,30,POR
114,Deniz Undav,VfB Stuttgart,1.2,5.0,2096,30,GER
114,Emre Can,Borussia Dortmund,1.2,5.0,1956,25,GER
114,Maximilian Mittelstaedt,VfB Stuttgart,1.2,5.0,2104,31,GER
114,Niklas Dorsch,FC Augsburg,1.2,5.0,1387,21,GER
120,Anton Stach,TSG Hoffenheim,1.2,4.0,2497,33,GER
120,Robert Andrich,Bayer 04 Leverkusen,1.2,4.0,1681,28,GER
122,Marvin Mehlem,SV Darmstadt,1.2,3.0,1491,20,GER
123,Marco Reus,Borussia Dortmund,1.2,2.0,1612,26,GER
123,Maximilian Wöber,Borussia Mönchengladbach,1.2,2.0,2070,25,AUT
123,Nathan Tella,Bayer 04 Leverkusen,1.2,2.0,812,24,NGA
126,Jordy Makengo,SC Freiburg,1.2,1.0,1022,20,FRA
126,Mathias Honsak,SV Darmstadt,1.2,1.0,1013,23,AUT
126,Youssoufa Moukoko,Borussia Dortmund,1.2,1.0,614,20,GER
129,Rasmus Carstensen,FC Köln,1.2,0.0,1658,23,DEN
130,Julian Weigl,Borussia Mönchengladbach,1.1,10.0,2766,31,GER
130,Nicolas Höfler,SC Freiburg,1.1,10.0,2332,28,GER
132,Christoph Klarer,SV Darmstadt,1.1,9.0,2356,30,AUT
132,Xavi Simons,RB Leipzig,1.1,9.0,2673,32,NED
134,Florian Grillitsch,TSG Hoffenheim,1.1,8.0,2297,30,AUT
135,Omar Marmoush,Eintracht Frankfurt,1.1,7.0,2310,29,EGY
135,Robin Gosens,1. FC Union Berlin,1.1,7.0,2297,30,GER
137,Cristian Gamboa,VfL Bochum,1.1,6.0,1187,22,CRC
137,Jonathan Tah,Bayer 04 Leverkusen,1.1,6.0,2632,31,GER
