Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
116,Brenden Aaronson,1. FC Union Berlin,0.5,38.9,1263,30,USA
117,Mohamed Simakan,RB Leipzig,0.5,36.7,2139,32,FRA
118,Arne Engels,FC Augsburg,0.5,35.0,1398,32,BEL
119,Marvin Mehlem,SV Darmstadt,0.5,34.8,1491,20,GER
120,Kouadio Koné,Borussia Mönchengladbach,0.5,33.3,1565,22,FRA
120,Linton Maina,FC Köln,0.5,33.3,1904,31,GER
120,Merlin Röhl,SC Freiburg,0.5,33.3,1483,24,GER
120,Raphaël Guerreiro,Bayern München,0.5,33.3,1194,20,POR
124,Lovro Majer,VfL Wolfsburg,0.5,32.4,2116,32,CRO
125,Niels Nkounkou,Eintracht Frankfurt,0.5,31.8,1301,29,FRA
126,Marvin Pieringer,1. FC Heidenheim 1846,0.5,29.6,1520,31,GER
127,Nick Woltemade,SV Werder Bremen,0.5,27.3,1182,30,GER
128,Mathias Honsak,SV Darmstadt,0.5,26.1,1013,23,AUT
129,Václav Cerny,VfL Wolfsburg,0.5,25.0,923,22,CZE
130,Arne Maier,FC Augsburg,0.5,22.7,998,22,GER
131,Robert Skov,TSG Hoffenheim,0.5,21.9,1261,25,DEN
132,Benno Schmitz,FC Köln,0.4,62.5,1154,22,GER
133,Josip Stanisic,Bayer 04 Leverkusen,0.4,50.0,1257,20,CRO
134,Julian Ryerson,Borussia Dortmund,0.4,44.4,1772,21,NOR
135,Iago,FC Augsburg,0.4,38.9,1622,23,BRA
136,Aissa Laidouni,1. FC Union Berlin,0.4,38.5,1064,23,TUN
137,Maximilian Arnold,VfL Wolfsburg,0.4,37.5,2503,30,GER
137,Philipp Mwene,1. FSV Mainz 05,0.4,37.5,2003,23,AUT
139,Franck Honorat,Borussia Mönchengladbach,0.4,35.7,2358,32,FRA
139,Kristijan Jakic,FC Augsburg,0.4,35.7,1253,18,CRO
141,Ko Itakura,Borussia Mönchengladbach,0.4,33.3,1598,20,JPN
141,Piero Hincapié,Bayer 04 Leverkusen,0.4,33.3,1484,26,ECU
141,Ridle Baku,VfL Wolfsburg,0.4,33.3,2011,33,GER
144,Florian Kainz,FC Köln,0.4,32.1,2210,33,AUT
145,Fabian Nürnberger,SV Darmstadt,0.4,31.6,1519,21,GER
146,Robin Gosens,1. FC Union Berlin,0.4,31.3,2297,30,GER
147,Granit Xhaka,Bayer 04 Leverkusen,0.4,31.1,2828,33,SUI
148,Mitchell Weiser,SV Werder Bremen,0.4,29.5,2639,30,GER
149,Marius Bülter,TSG Hoffenheim,0.4,28.6,1346,30,GER
150,Jens Stage,SV Werder Bremen,0.4,27.5,2334,30,DEN
151,Dejan Ljubicic,FC Köln,0.4,26.3,2055,26,AUT
152,Anton Stach,TSG Hoffenheim,0.4,25.0,2497,33,GER
153,András Schäfer,1. FC Union Berlin,0.4,23.8,1218,20,HUN
154,Karim Onisiwo,1. FSV Mainz 05,0.4,21.2,1496,24,AUT
155,Maxence Lacroix,VfL Wolfsburg,0.3,66.7,2364,28,FRA
156,Mario Götze,Eintracht Frankfurt,0.3,53.8,2075,30,GER
157,Ellyes Skhiri,Eintracht Frankfurt,0.3,44.4,2169,27,TUN
158,Sepp van den Berg,1. FSV Mainz 05,0.3,44.0,2838,33,NED
159,Leart Paqarada,FC Köln,0.3,40.0,1073,17,KVX
159,Sebastiaan Bornauw,VfL Wolfsburg,0.3,40.0,1431,20,BEL
161,Nico Elvedi,Borussia Mönchengladbach,0.3,38.9,2485,30,SUI
162,Jonathan Tah,Bayer 04 Leverkusen,0.3,38.5,2632,31,GER
163,Ivan Ordets,VfL Bochum,0.3,37.5,1879,24,UKR
