Rank,Player,Team,Blocks per 90,Total Blocks,Minutes,Matches,Country
159,Josip Juranovic,1. FC Union Berlin,0.2,3.0,1290,21,CRO
159,Josip Stanisic,Bayer 04 Leverkusen,0.2,3.0,1257,20,CRO
159,Mads Valentin Pedersen,FC Augsburg,0.2,3.0,1783,27,DEN
159,Marius Bülter,TSG Hoffenheim,0.2,3.0,1346,30,GER
159,Matus Bero,VfL Bochum,0.2,3.0,1665,24,SVK
159,Merlin Röhl,SC Freiburg,0.2,3.0,1483,24,GER
159,Salih Özcan,Borussia Dortmund,0.2,3.0,1179,23,TUR
159,Yussuf Poulsen,RB Leipzig,0.2,3.0,1209,28,DEN
172,Aissa Laidouni,1. FC Union Berlin,0.2,2.0,1064,23,TUN
172,Amine Adli,Bayer 04 Leverkusen,0.2,2.0,890,23,MAR
172,Arne Maier,FC Augsburg,0.2,2.0,998,22,GER
172,Jamie Bynoe-Gittens,Borussia Dortmund,0.2,2.0,1059,25,ENG
172,Julian Justvan,SV Darmstadt,0.2,2.0,1069,18,GER
172,Marius Wolf,Borussia Dortmund,0.2,2.0,1161,22,GER
172,Mathias Honsak,SV Darmstadt,0.2,2.0,1013,23,AUT
172,Rafael Santos Borre,SV Werder Bremen,0.2,2.0,989,19,COL
180,Adam Hlozek,Bayer 04 Leverkusen,0.2,1.0,451,23,CZE
180,Dawid Kownacki,SV Werder Bremen,0.2,1.0,366,22,POL
180,Dion Drena Beljo,FC Augsburg,0.2,1.0,562,26,CRO
180,Finn Becker,TSG Hoffenheim,0.2,1.0,596,22,GER
180,Jessic Ngankam,1. FSV Mainz 05,0.2,1.0,450,22,GER
185,Benjamin Henrichs,RB Leipzig,0.1,4.0,2531,33,GER
185,Eren Dinkci,1. FC Heidenheim 1846,0.1,4.0,2672,33,TUR
185,Harry Kane,Bayern München,0.1,4.0,2843,32,ENG
185,Jonas Wind,VfL Wolfsburg,0.1,4.0,2660,34,DEN
185,Kevin Stöger,VfL Bochum,0.1,4.0,2678,32,AUT
185,Maximilian Arnold,VfL Wolfsburg,0.1,4.0,2503,30,GER
191,Ansgar Knauff,Eintracht Frankfurt,0.1,3.0,2117,31,GER
191,Franck Honorat,Borussia Mönchengladbach,0.1,3.0,2358,32,FRA
191,Ikoma Lois Openda,RB Leipzig,0.1,3.0,2716,34,BEL
191,Julian Brandt,Borussia Dortmund,0.1,3.0,2230,32,GER
191,Mario Götze,Eintracht Frankfurt,0.1,3.0,2075,30,GER
191,Odilon Kossounou,Bayer 04 Leverkusen,0.1,3.0,1812,22,CIV
191,Philipp Mwene,1. FSV Mainz 05,0.1,3.0,2003,23,AUT
191,Phillip Tietz,FC Augsburg,0.1,3.0,2405,34,GER
191,Ritsu Doan,SC Freiburg,0.1,3.0,2253,30,JPN
191,Takuma Asano,VfL Bochum,0.1,3.0,2003,29,JPN
201,Andrej Kramaric,TSG Hoffenheim,0.1,2.0,2206,30,CRO
201,Benjamin Sesko,RB Leipzig,0.1,2.0,1528,31,SVN
201,Christopher Antwi-Adjej,VfL Bochum,0.1,2.0,1216,25,GHA
201,Dejan Ljubicic,FC Köln,0.1,2.0,2055,26,AUT
201,Enzo Millot,VfB Stuttgart,0.1,2.0,2254,31,FRA
201,Ermedin Demirovic,FC Augsburg,0.1,2.0,2879,33,BIH
201,Faride Alidou,FC Köln,0.1,2.0,1284,26,GER
201,Florian Wirtz,Bayer 04 Leverkusen,0.1,2.0,2377,32,GER
201,Ihlas Bebou,TSG Hoffenheim,0.1,2.0,1628,32,TOG
201,Jae-Sung Lee,1. FSV Mainz 05,0.1,2.0,2124,29,KOR
201,Kevin Behrens,1. FC Union Berlin,0.1,2.0,1880,31,GER
201,Kevin Paredes,VfL Wolfsburg,0.1,2.0,1429,28,USA
201,Ludovic Ajorque,1. FSV Mainz 05,0.1,2.0,1355,26,FRA
201,Marco Reus,Borussia Dortmund,0.1,2.0,1612,26,GER
201,Marvin Mehlem,SV Darmstadt,0.1,2.0,1491,20,GER
201,Moritz Broschinski,VfL Bochum,0.1,2.0,1242,26,GER
201,Nadiem Amiri,1. FSV Mainz 05,0.1,2.0,1401,23,GER
201,Niels Nkounkou,Eintracht Frankfurt,0.1,2.0,1301,29,FRA
201,Philipp Hofmann,VfL Bochum,0.1,2.0,1576,29,GER
201,Tim Skarke,SV Darmstadt,0.1,2.0,2418,30,GER
201,Yannick Gerhardt,VfL Wolfsburg,0.1,2.0,1635,25,GER
222,Arne Engels,FC Augsburg,0.1,1.0,1398,32,BEL
222,Brenden Aaronson,1. FC Union Berlin,0.1,1.0,1263,30,USA
222,Christoph Baumgartner,RB Leipzig,0.1,1.0,1149,32,AUT
222,Denis Huseinbasic,FC Köln,0.1,1.0,1627,26,BIH
222,Fabian Nürnberger,SV Darmstadt,0.1,1.0,1519,21,GER
222,Fredrik Jensen,FC Augsburg,0.1,1.0,1350,22,FIN
222,Jamal Musiala,Bayern München,0.1,1.0,1766,24,GER
222,Jamie Leweling,VfB Stuttgart,0.1,1.0,1519,34,GER
222,Justin Njinmah,SV Werder Bremen,0.1,1.0,1012,24,GER
222,Kevin Sessa,1. FC Heidenheim 1846,0.1,1.0,1001,30,GER
222,Kingsley Coman,Bayern München,0.1,1.0,1123,17,FRA
222,Kouadio Koné,Borussia Mönchengladbach,0.1,1.0,1565,22,FRA
222,Kristijan Jakic,FC Augsburg,0.1,1.0,1253,18,CRO
222,Leonardo Bittencourt,SV Werder Bremen,0.1,1.0,1585,29,GER
222,Luca Pfeiffer,SV Darmstadt,0.1,1.0,1625,24,GER
222,Maximilian Wittek,VfL Bochum,0.1,1.0,1067,21,GER
222,Noah Weisshaupt,SC Freiburg,0.1,1.0,744,24,GER
222,Noussair Mazraoui,Bayern München,0.1,1.0,1197,19,MAR
222,Philipp Max,Eintracht Frankfurt,0.1,1.0,1357,23,GER
222,Raphaël Guerreiro,Bayern München,0.1,1.0,1194,20,POR
222,Sargis Adamyan,FC Köln,0.1,1.0,797,20,ARM
222,Tomas Cvancara,Borussia Mönchengladbach,0.1,1.0,892,21,CZE
222,Umut Tohumcu,TSG Hoffenheim,0.1,1.0,1012,20,GER
222,Victor Okoh Boniface,Bayer 04 Leverkusen,0.1,1.0,1553,23,NGA
222,Youssoufa Moukoko,Borussia Dortmund,0.1,1.0,614,20,GER
247,Fares Chaibi,Eintracht Frankfurt,0.0,1.0,1920,28,ALG
247,Jan-Niklas Beste,1. FC Heidenheim 1846,0.0,1.0,2618,31,GER
247,Linton Maina,FC Köln,0.0,1.0,1904,31,GER
247,Lovro Majer,VfL Wolfsburg,0.0,1.0,2116,32,CRO
247,Maximilian Beier,TSG Hoffenheim,0.0,1.0,2431,33,GER
247,Ridle Baku,VfL Wolfsburg,0.0,1.0,2011,33,GER
247,Roland Sallai,SC Freiburg,0.0,1.0,1850,27,HUN
247,Serhou Guirassy,VfB Stuttgart,0.0,1.0,2212,28,GUI
247,Vincenzo Grifo,SC Freiburg,0.0,1.0,2344,32,ITA
