Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
114,Nick Woltemade,SV Werder Bremen,0.14,0.0,1182,30,GER
114,Patrik Schick,Bayer 04 Leverkusen,0.14,0.0,1064,20,CZE
117,Robert Skov,TSG Hoffenheim,0.13,0.3,1261,25,DEN
118,Jonas Wind,VfL Wolfsburg,0.13,0.2,2660,34,DEN
118,Mattias Svanberg,VfL Wolfsburg,0.13,0.2,1725,25,SWE
118,Merlin Röhl,SC Freiburg,0.13,0.2,1483,24,GER
118,Sven Michel,FC Augsburg,0.13,0.2,574,22,GER
122,Aleksandar Pavlovic,Bayern München,0.13,0.1,1228,19,GER
122,Anthony Caci,1. FSV Mainz 05,0.13,0.1,2493,31,FRA
122,Phillip Tietz,FC Augsburg,0.13,0.1,2405,34,GER
122,Robin Gosens,1. FC Union Berlin,0.13,0.1,2297,30,GER
122,Wout Weghorst,TSG Hoffenheim,0.13,0.1,1987,28,NED
127,Jessic Ngankam,1. FSV Mainz 05,0.13,0.0,450,22,GER
128,Ermedin Demirovic,FC Augsburg,0.12,0.3,2879,33,BIH
129,Jordan Pefok,Borussia Mönchengladbach,0.12,0.2,1450,26,USA
129,Luca Netz,Borussia Mönchengladbach,0.12,0.2,2231,30,GER
129,Sargis Adamyan,FC Köln,0.12,0.2,797,20,ARM
132,Ansgar Knauff,Eintracht Frankfurt,0.12,0.1,2117,31,GER
132,Christoph Baumgartner,RB Leipzig,0.12,0.1,1149,32,AUT
132,Eren Dinkci,1. FC Heidenheim 1846,0.12,0.1,2672,33,TUR
132,Josip Stanisic,Bayer 04 Leverkusen,0.12,0.1,1257,20,CRO
132,Mohamed Simakan,RB Leipzig,0.12,0.1,2139,32,FRA
132,Nikola Dovedan,1. FC Heidenheim 1846,0.12,0.1,646,21,AUT
132,Philipp Mwene,1. FSV Mainz 05,0.12,0.1,2003,23,AUT
132,Robert Andrich,Bayer 04 Leverkusen,0.12,0.1,1681,28,GER
140,Dion Drena Beljo,FC Augsburg,0.12,0.0,562,26,CRO
140,Kevin Paredes,VfL Wolfsburg,0.12,0.0,1429,28,USA
140,Maximilian Philipp,SC Freiburg,0.12,0.0,311,17,GER
143,Felix Nmecha,Borussia Dortmund,0.11,0.2,1016,20,GER
143,Josha Vagnoman,VfB Stuttgart,0.11,0.2,1181,18,GER
143,Xaver Schlager,RB Leipzig,0.11,0.2,2482,29,AUT
146,Arne Engels,FC Augsburg,0.11,0.1,1398,32,BEL
146,Mads Valentin Pedersen,FC Augsburg,0.11,0.1,1783,27,DEN
146,Rocco Reitz,Borussia Mönchengladbach,0.11,0.1,2141,34,GER
149,Ludovic Ajorque,1. FSV Mainz 05,0.11,0.0,1355,26,FRA
149,Maximilian Beier,TSG Hoffenheim,0.11,0.0,2431,33,GER
149,Tim Skarke,SV Darmstadt,0.11,0.0,2418,30,GER
152,Anthony Rouault,VfB Stuttgart,0.1,0.2,1008,22,FRA
153,Anton Stach,TSG Hoffenheim,0.1,0.1,2497,33,GER
153,Hiroki Ito,VfB Stuttgart,0.1,0.1,2231,26,JPN
153,Matus Bero,VfL Bochum,0.1,0.1,1665,24,SVK
153,Norman Theuerkauf,1. FC Heidenheim 1846,0.1,0.1,1257,25,GER
153,Yannick Gerhardt,VfL Wolfsburg,0.1,0.1,1635,25,GER
158,Benedict Hollerbach,1. FC Union Berlin,0.1,0.0,1283,28,GER
158,Emir Karic,SV Darmstadt,0.1,0.0,1781,27,AUT
158,Finn Becker,TSG Hoffenheim,0.1,0.0,596,22,GER
158,Kevin Behrens,VfL Wolfsburg,0.1,0.0,1880,31,GER
158,Kevin Kampl,RB Leipzig,0.1,0.0,1360,26,SVN
158,Youssoufa Moukoko,Borussia Dortmund,0.1,0.0,614,20,GER
164,Grischa Prömel,TSG Hoffenheim,0.09,0.2,2146,28,GER
164,Marvin Pieringer,1. FC Heidenheim 1846,0.09,0.2,1520,31,GER
166,Amadou Haidara,RB Leipzig,0.09,0.1,1537,21,MLI
166,Atakan Karazor,VfB Stuttgart,0.09,0.1,2630,33,GER
166,Aurelio Buta,Eintracht Frankfurt,0.09,0.1,1744,30,POR
166,Benno Schmitz,FC Köln,0.09,0.1,1154,22,GER
166,Dejan Ljubicic,FC Köln,0.09,0.1,2055,26,AUT
166,Jae-Sung Lee,1. FSV Mainz 05,0.09,0.1,2124,29,KOR
166,Janik Haberer,1. FC Union Berlin,0.09,0.1,1223,21,GER
166,Marvin Mehlem,SV Darmstadt,0.09,0.1,1491,20,GER
174,Steffen Tigges,FC Köln,0.09,0.0,715,25,GER
175,Karim Onisiwo,1. FSV Mainz 05,0.08,0.2,1496,24,AUT
176,Goncalo Paciencia,VfL Bochum,0.08,0.1,645,19,POR
176,Lucas Höler,SC Freiburg,0.08,0.1,2309,33,GER
176,Olivier Deman,SV Werder Bremen,0.08,0.1,1359,29,BEL
176,Philipp Hofmann,VfL Bochum,0.08,0.1,1576,29,GER
176,Tiago Tomás,VfL Wolfsburg,0.08,0.1,1029,26,POR
176,Tomas Cvancara,Borussia Mönchengladbach,0.08,0.1,892,21,CZE
182,Ellyes Skhiri,Eintracht Frankfurt,0.08,0.0,2169,27,TUN
182,Felix Agu,SV Werder Bremen,0.08,0.0,1621,24,GER
182,Ivan Ordets,VfL Bochum,0.08,0.0,1879,24,UKR
182,Kilian Sildillia,SC Freiburg,0.08,0.0,1804,27,FRA
182,Mats Hummels,Borussia Dortmund,0.08,0.0,1581,25,GER
182,Max Finkgrafe,FC Köln,0.08,0.0,1756,24,GER
182,Mikkel Kaufmann,1. FC Union Berlin,0.08,0.0,479,18,DEN
182,Odilon Kossounou,Bayer 04 Leverkusen,0.08,0.0,1812,22,CIV
182,Ramy Bensebaini,Borussia Dortmund,0.08,0.0,1030,17,ALG
191,Florian Grillitsch,TSG Hoffenheim,0.07,0.2,2297,30,AUT
191,Michael Gregoritsch,SC Freiburg,0.07,0.2,1684,32,AUT
193,András Schäfer,1. FC Union Berlin,0.07,0.1,1218,20,HUN
193,Benjamin Sesko,RB Leipzig,0.07,0.1,1528,31,SVN
193,Cristian Gamboa,VfL Bochum,0.07,0.1,1187,22,CRC
193,Fabian Holland,SV Darmstadt,0.07,0.1,1847,23,GER
193,Jérome Roussillon,1. FC Union Berlin,0.07,0.1,743,23,FRA
193,Kristijan Jakic,FC Augsburg,0.07,0.1,1253,18,CRO
193,Matthias Ginter,SC Freiburg,0.07,0.1,1918,23,GER
193,Moritz Broschinski,VfL Bochum,0.07,0.1,1242,26,GER
193,Omar Traoré,1. FC Heidenheim 1846,0.07,0.1,2474,31,GER
193,Tuta,Eintracht Frankfurt,0.07,0.1,2605,30,BRA
203,Hugo Larsson,Eintracht Frankfurt,0.07,0.0,1885,29,SWE
203,Jan Thielmann,FC Köln,0.07,0.0,1588,22,GER
203,Jens Stage,SV Werder Bremen,0.07,0.0,2334,30,DEN
203,Maximilian Eggestein,SC Freiburg,0.07,0.0,2918,33,GER
203,Ozan Kabak,TSG Hoffenheim,0.07,0.0,2290,28,TUR
208,Joseph Scally,Borussia Mönchengladbach,0.06,0.2,2236,31,USA
208,Luca Pfeiffer,SV Darmstadt,0.06,0.2,1625,24,GER
208,Senne Lynen,SV Werder Bremen,0.06,0.2,1791,32,BEL
211,Adrian Beck,1. FC Heidenheim 1846,0.06,0.1,971,23,GER
211,Emre Can,Borussia Dortmund,0.06,0.1,1956,25,GER
211,Jan Schöppner,1. FC Heidenheim 1846,0.06,0.1,2000,26,GER
211,Jonathan Burkardt,1. FSV Mainz 05,0.06,0.1,1541,21,GER
211,Mathias Honsak,SV Darmstadt,0.06,0.1,1013,23,AUT
211,Tim Kleindienst,1. FC Heidenheim 1846,0.06,0.1,2874,33,GER
217,Edmond Tapsoba,Bayer 04 Leverkusen,0.06,0.0,2084,28,BFA
217,Elvis Rexhbecaj,FC Augsburg,0.06,0.0,1994,25,GER
217,Jeffrey Gouweleeuw,FC Augsburg,0.06,0.0,2594,30,NED
217,Lukas Klostermann,RB Leipzig,0.06,0.0,1433,25,GER
217,Matej Maglica,SV Darmstadt,0.06,0.0,1701,26,CRO
217,Nico Schlotterbeck,Borussia Dortmund,0.06,0.0,2861,33,GER
217,Salih Özcan,Borussia Dortmund,0.06,0.0,1179,23,TUR
224,Nicolas Seiwald,RB Leipzig,0.05,0.3,708,21,AUT
225,Julian Weigl,Borussia Mönchengladbach,0.05,0.1,2766,31,GER
225,Maximilian Wöber,Borussia Mönchengladbach,0.05,0.1,2070,25,AUT
225,Piero Hincapié,Bayer 04 Leverkusen,0.05,0.1,1484,26,ECU
225,Tom Krauss,1. FSV Mainz 05,0.05,0.1,1339,29,GER
225,Waldemar Anton,VfB Stuttgart,0.05,0.1,2888,33,GER
225,Willian Pacho,Eintracht Frankfurt,0.05,0.1,2970,33,ECU
231,Benedikt Gimber,1. FC Heidenheim 1846,0.05,0.0,2026,24,GER
231,Dayot Upamecano,Bayern München,0.05,0.0,1763,25,FRA
231,Dominik Kohr,1. FSV Mainz 05,0.05,0.0,2190,31,GER
231,Faride Alidou,FC Köln,0.05,0.0,1284,26,GER
231,Jonas Föhrenbach,1. FC Heidenheim 1846,0.05,0.0,2790,33,GER
231,Jordy Makengo,SC Freiburg,0.05,0.0,1022,20,FRA
231,Julian Chabot,FC Köln,0.05,0.0,2707,32,GER
231,Klaus Gjasula,SV Darmstadt,0.05,0.0,1366,22,ALB
231,Lennard Maloney,1. FC Heidenheim 1846,0.05,0.0,2292,29,USA
231,Maxence Lacroix,VfL Wolfsburg,0.05,0.0,2364,28,FRA
231,Willi Orban,RB Leipzig,0.05,0.0,1583,19,HUN
242,Denis Huseinbasic,FC Köln,0.04,0.2,1627,26,BIH
243,Anthony Losilla,VfL Bochum,0.04,0.1,2586,31,FRA
243,Christian Gross,SV Werder Bremen,0.04,0.1,792,20,GER
243,Christoph Klarer,SV Darmstadt,0.04,0.1,2356,30,AUT
