Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
371,Jannik Müller,SV Darmstadt,2.0,0.2,1133,16,GER
371,Yannik Keitel,SC Freiburg,2.0,0.2,921,15,GER
374,Bartol Franjic,SV Darmstadt,2.0,0.1,1232,20,CRO
374,Marvin Schwäbe,FC Köln,2.0,0.1,3060,34,GER
374,Oliver Baumann,TSG Hoffenheim,2.0,0.1,3060,34,GER
377,Nathanaël Mbuku,FC Augsburg,1.0,22.5,4,1,FRA
378,Samuele di Benedetto,VfB Stuttgart,1.0,15.0,6,1,GER
379,Christian Kühlwetter,1. FC Heidenheim 1846,1.0,12.9,7,1,GER
380,Noah Mbamba,Bayer 04 Leverkusen,1.0,6.4,14,3,BEL
381,Isak Hansen-Aarøen,SV Werder Bremen,1.0,3.6,25,3,NOR
382,Shio Fukuda,Borussia Mönchengladbach,1.0,2.7,33,5,JPN
383,Gustavo Puerta,Bayer 04 Leverkusen,1.0,2.3,40,7,COL
383,Lukas Nmecha,VfL Wolfsburg,1.0,2.3,39,3,GER
385,Bambase Conte,TSG Hoffenheim,1.0,2.1,43,7,GER
386,Samuel Bamba,Borussia Dortmund,1.0,2.0,45,2,GER
387,Christopher Lenz,RB Leipzig,1.0,1.7,52,6,GER
387,Ole Pohlmann,Borussia Dortmund,1.0,1.7,52,2,GER
389,Sebastian Rode,Eintracht Frankfurt,1.0,1.6,57,8,GER
390,Dennis Geiger,TSG Hoffenheim,1.0,1.5,62,3,GER
391,Nacho Ferri,Eintracht Frankfurt,1.0,1.3,68,8,ESP
392,Roberto Massimo,VfB Stuttgart,1.0,1.1,79,5,GHA
393,Chukwubuike Adamu,SC Freiburg,1.0,1.0,93,15,AUT
394,Paxten Aaronson,Eintracht Frankfurt,1.0,0.9,95,7,USA
395,Mateu Morey,Borussia Dortmund,1.0,0.8,110,3,ESP
395,Mathias Olesen,FC Köln,1.0,0.8,107,6,LUX
395,Mert Kömür,FC Augsburg,1.0,0.8,116,4,TUR
398,Skelly Alvero,SV Werder Bremen,1.0,0.7,121,6,FRA
399,Fabio Chiarodia,Borussia Mönchengladbach,1.0,0.6,149,7,ITA
399,Stefan Schimmer,1. FC Heidenheim 1846,1.0,0.6,141,16,GER
401,Jens Grahl,Eintracht Frankfurt,1.0,0.5,180,2,GER
402,Andreas Müller,SV Darmstadt,1.0,0.3,341,11,GER
402,Hrvoje Smolcic,Eintracht Frankfurt,1.0,0.3,345,11,CRO
404,Josuha Guilavogui,1. FSV Mainz 05,1.0,0.2,407,11,FRA
404,Tim Drexler,TSG Hoffenheim,1.0,0.2,573,8,GER
406,Andreas Hanche-Olsen,1. FSV Mainz 05,1.0,0.1,995,15,NOR
406,Cedric Zesiger,VfL Wolfsburg,1.0,0.1,1634,23,SUI
406,Jonas Omlin,Borussia Mönchengladbach,1.0,0.1,630,7,SUI
406,Luca Kilian,FC Köln,1.0,0.1,632,13,GER
406,Stefan Bell,1. FSV Mainz 05,1.0,0.1,669,10,GER
406,Sven Ulreich,Bayern München,1.0,0.1,990,11,GER
406,Thomas Isherwood,SV Darmstadt,1.0,0.1,638,12,SWE
413,Finn Dahmen,FC Augsburg,1.0,0.0,2790,31,GER
413,Frederik Rønnow,1. FC Union Berlin,1.0,0.0,2970,33,DEN
413,Janis Blaswich,RB Leipzig,1.0,0.0,1890,21,GER
413,Kevin Müller,1. FC Heidenheim 1846,1.0,0.0,3060,34,GER
413,Koen Casteels,VfL Wolfsburg,1.0,0.0,2250,25,BEL
413,Marco Friedl,SV Werder Bremen,1.0,0.0,2198,25,AUT
413,Robin Zentner,1. FSV Mainz 05,1.0,0.0,2700,30,GER
