Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
70,Leonardo Bittencourt,SV Werder Bremen,26.0,1.5,1585,29,GER
71,Mattias Svanberg,VfL Wolfsburg,26.0,1.4,1725,25,SWE
72,Ruben Vargas,FC Augsburg,26.0,1.2,1978,31,SUI
73,Jadon Sancho,Borussia Dortmund,25.0,2.4,954,14,ENG
74,Robin Hack,Borussia Mönchengladbach,25.0,1.7,1345,29,GER
75,Konrad Laimer,Bayern München,25.0,1.3,1770,29,AUT
76,Jens Stage,SV Werder Bremen,25.0,1.0,2334,30,DEN
77,Anthony Caci,1. FSV Mainz 05,25.0,0.9,2493,31,FRA
78,Maximilian Eggestein,SC Freiburg,25.0,0.8,2918,33,GER
79,Maximilian Wittek,VfL Bochum,24.0,2.0,1067,21,GER
80,Christopher Antwi-Adjej,VfL Bochum,24.0,1.8,1216,25,GHA
80,Nick Woltemade,SV Werder Bremen,24.0,1.8,1182,30,GER
82,Kouadio Koné,Borussia Mönchengladbach,24.0,1.4,1565,22,FRA
83,Kevin Behrens,VfL Wolfsburg,24.0,1.1,1880,31,GER
84,Maximilian Beier,TSG Hoffenheim,24.0,0.9,2431,33,GER
85,Julian Weigl,Borussia Mönchengladbach,24.0,0.8,2766,31,GER
86,Julian Justvan,SV Darmstadt,23.0,1.9,1069,18,GER
87,Raphaël Guerreiro,Bayern München,23.0,1.7,1194,20,POR
88,Robert Skov,TSG Hoffenheim,23.0,1.6,1261,25,DEN
89,Jamie Leweling,VfB Stuttgart,23.0,1.4,1519,34,GER
90,Max Finkgrafe,FC Köln,23.0,1.2,1756,24,GER
91,Leart Paqarada,FC Köln,22.0,1.8,1073,17,KVX
92,Brenden Aaronson,1. FC Union Berlin,22.0,1.6,1263,30,USA
93,Jordan Pefok,Borussia Mönchengladbach,22.0,1.4,1450,26,USA
94,Marvin Mehlem,SV Darmstadt,22.0,1.3,1491,20,GER
94,Victor Okoh Boniface,Bayer 04 Leverkusen,22.0,1.3,1553,23,NGA
96,Robert Andrich,Bayer 04 Leverkusen,22.0,1.2,1681,28,GER
97,Donyell Malen,Borussia Dortmund,22.0,1.1,1783,27,NED
98,Marcel Sabitzer,Borussia Dortmund,22.0,1.0,1964,25,AUT
98,Philipp Mwene,1. FSV Mainz 05,22.0,1.0,2003,23,AUT
100,Joakim Mæhle,VfL Wolfsburg,22.0,0.8,2454,30,DEN
101,Amine Adli,Bayer 04 Leverkusen,21.0,2.1,890,23,MAR
102,Marius Bülter,TSG Hoffenheim,21.0,1.4,1346,30,GER
103,Emir Karic,SV Darmstadt,21.0,1.1,1781,27,AUT
104,Linton Maina,FC Köln,21.0,1.0,1904,31,GER
105,Grischa Prömel,TSG Hoffenheim,21.0,0.9,2146,28,GER
105,Takuma Asano,VfL Bochum,21.0,0.9,2003,29,JPN
107,Anton Stach,TSG Hoffenheim,21.0,0.8,2497,33,GER
108,Kevin Volland,1. FC Union Berlin,20.0,1.3,1346,26,GER
108,Philipp Max,Eintracht Frankfurt,20.0,1.3,1357,23,GER
110,Emre Can,Borussia Dortmund,20.0,0.9,1956,25,GER
110,Eric Ebimbe,Eintracht Frankfurt,20.0,0.9,1967,31,FRA
110,Kevin Mbabu,FC Augsburg,20.0,0.9,2048,25,SUI
113,Ellyes Skhiri,Eintracht Frankfurt,20.0,0.8,2169,27,TUN
113,Rocco Reitz,Borussia Mönchengladbach,20.0,0.8,2141,34,GER
115,Leandro Barreiro,1. FSV Mainz 05,20.0,0.7,2606,31,LUX
116,Florian Neuhaus,Borussia Mönchengladbach,19.0,1.4,1226,25,GER
117,Arne Engels,FC Augsburg,19.0,1.2,1398,32,BEL
117,Merlin Röhl,SC Freiburg,19.0,1.2,1483,24,GER
119,Luca Pfeiffer,SV Darmstadt,19.0,1.1,1625,24,GER
119,Philipp Hofmann,VfL Bochum,19.0,1.1,1576,29,GER
121,Hiroki Ito,VfB Stuttgart,19.0,0.8,2231,26,JPN
122,Anthony Losilla,VfL Bochum,19.0,0.7,2586,31,FRA
122,Florian Grillitsch,TSG Hoffenheim,19.0,0.7,2297,30,AUT
122,Omar Traoré,1. FC Heidenheim 1846,19.0,0.7,2474,31,GER
125,Christian Günter,SC Freiburg,18.0,1.5,1064,15,GER
125,Jamie Bynoe-Gittens,Borussia Dortmund,18.0,1.5,1059,25,ENG
127,András Schäfer,1. FC Union Berlin,18.0,1.3,1218,20,HUN
127,Edimilson Fernandes,1. FSV Mainz 05,18.0,1.3,1284,21,SUI
129,Matthias Bader,SV Darmstadt,18.0,0.9,1807,24,GER
130,Ansgar Knauff,Eintracht Frankfurt,18.0,0.8,2117,31,GER
131,Kevin Sessa,1. FC Heidenheim 1846,17.0,1.5,1001,30,GER
132,Gian-Luca Waldschmidt,FC Köln,17.0,1.3,1151,22,GER
133,Kevin Paredes,VfL Wolfsburg,17.0,1.1,1429,28,USA
134,Amadou Haidara,RB Leipzig,17.0,1.0,1537,21,MLI
135,Iago,FC Augsburg,17.0,0.9,1622,23,BRA
