Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
176,Salih Özcan,Borussia Dortmund,0.5,60.0,1179,23,TUR
179,Bartol Franjic,SV Darmstadt,0.5,53.8,1232,20,CRO
180,Jan Schöppner,1. FC Heidenheim 1846,0.5,50.0,2000,26,GER
180,Leandro Barreiro,1. FSV Mainz 05,0.5,50.0,2606,31,LUX
180,Steffen Tigges,FC Köln,0.5,50.0,715,25,GER
183,Lucas Höler,SC Freiburg,0.5,46.4,2309,33,GER
184,Grischa Prömel,TSG Hoffenheim,0.5,44.4,2146,28,GER
184,Tobias Kempe,SV Darmstadt,0.5,44.4,1351,24,GER
186,Marcel Sabitzer,Borussia Dortmund,0.5,42.3,1964,25,AUT
187,Phillip Tietz,FC Augsburg,0.5,35.1,2405,34,GER
188,Tomas Cvancara,Borussia Mönchengladbach,0.5,33.3,892,21,CZE
189,Christopher Antwi-Adjej,VfL Bochum,0.5,22.6,1216,25,GHA
190,Denis Thomalla,1. FC Heidenheim 1846,0.4,100.0,432,21,GER
191,Benedikt Gimber,1. FC Heidenheim 1846,0.4,88.9,2026,24,GER
192,Willian Pacho,Eintracht Frankfurt,0.4,85.7,2970,33,ECU
193,Edimilson Fernandes,1. FSV Mainz 05,0.4,75.0,1284,21,SUI
194,Ozan Kabak,TSG Hoffenheim,0.4,64.3,2290,28,TUR
195,Robert Andrich,Bayer 04 Leverkusen,0.4,63.6,1681,28,GER
196,Bernardo,VfL Bochum,0.4,57.1,2924,33,BRA
196,Fabian Holland,SV Darmstadt,0.4,57.1,1847,23,GER
198,Cristian Gamboa,VfL Bochum,0.4,55.6,1187,22,CRC
199,Arne Engels,FC Augsburg,0.4,54.5,1398,32,BEL
199,Philipp Max,Eintracht Frankfurt,0.4,54.5,1357,23,GER
201,Aleksandar Pavlovic,Bayern München,0.4,50.0,1228,19,GER
201,Davie Selke,FC Köln,0.4,50.0,1271,19,GER
201,Kristijan Jakic,FC Augsburg,0.4,50.0,1253,18,CRO
204,Joshua Kimmich,Bayern München,0.4,45.5,2185,28,GER
205,Jonas Wind,VfL Wolfsburg,0.4,44.8,2660,34,DEN
206,Marco Reus,Borussia Dortmund,0.4,44.4,1612,26,GER
207,Tuta,Eintracht Frankfurt,0.4,44.0,2605,30,BRA
208,Luca Pfeiffer,SV Darmstadt,0.4,43.8,1625,24,GER
209,Marvin Ducksch,SV Werder Bremen,0.4,42.9,2710,33,GER
210,Senne Lynen,SV Werder Bremen,0.4,42.1,1791,32,BEL
211,Benno Schmitz,FC Köln,0.4,41.7,1154,22,GER
212,Elvis Rexhbecaj,FC Augsburg,0.4,36.4,1994,25,GER
213,Joseph Scally,Borussia Mönchengladbach,0.4,35.5,2236,31,USA
214,Kevin Volland,1. FC Union Berlin,0.4,33.3,1346,26,GER
215,Sebastiaan Bornauw,VfL Wolfsburg,0.3,80.0,1431,20,BEL
216,Ko Itakura,Borussia Mönchengladbach,0.3,71.4,1598,20,JPN
217,Hiroki Ito,VfB Stuttgart,0.3,70.0,2231,26,JPN
217,Maximilian Arnold,VfL Wolfsburg,0.3,70.0,2503,30,GER
219,Christopher Trimmel,1. FC Union Berlin,0.3,66.7,1653,26,AUT
220,Dayot Upamecano,Bayern München,0.3,60.0,1763,25,FRA
221,Patrick Mainka,1. FC Heidenheim 1846,0.3,58.8,3060,34,GER
222,Rani Khedira,1. FC Union Berlin,0.3,57.1,1350,20,GER
223,Eric Martel,FC Köln,0.3,53.8,2464,30,GER
223,Jens Stage,SV Werder Bremen,0.3,53.8,2334,30,DEN
225,Nico Schlotterbeck,Borussia Dortmund,0.3,53.3,2861,33,GER
226,Julian Chabot,FC Köln,0.3,52.9,2707,32,GER
227,Alex Kral,1. FC Union Berlin,0.3,50.0,1365,24,CZE
