Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
105,Tom Krauss,1. FSV Mainz 05,1.8,27.0,1339,29,GER
106,Kevin Mbabu,FC Augsburg,1.8,42.0,2048,25,SUI
107,Yannick Gerhardt,VfL Wolfsburg,1.8,32.0,1635,25,GER
108,Alex Kral,1. FC Union Berlin,1.8,28.0,1365,24,CZE
109,Philipp Mwene,1. FSV Mainz 05,1.8,40.0,2003,23,AUT
110,Maximilian Wittek,VfL Bochum,1.8,21.0,1067,21,GER
111,Nicolas Seiwald,RB Leipzig,1.8,14.0,708,21,AUT
112,Niklas Dorsch,FC Augsburg,1.8,27.0,1387,21,GER
113,Anthony Losilla,VfL Bochum,1.7,49.0,2586,31,FRA
114,Aurelio Buta,Eintracht Frankfurt,1.7,32.0,1744,30,POR
115,Alphonso Davies,Bayern München,1.7,38.0,2067,29,CAN
116,Niels Nkounkou,Eintracht Frankfurt,1.7,24.0,1301,29,FRA
117,Ellyes Skhiri,Eintracht Frankfurt,1.7,42.0,2169,27,TUN
118,Jordan Pefok,Borussia Mönchengladbach,1.7,27.0,1450,26,USA
119,Emre Can,Borussia Dortmund,1.7,37.0,1956,25,GER
120,Josip Juranovic,1. FC Union Berlin,1.7,25.0,1290,21,CRO
121,Felix Nmecha,Borussia Dortmund,1.7,19.0,1016,20,GER
122,Noussair Mazraoui,Bayern München,1.7,23.0,1197,19,MAR
123,Ridle Baku,VfL Wolfsburg,1.6,36.0,2011,33,GER
124,Benjamin Sesko,RB Leipzig,1.6,27.0,1528,31,SVN
125,Eric Ebimbe,Eintracht Frankfurt,1.6,35.0,1967,31,FRA
126,Omar Traoré,1. FC Heidenheim 1846,1.6,45.0,2474,31,GER
127,Leon Goretzka,Bayern München,1.6,41.0,2242,30,GER
127,Nicolas Höfler,SC Freiburg,1.6,41.0,2332,28,GER
129,Robert Skov,TSG Hoffenheim,1.6,22.0,1261,25,DEN
130,Max Finkgrafe,FC Köln,1.6,32.0,1756,24,GER
131,András Schäfer,1. FC Union Berlin,1.6,22.0,1218,20,HUN
131,Josip Stanisic,Bayer 04 Leverkusen,1.6,22.0,1257,20,CRO
133,Grischa Prömel,TSG Hoffenheim,1.5,35.0,2146,28,GER
134,Kevin Paredes,VfL Wolfsburg,1.5,24.0,1429,28,USA
135,Marcel Sabitzer,Borussia Dortmund,1.5,33.0,1964,25,AUT
136,Finn Becker,TSG Hoffenheim,1.5,10.0,596,22,GER
137,Julian Ryerson,Borussia Dortmund,1.5,30.0,1772,21,NOR
