Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
116,Benjamin Henrichs,RB Leipzig,2.5,1.0,2531,33,GER
117,Hugo Ekitike,Eintracht Frankfurt,2.4,4.0,717,14,FRA
117,Rafael Santos Borre,SV Werder Bremen,2.4,4.0,989,19,COL
119,Raphaël Guerreiro,Bayern München,2.4,3.0,1194,20,POR
120,Julian Weigl,Borussia Mönchengladbach,2.4,2.0,2766,31,GER
120,Moritz Broschinski,VfL Bochum,2.4,2.0,1242,26,GER
120,Timo Werner,RB Leipzig,2.4,2.0,204,8,GER
123,Maximilian Eggestein,SC Freiburg,2.4,1.0,2918,33,GER
124,Václav Cerny,VfL Wolfsburg,2.3,4.0,923,22,CZE
125,Marvin Pieringer,1. FC Heidenheim 1846,2.3,3.0,1520,31,GER
126,Ellyes Skhiri,Eintracht Frankfurt,2.3,2.0,2169,27,TUN
127,Anthony Losilla,VfL Bochum,2.3,1.0,2586,31,FRA
127,Jan Thielmann,FC Köln,2.3,1.0,1588,22,GER
127,Karim Onisiwo,1. FSV Mainz 05,2.3,1.0,1496,24,AUT
127,Leonardo Bittencourt,SV Werder Bremen,2.3,1.0,1585,29,GER
127,Lukas Daschner,VfL Bochum,2.3,1.0,525,20,GER
127,Nadiem Amiri,1. FSV Mainz 05,2.3,1.0,1401,23,GER
133,Robin Gosens,1. FC Union Berlin,2.2,6.0,2297,30,GER
134,Ozan Kabak,TSG Hoffenheim,2.2,4.0,2290,28,TUR
135,Christopher Antwi-Adjej,VfL Bochum,2.2,2.0,1216,25,GHA
135,Emre Can,Borussia Dortmund,2.2,2.0,1956,25,GER
137,Eric Martel,FC Köln,2.2,1.0,2464,30,GER
137,Jamie Bynoe-Gittens,Borussia Dortmund,2.2,1.0,1059,25,ENG
139,Keven Schlotterbeck,VfL Bochum,2.1,5.0,2184,27,GER
140,Jonathan Tah,Bayer 04 Leverkusen,2.1,4.0,2632,31,GER
141,Jessic Ngankam,1. FSV Mainz 05,2.1,0.0,450,22,GER
142,Brenden Aaronson,1. FC Union Berlin,2.0,2.0,1263,30,USA
142,Merlin Röhl,SC Freiburg,2.0,2.0,1483,24,GER
144,Mark Uth,FC Köln,2.0,0.0,369,11,GER
145,Nikola Dovedan,1. FC Heidenheim 1846,1.9,3.0,646,21,AUT
146,Anton Stach,TSG Hoffenheim,1.9,2.0,2497,33,GER
146,Yannick Gerhardt,VfL Wolfsburg,1.9,2.0,1635,25,GER
148,Aymen Barkok,1. FSV Mainz 05,1.9,1.0,312,13,MAR
148,Linton Maina,FC Köln,1.9,1.0,1904,31,GER
148,Marco Richter,1. FSV Mainz 05,1.9,1.0,713,20,GER
148,Piero Hincapié,Bayer 04 Leverkusen,1.9,1.0,1484,26,ECU
152,Alex Kral,1. FC Union Berlin,1.9,0.0,1365,24,CZE
152,Dejan Ljubicic,FC Köln,1.9,0.0,2055,26,AUT
152,Ramy Bensebaini,Borussia Dortmund,1.9,0.0,1030,17,ALG
155,Julian Ryerson,Borussia Dortmund,1.8,4.0,1772,21,NOR
155,Robert Andrich,Bayer 04 Leverkusen,1.8,4.0,1681,28,GER
157,Arne Engels,FC Augsburg,1.8,3.0,1398,32,BEL
157,Granit Xhaka,Bayer 04 Leverkusen,1.8,3.0,2828,33,SUI
157,Robert Skov,TSG Hoffenheim,1.8,3.0,1261,25,DEN
