Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
35,Xaver Schlager,RB Leipzig,57.0,88.9,2482,29,AUT
36,Florian Wirtz,Bayer 04 Leverkusen,56.7,84.6,2377,32,GER
37,Alphonso Davies,Bayern München,56.2,88.9,2067,29,CAN
38,Maximilian Mittelstaedt,VfB Stuttgart,54.2,87.7,2104,31,GER
39,Ramy Bensebaini,Borussia Dortmund,54.2,83.0,1030,17,ALG
40,Mohamed Simakan,RB Leipzig,54.1,86.3,2139,32,FRA
41,Tuta,Eintracht Frankfurt,53.9,85.1,2605,30,BRA
42,Nico Elvedi,Borussia Mönchengladbach,53.3,88.8,2485,30,SUI
43,Anthony Jung,SV Werder Bremen,53.1,87.8,2583,31,GER
44,Pascal Stenzel,VfB Stuttgart,51.5,88.2,1068,23,GER
45,Salih Özcan,Borussia Dortmund,51.5,85.9,1179,23,TUR
46,Maximilian Wöber,Borussia Mönchengladbach,51.0,83.8,2070,25,AUT
47,Cedric Zesiger,VfL Wolfsburg,50.5,84.6,1634,23,SUI
48,Kevin Vogt,1. FC Union Berlin,49.5,87.8,2643,32,GER
49,Milos Veljkovic,SV Werder Bremen,49.5,83.6,1921,23,SRB
50,Kevin Akpoguma,TSG Hoffenheim,49.3,86.6,1095,17,NGA
51,Alejandro Grimaldo,Bayer 04 Leverkusen,49.2,87.2,2785,33,ESP
52,Enzo Millot,VfB Stuttgart,48.8,86.7,2254,31,FRA
53,Moritz Jenz,VfL Wolfsburg,48.4,88.3,1745,22,GER
54,Christian Gross,SV Werder Bremen,48.3,87.1,792,20,GER
55,Matthias Ginter,SC Freiburg,47.6,84.4,1918,23,GER
56,Timo Hübers,FC Köln,47.4,84.8,2779,31,GER
57,Jonas Hofmann,Bayer 04 Leverkusen,46.9,84.5,2214,32,GER
58,Maxence Lacroix,VfL Wolfsburg,46.6,85.2,2364,28,FRA
59,Sebastiaan Bornauw,VfL Wolfsburg,46.4,87.6,1431,20,BEL
60,Ozan Kabak,TSG Hoffenheim,45.5,85.5,2290,28,TUR
61,Julian Chabot,FC Köln,45.1,84.5,2707,32,GER
62,Maximilian Arnold,VfL Wolfsburg,45.0,85.5,2503,30,GER
63,Ko Itakura,Borussia Mönchengladbach,44.9,88.1,1598,20,JPN
64,Ellyes Skhiri,Eintracht Frankfurt,44.7,84.4,2169,27,TUN
65,Mario Götze,Eintracht Frankfurt,44.5,81.7,2075,30,GER
66,Marius Wolf,Borussia Dortmund,43.9,78.0,1161,22,GER
67,Julian Ryerson,Borussia Dortmund,43.4,88.4,1772,21,NOR
68,Robin Knoche,1. FC Union Berlin,43.4,81.1,1916,24,GER
69,John Anthony Brooks,TSG Hoffenheim,43.1,83.0,1539,21,USA
70,Julian Weigl,Borussia Mönchengladbach,42.5,89.3,2766,31,GER
71,Marvin Friedrich,Borussia Mönchengladbach,42.5,83.9,1561,24,GER
72,Diogo Leite,1. FC Union Berlin,41.5,80.5,2708,32,POR
73,Felix Uduokhai,FC Augsburg,41.4,81.7,2922,33,GER
74,David Raum,RB Leipzig,41.3,80.6,2743,31,GER
75,Kevin Stöger,VfL Bochum,41.3,71.8,2678,32,AUT
76,Manuel Gulde,SC Freiburg,41.2,86.3,2048,27,GER
77,Edimilson Fernandes,1. FSV Mainz 05,41.1,80.9,1284,21,SUI
78,Kingsley Coman,Bayern München,40.6,87.9,1123,17,FRA
79,Nicolas Seiwald,RB Leipzig,40.6,83.3,708,21,AUT
80,Amadou Haidara,RB Leipzig,40.5,84.5,1537,21,MLI
81,Klaus Gjasula,SV Darmstadt,40.3,83.2,1366,22,ALB
82,Emir Karic,SV Darmstadt,40.2,80.4,1781,27,AUT
83,Julian Brandt,Borussia Dortmund,40.0,87.2,2230,32,GER
84,Matej Maglica,SV Darmstadt,40.0,76.8,1701,26,CRO
85,Philipp Max,Eintracht Frankfurt,39.7,84.7,1357,23,GER
86,Christoph Klarer,SV Darmstadt,39.6,87.7,2356,30,AUT
87,Jeffrey Gouweleeuw,FC Augsburg,39.6,78.3,2594,30,NED
88,Hugo Larsson,Eintracht Frankfurt,39.5,87.1,1885,29,SWE
89,Woo-Yeong Jeong,VfB Stuttgart,39.3,85.4,618,26,KOR
90,Niklas Stark,SV Werder Bremen,39.2,79.9,1086,17,GER
91,Aster Vranckx,VfL Wolfsburg,39.1,86.4,1143,24,BEL
92,Nadiem Amiri,1. FSV Mainz 05,39.1,80.3,1401,23,GER
93,Marcel Sabitzer,Borussia Dortmund,38.8,83.0,1964,25,AUT
94,Benjamin Henrichs,RB Leipzig,38.7,79.5,2531,33,GER
95,Anton Stach,TSG Hoffenheim,38.3,80.6,2497,33,GER
96,Marco Friedl,SV Werder Bremen,37.9,86.8,2198,25,AUT
97,Nicolas Höfler,SC Freiburg,37.9,85.7,2332,28,GER
98,Patrick Mainka,1. FC Heidenheim 1846,37.8,83.0,3060,34,GER
99,Sepp van den Berg,1. FSV Mainz 05,37.7,81.3,2838,33,NED
100,Arne Maier,FC Augsburg,37.4,83.5,998,22,GER
101,Senne Lynen,SV Werder Bremen,37.4,82.9,1791,32,BEL
102,Joakim Mæhle,VfL Wolfsburg,37.3,82.4,2454,30,DEN
103,Aurelio Buta,Eintracht Frankfurt,37.3,80.8,1744,30,POR
104,Denis Huseinbasic,FC Köln,36.9,86.7,1627,26,BIH
