Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
109,Jae-Sung Lee,1. FSV Mainz 05,1.6,15.8,2124,29,KOR
110,Lovro Majer,VfL Wolfsburg,1.6,13.5,2116,32,CRO
111,Brajan Gruda,1. FSV Mainz 05,1.6,13.3,1651,28,GER
112,Enzo Millot,VfB Stuttgart,1.6,12.8,2254,31,FRA
113,Marvin Pieringer,1. FC Heidenheim 1846,1.6,11.1,1520,31,GER
114,András Schäfer,1. FC Union Berlin,1.6,4.8,1218,20,HUN
115,Matus Bero,VfL Bochum,1.6,3.3,1665,24,SVK
116,Linton Maina,FC Köln,1.6,3.0,1904,31,GER
117,Ritsu Doan,SC Freiburg,1.5,18.9,2253,30,JPN
118,Niels Nkounkou,Eintracht Frankfurt,1.5,13.6,1301,29,FRA
119,Julian Justvan,SV Darmstadt,1.5,11.1,1069,18,GER
120,Merlin Röhl,SC Freiburg,1.5,8.3,1483,24,GER
121,Jens Stage,SV Werder Bremen,1.5,7.5,2334,30,DEN
122,Mitchell Weiser,SV Werder Bremen,1.5,6.8,2639,30,GER
123,Rocco Reitz,Borussia Mönchengladbach,1.4,18.2,2141,34,GER
124,Raphaël Guerreiro,Bayern München,1.4,16.7,1194,20,POR
125,Tobias Kempe,SV Darmstadt,1.4,14.3,1351,24,GER
126,Marvin Mehlem,SV Darmstadt,1.4,13.0,1491,20,GER
127,Granit Xhaka,Bayer 04 Leverkusen,1.4,6.7,2828,33,SUI
128,Anton Stach,TSG Hoffenheim,1.4,5.0,2497,33,GER
129,Marius Bülter,TSG Hoffenheim,1.4,4.8,1346,30,GER
130,Kouadio Koné,Borussia Mönchengladbach,1.4,4.2,1565,22,FRA
131,Lucas Tousart,1. FC Union Berlin,1.4,0.0,1573,23,FRA
131,Ramy Bensebaini,Borussia Dortmund,1.4,0.0,1030,17,ALG
133,Julian Brandt,Borussia Dortmund,1.3,21.2,2230,32,GER
134,Lucas Höler,SC Freiburg,1.3,20.6,2309,33,GER
135,Robin Gosens,1. FC Union Berlin,1.3,18.8,2297,30,GER
136,Arne Engels,FC Augsburg,1.3,15.0,1398,32,BEL
137,Josha Vagnoman,VfB Stuttgart,1.3,11.8,1181,18,GER
138,Brenden Aaronson,1. FC Union Berlin,1.3,11.1,1263,30,USA
139,Leandro Barreiro,1. FSV Mainz 05,1.3,10.5,2606,31,LUX
139,Romano Schmid,SV Werder Bremen,1.3,10.5,2614,33,AUT
141,Elvis Rexhbecaj,FC Augsburg,1.3,6.9,1994,25,GER
142,Mohamed Simakan,RB Leipzig,1.3,6.7,2139,32,FRA
143,Tom Krauss,1. FSV Mainz 05,1.3,5.3,1339,29,GER
144,Umut Tohumcu,TSG Hoffenheim,1.3,0.0,1012,20,GER
145,Robert Andrich,Bayer 04 Leverkusen,1.2,17.4,1681,28,GER
146,Kevin Paredes,VfL Wolfsburg,1.2,15.8,1429,28,USA
147,Ko Itakura,Borussia Mönchengladbach,1.2,14.3,1598,20,JPN
148,Amadou Haidara,RB Leipzig,1.2,9.5,1537,21,MLI
149,Maximilian Arnold,VfL Wolfsburg,1.2,6.3,2503,30,GER
150,Ridle Baku,VfL Wolfsburg,1.2,3.7,2011,33,GER
151,Benjamin Henrichs,RB Leipzig,1.2,2.9,2531,33,GER
152,Maximilian Eggestein,SC Freiburg,1.2,2.6,2918,33,GER
153,Alex Kral,1. FC Union Berlin,1.2,0.0,1365,24,CZE
153,Pascal Stenzel,VfB Stuttgart,1.2,0.0,1068,23,GER
155,Keven Schlotterbeck,VfL Bochum,1.1,18.5,2184,27,GER
156,Florian Kainz,FC Köln,1.1,17.9,2210,33,AUT
157,Grischa Prömel,TSG Hoffenheim,1.1,15.4,2146,28,GER
158,Olivier Deman,SV Werder Bremen,1.1,11.8,1359,29,BEL
159,Franck Honorat,Borussia Mönchengladbach,1.1,10.7,2358,32,FRA
160,Patrick Osterhage,VfL Bochum,1.1,9.1,1863,24,GER
161,Adrian Beck,1. FC Heidenheim 1846,1.1,8.3,971,23,GER
162,Janik Haberer,1. FC Union Berlin,1.1,6.7,1223,21,GER
163,Anthony Caci,1. FSV Mainz 05,1.1,6.5,2493,31,FRA
164,Piero Hincapié,Bayer 04 Leverkusen,1.1,5.6,1484,26,ECU
165,Fabian Nürnberger,SV Darmstadt,1.1,5.3,1519,21,GER
166,Philipp Mwene,1. FSV Mainz 05,1.1,4.2,2003,23,AUT
167,Aissa Laidouni,1. FC Union Berlin,1.1,0.0,1064,23,TUN
167,Edimilson Fernandes,1. FSV Mainz 05,1.1,0.0,1284,21,SUI
169,Exequiel Palacios,Bayer 04 Leverkusen,1.0,19.1,1840,24,ARG
170,Kristijan Jakic,FC Augsburg,1.0,14.3,1253,18,CRO
171,Yannick Gerhardt,VfL Wolfsburg,1.0,10.5,1635,25,GER
172,Silvan Widmer,1. FSV Mainz 05,1.0,7.1,1243,20,SUI
173,Iago,FC Augsburg,1.0,5.6,1622,23,BRA
174,Dominik Kohr,1. FSV Mainz 05,1.0,4.0,2190,31,GER
174,Joshua Kimmich,Bayern München,1.0,4.0,2185,28,GER
176,Eric Martel,FC Köln,1.0,3.7,2464,30,GER
177,Anthony Losilla,VfL Bochum,1.0,3.6,2586,31,FRA
178,Julian Ryerson,Borussia Dortmund,0.9,22.2,1772,21,NOR
179,Mats Hummels,Borussia Dortmund,0.9,18.8,1581,25,GER
180,Jonathan Tah,Bayer 04 Leverkusen,0.9,15.4,2632,31,GER
181,Fredrik Jensen,FC Augsburg,0.9,14.3,1350,22,FIN
181,Matthijs de Ligt,Bayern München,0.9,14.3,1389,22,NED
183,Maximilian Mittelstaedt,VfB Stuttgart,0.9,9.5,2104,31,GER
184,Patrick Mainka,1. FC Heidenheim 1846,0.9,6.9,3060,34,GER
185,Bernardo,VfL Bochum,0.9,3.5,2924,33,BRA
186,Cedric Zesiger,VfL Wolfsburg,0.9,0.0,1634,23,SUI
186,Finn Becker,TSG Hoffenheim,0.9,0.0,596,22,GER
186,Konrad Laimer,Bayern München,0.9,0.0,1770,29,AUT
186,Niklas Dorsch,FC Augsburg,0.9,0.0,1387,21,GER
186,Noussair Mazraoui,Bayern München,0.9,0.0,1197,19,MAR
186,Waldemar Anton,VfB Stuttgart,0.9,0.0,2888,33,GER
192,Sepp van den Berg,1. FSV Mainz 05,0.8,12.0,2838,33,NED
193,Emre Can,Borussia Dortmund,0.8,11.8,1956,25,GER
193,Jan Schöppner,1. FC Heidenheim 1846,0.8,11.8,2000,26,GER
195,Maximilian Wöber,Borussia Mönchengladbach,0.8,10.5,2070,25,AUT
196,Robin Koch,Eintracht Frankfurt,0.8,8.3,2740,31,GER
197,Nico Schlotterbeck,Borussia Dortmund,0.8,7.4,2861,33,GER
198,Ivan Ordets,VfL Bochum,0.8,6.3,1879,24,UKR
199,Matthias Bader,SV Darmstadt,0.8,5.9,1807,24,GER
200,Benedikt Gimber,1. FC Heidenheim 1846,0.8,5.6,2026,24,GER
201,Florian Grillitsch,TSG Hoffenheim,0.8,4.8,2297,30,AUT
202,Jeffrey Gouweleeuw,FC Augsburg,0.8,4.4,2594,30,NED
203,Jérome Roussillon,1. FC Union Berlin,0.8,0.0,743,23,FRA
203,Josip Juranovic,1. FC Union Berlin,0.8,0.0,1290,21,CRO
203,Leart Paqarada,FC Köln,0.8,0.0,1073,17,KVX
203,Xaver Schlager,RB Leipzig,0.8,0.0,2482,29,AUT
207,Josip Stanisic,Bayer 04 Leverkusen,0.7,30.0,1257,20,CRO
208,Ozan Kabak,TSG Hoffenheim,0.7,21.1,2290,28,TUR
209,Pavel Kaderabek,TSG Hoffenheim,0.7,15.8,2419,29,CZE
210,Danilho Doekhi,1. FC Union Berlin,0.7,12.5,2160,24,NED
211,Ellyes Skhiri,Eintracht Frankfurt,0.7,11.1,2169,27,TUN
211,Nico Elvedi,Borussia Mönchengladbach,0.7,11.1,2485,30,SUI
213,Joakim Mæhle,VfL Wolfsburg,0.7,10.0,2454,30,DEN
214,Dan-Axel Zagadou,VfB Stuttgart,0.7,9.1,1453,19,FRA
215,Aurelio Buta,Eintracht Frankfurt,0.7,7.7,1744,30,POR
215,Mads Valentin Pedersen,FC Augsburg,0.7,7.7,1783,27,DEN
217,Atakan Karazor,VfB Stuttgart,0.7,0.0,2630,33,GER
217,Danny da Costa,1. FSV Mainz 05,0.7,0.0,826,19,GER
217,Denis Huseinbasic,FC Köln,0.7,0.0,1627,26,BIH
217,Erhan Masovic,VfL Bochum,0.7,0.0,2218,29,SRB
217,Hiroki Ito,VfB Stuttgart,0.7,0.0,2231,26,JPN
217,Luca Netz,Borussia Mönchengladbach,0.7,0.0,2231,30,GER
217,Marius Wolf,Borussia Dortmund,0.7,0.0,1161,22,GER
217,Marvin Friedrich,Borussia Mönchengladbach,0.7,0.0,1561,24,GER
217,Timo Hübers,FC Köln,0.7,0.0,2779,31,GER
226,Aleksandar Pavlovic,Bayern München,0.6,25.0,1228,19,GER
227,Mario Götze,Eintracht Frankfurt,0.6,23.1,2075,30,GER
228,John Anthony Brooks,TSG Hoffenheim,0.6,18.2,1539,21,USA
229,Alphonso Davies,Bayern München,0.6,15.4,2067,29,CAN
230,Julian Weigl,Borussia Mönchengladbach,0.6,10.5,2766,31,GER
231,Dayot Upamecano,Bayern München,0.6,9.1,1763,25,FRA
232,Max Finkgrafe,FC Köln,0.6,8.3,1756,24,GER
233,Nicolas Höfler,SC Freiburg,0.6,6.3,2332,28,GER
234,Angelo Stiller,VfB Stuttgart,0.6,5.6,2780,32,GER
234,Tuta,Eintracht Frankfurt,0.6,5.6,2605,30,BRA
236,Benno Schmitz,FC Köln,0.6,0.0,1154,22,GER
236,Denis Thomalla,1. FC Heidenheim 1846,0.6,0.0,432,21,GER
236,Emir Karic,SV Darmstadt,0.6,0.0,1781,27,AUT
236,Felix Agu,SV Werder Bremen,0.6,0.0,1621,24,GER
236,Julian Chabot,FC Köln,0.6,0.0,2707,32,GER
236,Klaus Gjasula,SV Darmstadt,0.6,0.0,1366,22,ALB
236,Sebastiaan Bornauw,VfL Wolfsburg,0.6,0.0,1431,20,BEL
