Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
115,Roland Sallai,SC Freiburg,0.15,3.0,1850,27,HUN
116,Aleksandar Pavlovic,Bayern München,0.15,2.0,1228,19,GER
116,Christopher Antwi-Adjej,VfL Bochum,0.15,2.0,1216,25,GHA
116,Josha Vagnoman,VfB Stuttgart,0.15,2.0,1181,18,GER
116,Nick Woltemade,SV Werder Bremen,0.15,2.0,1182,30,GER
120,Jonathan Tah,Bayer 04 Leverkusen,0.14,4.0,2632,31,GER
120,Leandro Barreiro,1. FSV Mainz 05,0.14,4.0,2606,31,LUX
120,Romano Schmid,SV Werder Bremen,0.14,4.0,2614,33,AUT
123,Brenden Aaronson,1. FC Union Berlin,0.14,2.0,1263,30,USA
123,Kristijan Jakic,FC Augsburg,0.14,2.0,1253,18,CRO
123,Moritz Broschinski,VfL Bochum,0.14,2.0,1242,26,GER
126,Mario Götze,Eintracht Frankfurt,0.13,3.0,2075,30,GER
127,Fredrik Jensen,FC Augsburg,0.13,2.0,1350,22,FIN
127,Ludovic Ajorque,1. FSV Mainz 05,0.13,2.0,1355,26,FRA
127,Matthijs de Ligt,Bayern München,0.13,2.0,1389,22,NED
127,Olivier Deman,SV Werder Bremen,0.13,2.0,1359,29,BEL
131,Marco Richter,1. FSV Mainz 05,0.13,1.0,713,20,GER
132,Jens Stage,SV Werder Bremen,0.12,3.0,2334,30,DEN
133,Amadou Haidara,RB Leipzig,0.12,2.0,1537,21,MLI
133,John Anthony Brooks,TSG Hoffenheim,0.12,2.0,1539,21,USA
133,Merlin Röhl,SC Freiburg,0.12,2.0,1483,24,GER
136,Noah Weisshaupt,SC Freiburg,0.12,1.0,744,24,GER
137,Franck Honorat,Borussia Mönchengladbach,0.11,3.0,2358,32,FRA
137,Pavel Kaderabek,TSG Hoffenheim,0.11,3.0,2419,29,CZE
139,Yannick Gerhardt,VfL Wolfsburg,0.11,2.0,1635,25,GER
140,Sargis Adamyan,FC Köln,0.11,1.0,797,20,ARM
141,Granit Xhaka,Bayer 04 Leverkusen,0.1,3.0,2828,33,SUI
141,Mitchell Weiser,SV Werder Bremen,0.1,3.0,2639,30,GER
141,Sepp van den Berg,1. FSV Mainz 05,0.1,3.0,2838,33,NED
144,Hugo Larsson,Eintracht Frankfurt,0.1,2.0,1885,29,SWE
144,Patrick Osterhage,VfL Bochum,0.1,2.0,1863,24,GER
146,Alphonso Davies,Bayern München,0.09,2.0,2067,29,CAN
146,Elvis Rexhbecaj,FC Augsburg,0.09,2.0,1994,25,GER
146,Emre Can,Borussia Dortmund,0.09,2.0,1956,25,GER
146,Fares Chaibi,Eintracht Frankfurt,0.09,2.0,1920,28,ALG
146,Jan Schöppner,1. FC Heidenheim 1846,0.09,2.0,2000,26,GER
146,Maximilian Mittelstaedt,VfB Stuttgart,0.09,2.0,2104,31,GER
146,Maximilian Wöber,Borussia Mönchengladbach,0.09,2.0,2070,25,AUT
146,Milos Veljkovic,SV Werder Bremen,0.09,2.0,1921,23,SRB
154,Adrian Beck,1. FC Heidenheim 1846,0.09,1.0,971,23,GER
154,Felix Nmecha,Borussia Dortmund,0.09,1.0,1016,20,GER
154,Mathias Honsak,SV Darmstadt,0.09,1.0,1013,23,AUT
154,Tiago Tomás,VfL Wolfsburg,0.09,1.0,1029,26,POR
158,Christoph Klarer,SV Darmstadt,0.08,2.0,2356,30,AUT
158,Danilho Doekhi,1. FC Union Berlin,0.08,2.0,2160,24,NED
158,Ellyes Skhiri,Eintracht Frankfurt,0.08,2.0,2169,27,TUN
158,Mohamed Simakan,RB Leipzig,0.08,2.0,2139,32,FRA
162,Jamie Bynoe-Gittens,Borussia Dortmund,0.08,1.0,1059,25,ENG
163,Anthony Caci,1. FSV Mainz 05,0.07,2.0,2493,31,FRA
163,Anton Stach,TSG Hoffenheim,0.07,2.0,2497,33,GER
163,David Raum,RB Leipzig,0.07,2.0,2743,31,GER
163,Joakim Mæhle,VfL Wolfsburg,0.07,2.0,2454,30,DEN
163,Julian Weigl,Borussia Mönchengladbach,0.07,2.0,2766,31,GER
163,Maximilian Arnold,VfL Wolfsburg,0.07,2.0,2503,30,GER
163,Nico Elvedi,Borussia Mönchengladbach,0.07,2.0,2485,30,SUI
163,Robin Koch,Eintracht Frankfurt,0.07,2.0,2740,31,GER
171,András Schäfer,1. FC Union Berlin,0.07,1.0,1218,20,HUN
171,Janik Haberer,1. FC Union Berlin,0.07,1.0,1223,21,GER
171,Kevin Kampl,RB Leipzig,0.07,1.0,1360,26,SVN
171,Marius Bülter,TSG Hoffenheim,0.07,1.0,1346,30,GER
171,Philipp Max,Eintracht Frankfurt,0.07,1.0,1357,23,GER
171,Silvan Widmer,1. FSV Mainz 05,0.07,1.0,1243,20,SUI
171,Tom Krauss,1. FSV Mainz 05,0.07,1.0,1339,29,GER
178,Felix Uduokhai,FC Augsburg,0.06,2.0,2922,33,GER
178,Nico Schlotterbeck,Borussia Dortmund,0.06,2.0,2861,33,GER
178,Patrick Mainka,1. FC Heidenheim 1846,0.06,2.0,3060,34,GER
181,Dan-Axel Zagadou,VfB Stuttgart,0.06,1.0,1453,19,FRA
181,Fabian Nürnberger,SV Darmstadt,0.06,1.0,1519,21,GER
181,Iago,FC Augsburg,0.06,1.0,1622,23,BRA
181,Jan Thielmann,FC Köln,0.06,1.0,1588,22,GER
181,Karim Onisiwo,1. FSV Mainz 05,0.06,1.0,1496,24,AUT
181,Kouadio Koné,Borussia Mönchengladbach,0.06,1.0,1565,22,FRA
181,Leonardo Bittencourt,SV Werder Bremen,0.06,1.0,1585,29,GER
181,Luca Pfeiffer,SV Darmstadt,0.06,1.0,1625,24,GER
181,Lukas Klostermann,RB Leipzig,0.06,1.0,1433,25,GER
181,Nadiem Amiri,1. FSV Mainz 05,0.06,1.0,1401,23,GER
181,Niklas Süle,Borussia Dortmund,0.06,1.0,1509,23,GER
181,Piero Hincapié,Bayer 04 Leverkusen,0.06,1.0,1484,26,ECU
193,Aurelio Buta,Eintracht Frankfurt,0.05,1.0,1744,30,POR
