Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
115,Yussuf Poulsen,RB Leipzig,2.0,2.3,1209,28,DEN
116,Justin Njinmah,SV Werder Bremen,2.0,2.2,1012,24,GER
116,Robert Andrich,Bayer 04 Leverkusen,2.0,2.2,1681,28,GER
118,Brenden Aaronson,1. FC Union Berlin,2.0,2.0,1263,30,USA
118,Dejan Ljubicic,FC Köln,2.0,2.0,2055,26,AUT
118,Lucas Höler,SC Freiburg,2.0,2.0,2309,33,GER
118,Niels Nkounkou,Eintracht Frankfurt,2.0,2.0,1301,29,FRA
118,Robin Hack,Borussia Mönchengladbach,2.0,2.0,1345,29,GER
118,Tuta,Eintracht Frankfurt,2.0,2.0,2605,30,BRA
118,Umut Tohumcu,TSG Hoffenheim,2.0,2.0,1012,20,GER
125,Christian Günter,SC Freiburg,2.0,1.9,1064,15,GER
125,Edimilson Fernandes,1. FSV Mainz 05,2.0,1.9,1284,21,SUI
127,Aleksandar Pavlovic,Bayern München,2.0,1.8,1228,19,GER
127,Arne Engels,FC Augsburg,2.0,1.8,1398,32,BEL
127,Noah Weisshaupt,SC Freiburg,2.0,1.8,744,24,GER
127,Omar Traoré,1. FC Heidenheim 1846,2.0,1.8,2474,31,GER
131,Ian Maatsen,Borussia Dortmund,2.0,1.7,1269,16,NED
131,Jakub Kaminski,VfL Wolfsburg,2.0,1.7,465,17,POL
131,Silas Katompa Mvumpa,VfB Stuttgart,2.0,1.7,890,27,COD
134,Willian Pacho,Eintracht Frankfurt,2.0,1.6,2970,33,ECU
135,Hugo Ekitike,Eintracht Frankfurt,2.0,1.5,717,14,FRA
135,Marvin Mehlem,SV Darmstadt,2.0,1.5,1491,20,GER
135,Matthias Ginter,SC Freiburg,2.0,1.5,1918,23,GER
138,Eric Maxim Choupo-Moting,Bayern München,2.0,1.4,703,27,CMR
138,Fabian Holland,SV Darmstadt,2.0,1.4,1847,23,GER
138,Jan Schöppner,1. FC Heidenheim 1846,2.0,1.4,2000,26,GER
138,Josha Vagnoman,VfB Stuttgart,2.0,1.4,1181,18,GER
142,Benjamin Sesko,RB Leipzig,2.0,1.3,1528,31,SVN
142,Emre Can,Borussia Dortmund,2.0,1.3,1956,25,GER
142,Philipp Hofmann,VfL Bochum,2.0,1.3,1576,29,GER
145,Anthony Rouault,VfB Stuttgart,2.0,1.2,1008,22,FRA
145,Felix Nmecha,Borussia Dortmund,2.0,1.2,1016,20,GER
145,Felix Passlack,VfL Bochum,2.0,1.2,966,15,GER
148,Sargis Adamyan,FC Köln,2.0,1.1,797,20,ARM
149,András Schäfer,1. FC Union Berlin,2.0,1.0,1218,20,HUN
149,Anthony Losilla,VfL Bochum,2.0,1.0,2586,31,FRA
149,Christoph Klarer,SV Darmstadt,2.0,1.0,2356,30,AUT
149,Jonathan Burkardt,1. FSV Mainz 05,2.0,1.0,1541,21,GER
153,Moritz Broschinski,VfL Bochum,2.0,0.9,1242,26,GER
153,Piero Hincapié,Bayer 04 Leverkusen,2.0,0.9,1484,26,ECU
155,Tom Bischof,TSG Hoffenheim,2.0,0.8,169,13,GER
155,Tom Krauss,1. FSV Mainz 05,2.0,0.8,1339,29,GER
157,Yorbe Vertessen,1. FC Union Berlin,2.0,0.7,593,13,BEL
158,Arthur,Bayer 04 Leverkusen,2.0,0.4,184,4,BRA
158,Nicolas Seiwald,RB Leipzig,2.0,0.4,708,21,AUT
160,Maximilian Arnold,VfL Wolfsburg,1.0,4.4,2503,30,GER
161,Donyell Malen,Borussia Dortmund,1.0,3.4,1783,27,NED
162,Maximilian Beier,TSG Hoffenheim,1.0,3.0,2431,33,GER
163,Iago,FC Augsburg,1.0,2.9,1622,23,BRA
164,Julian Ryerson,Borussia Dortmund,1.0,2.8,1772,21,NOR
165,Maximilian Wittek,VfL Bochum,1.0,2.7,1067,21,GER
166,Fabian Nürnberger,SV Darmstadt,1.0,2.6,1519,21,GER
167,Maximilian Eggestein,SC Freiburg,1.0,2.4,2918,33,GER
168,Marius Wolf,Borussia Dortmund,1.0,2.3,1161,22,GER
169,Mads Valentin Pedersen,FC Augsburg,1.0,2.1,1783,27,DEN
169,Nico Schlotterbeck,Borussia Dortmund,1.0,2.1,2861,33,GER
171,Kevin Behrens,VfL Wolfsburg,1.0,2.0,1880,31,GER
171,Serge Gnabry,Bayern München,1.0,2.0,433,10,GER
173,Ellyes Skhiri,Eintracht Frankfurt,1.0,1.9,2169,27,TUN
173,Matus Bero,VfL Bochum,1.0,1.9,1665,24,SVK
175,Jens Stage,SV Werder Bremen,1.0,1.8,2334,30,DEN
175,Yannick Gerhardt,VfL Wolfsburg,1.0,1.8,1635,25,GER
177,Aurelio Buta,Eintracht Frankfurt,1.0,1.7,1744,30,POR
177,Josip Stanisic,Bayer 04 Leverkusen,1.0,1.7,1257,20,CRO
177,Ozan Kabak,TSG Hoffenheim,1.0,1.7,2290,28,TUR
180,Amadou Haidara,RB Leipzig,1.0,1.6,1537,21,MLI
180,Christoph Baumgartner,RB Leipzig,1.0,1.6,1149,32,AUT
180,Karim Adeyemi,Borussia Dortmund,1.0,1.6,911,21,GER
180,Kilian Sildillia,SC Freiburg,1.0,1.6,1804,27,FRA
180,Sheraldo Becker,1. FC Union Berlin,1.0,1.6,649,11,SUR
185,Hugo Larsson,Eintracht Frankfurt,1.0,1.5,1885,29,SWE
185,Norman Theuerkauf,1. FC Heidenheim 1846,1.0,1.5,1257,25,GER
187,Edmond Tapsoba,Bayer 04 Leverkusen,1.0,1.4,2084,28,BFA
188,Danny da Costa,1. FSV Mainz 05,1.0,1.3,826,19,GER
188,Lennard Maloney,1. FC Heidenheim 1846,1.0,1.3,2292,29,USA
188,Maxence Lacroix,VfL Wolfsburg,1.0,1.3,2364,28,FRA
188,Olivier Deman,SV Werder Bremen,1.0,1.3,1359,29,BEL
192,Janik Haberer,1. FC Union Berlin,1.0,1.2,1223,21,GER
192,Lukas Daschner,VfL Bochum,1.0,1.2,525,20,GER
194,Benedikt Gimber,1. FC Heidenheim 1846,1.0,1.1,2026,24,GER
194,Benno Schmitz,FC Köln,1.0,1.1,1154,22,GER
194,Florian Pick,1. FC Heidenheim 1846,1.0,1.1,315,22,GER
194,Keven Schlotterbeck,VfL Bochum,1.0,1.1,2184,27,GER
194,Leandro Barreiro,1. FSV Mainz 05,1.0,1.1,2606,31,LUX
194,Stefan Lainer,Borussia Mönchengladbach,1.0,1.1,749,15,AUT
200,Cristian Gamboa,VfL Bochum,1.0,0.9,1187,22,CRC
200,Jonathan Tah,Bayer 04 Leverkusen,1.0,0.9,2632,31,GER
200,Kristijan Jakic,FC Augsburg,1.0,0.9,1253,18,CRO
200,Milos Veljkovic,SV Werder Bremen,1.0,0.9,1921,23,SRB
200,Sebastien Haller,Borussia Dortmund,1.0,0.9,389,14,CIV
200,Takuma Asano,VfL Bochum,1.0,0.9,2003,29,JPN
200,Tiago Tomás,VfL Wolfsburg,1.0,0.9,1029,26,POR
207,David Jurasek,TSG Hoffenheim,1.0,0.8,490,13,CZE
207,Eric Martel,FC Köln,1.0,0.8,2464,30,GER
207,Nikola Dovedan,1. FC Heidenheim 1846,1.0,0.8,646,21,AUT
207,Stefan Schimmer,1. FC Heidenheim 1846,1.0,0.8,141,16,GER
207,Sven Michel,FC Augsburg,1.0,0.8,574,22,GER
207,Tomas Cvancara,Borussia Mönchengladbach,1.0,0.8,892,21,CZE
213,Mark Uth,FC Köln,1.0,0.7,369,11,GER
213,Mathias Honsak,SV Darmstadt,1.0,0.7,1013,23,AUT
213,Nicolas Höfler,SC Freiburg,1.0,0.7,2332,28,GER
213,Patrick Osterhage,VfL Bochum,1.0,0.7,1863,24,GER
217,Adrian Beck,1. FC Heidenheim 1846,1.0,0.6,971,23,GER
217,Goncalo Paciencia,VfL Bochum,1.0,0.6,645,19,POR
217,Jérome Roussillon,1. FC Union Berlin,1.0,0.6,743,23,FRA
217,Oscar Vilhelmsson,SV Darmstadt,1.0,0.6,1375,26,SWE
217,Patric Pfeiffer,FC Augsburg,1.0,0.6,509,11,GER
222,Min-Jae Kim,Bayern München,1.0,0.5,1970,25,KOR
222,Moritz Jenz,VfL Wolfsburg,1.0,0.5,1745,22,GER
222,Noah Mbamba,Bayer 04 Leverkusen,1.0,0.5,14,3,BEL
222,Sebastian Polter,SV Darmstadt,1.0,0.5,444,9,GER
226,Christian Kühlwetter,1. FC Heidenheim 1846,1.0,0.4,7,1,GER
226,Emil Forsberg,RB Leipzig,1.0,0.4,460,14,SWE
226,Nico Elvedi,Borussia Mönchengladbach,1.0,0.4,2485,30,SUI
229,Bartol Franjic,SV Darmstadt,1.0,0.3,1232,20,CRO
229,Christian Gross,SV Werder Bremen,1.0,0.3,792,20,GER
231,Josuha Guilavogui,1. FSV Mainz 05,1.0,0.2,407,11,FRA
231,Kjell Wätjen,Borussia Dortmund,1.0,0.2,104,2,GER
233,Moritz-Broni Kwarteng,VfL Bochum,1.0,0.1,275,11,GER
233,Oliver Baumann,TSG Hoffenheim,1.0,0.1,3060,34,GER
233,Paxten Aaronson,Eintracht Frankfurt,1.0,0.1,95,7,USA
233,Sasa Kalajdzic,Eintracht Frankfurt,1.0,0.1,329,5,AUT
233,Timothy Chandler,Eintracht Frankfurt,1.0,0.1,16,6,USA
238,Anwar El-Ghazi,1. FSV Mainz 05,1.0,0.0,51,3,NED
238,Jens Grahl,Eintracht Frankfurt,1.0,0.0,180,2,GER
238,Jonas Omlin,Borussia Mönchengladbach,1.0,0.0,630,7,SUI
