Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
28,Omar Traoré,1. FC Heidenheim 1846,1.5,40.0,2474,31,GER
29,Ivan Ordets,VfL Bochum,1.5,31.0,1879,24,UKR
30,Niklas Süle,Borussia Dortmund,1.5,25.0,1509,23,GER
31,Edimilson Fernandes,1. FSV Mainz 05,1.5,22.0,1284,21,SUI
31,Rani Khedira,1. FC Union Berlin,1.5,22.0,1350,20,GER
33,András Schäfer,1. FC Union Berlin,1.5,20.0,1218,20,HUN
33,Noussair Mazraoui,Bayern München,1.5,20.0,1197,19,MAR
35,Kevin Akpoguma,TSG Hoffenheim,1.5,18.0,1095,17,NGA
35,Maximilian Wittek,VfL Bochum,1.5,18.0,1067,21,GER
37,Christian Gross,SV Werder Bremen,1.5,13.0,792,20,GER
38,Patrick Mainka,1. FC Heidenheim 1846,1.4,49.0,3060,34,GER
39,Willian Pacho,Eintracht Frankfurt,1.4,47.0,2970,33,ECU
40,Felix Uduokhai,FC Augsburg,1.4,46.0,2922,33,GER
41,Nico Schlotterbeck,Borussia Dortmund,1.4,45.0,2861,33,GER
42,Sepp van den Berg,1. FSV Mainz 05,1.4,43.0,2838,33,NED
43,Robin Gosens,1. FC Union Berlin,1.4,36.0,2297,30,GER
44,Marco Friedl,SV Werder Bremen,1.4,35.0,2198,25,AUT
45,Keven Schlotterbeck,VfL Bochum,1.4,33.0,2184,27,GER
46,Exequiel Palacios,Bayer 04 Leverkusen,1.4,29.0,1840,24,ARG
46,Hugo Larsson,Eintracht Frankfurt,1.4,29.0,1885,29,SWE
48,Lucas Tousart,1. FC Union Berlin,1.4,25.0,1573,23,FRA
49,Kevin Paredes,VfL Wolfsburg,1.4,23.0,1429,28,USA
50,Ramy Bensebaini,Borussia Dortmund,1.4,16.0,1030,17,ALG
51,Odilon Kossounou,Bayer 04 Leverkusen,1.3,27.0,1812,22,CIV
51,Patrick Osterhage,VfL Bochum,1.3,27.0,1863,24,GER
53,Moritz Jenz,VfL Wolfsburg,1.3,26.0,1745,22,GER
54,Klaus Gjasula,SV Darmstadt,1.3,19.0,1366,22,ALB
55,Salih Özcan,Borussia Dortmund,1.3,17.0,1179,23,TUR
56,Pascal Stenzel,VfB Stuttgart,1.3,15.0,1068,23,GER
57,Waldemar Anton,VfB Stuttgart,1.2,40.0,2888,33,GER
58,Leandro Barreiro,1. FSV Mainz 05,1.2,36.0,2606,31,LUX
58,Tuta,Eintracht Frankfurt,1.2,36.0,2605,30,BRA
60,Jeffrey Gouweleeuw,FC Augsburg,1.2,35.0,2594,30,NED
61,Benjamin Henrichs,RB Leipzig,1.2,33.0,2531,33,GER
62,Anthony Caci,1. FSV Mainz 05,1.2,32.0,2493,31,FRA
63,Leon Goretzka,Bayern München,1.2,31.0,2242,30,GER
63,Nicolas Höfler,SC Freiburg,1.2,31.0,2332,28,GER
65,Hiroki Ito,VfB Stuttgart,1.2,29.0,2231,26,JPN
65,Mohamed Simakan,RB Leipzig,1.2,29.0,2139,32,FRA
67,Jan Schöppner,1. FC Heidenheim 1846,1.2,26.0,2000,26,GER
68,Matthias Bader,SV Darmstadt,1.2,25.0,1807,24,GER
69,Fabian Holland,SV Darmstadt,1.2,24.0,1847,23,GER
70,Ko Itakura,Borussia Mönchengladbach,1.2,22.0,1598,20,JPN
70,Matej Maglica,SV Darmstadt,1.2,22.0,1701,26,CRO
72,Amadou Haidara,RB Leipzig,1.2,21.0,1537,21,MLI
73,Dan-Axel Zagadou,VfB Stuttgart,1.2,20.0,1453,19,FRA
74,Matthijs de Ligt,Bayern München,1.2,19.0,1389,22,NED
75,Aleksandar Pavlovic,Bayern München,1.2,17.0,1228,19,GER
76,Silvan Widmer,1. FSV Mainz 05,1.2,16.0,1243,20,SUI
77,Robin Koch,Eintracht Frankfurt,1.1,32.0,2740,31,GER
78,Joakim Mæhle,VfL Wolfsburg,1.1,29.0,2454,30,DEN
79,Jae-Sung Lee,1. FSV Mainz 05,1.1,27.0,2124,29,KOR
80,Alphonso Davies,Bayern München,1.1,26.0,2067,29,CAN
81,Manuel Gulde,SC Freiburg,1.1,25.0,2048,27,GER
82,Kevin Mbabu,FC Augsburg,1.1,24.0,2048,25,SUI
83,Kilian Sildillia,SC Freiburg,1.1,22.0,1804,27,FRA
83,Max Finkgrafe,FC Köln,1.1,22.0,1756,24,GER
85,Mattias Svanberg,VfL Wolfsburg,1.1,21.0,1725,25,SWE
86,Rasmus Carstensen,FC Köln,1.1,20.0,1658,23,DEN
86,Robert Andrich,Bayer 04 Leverkusen,1.1,20.0,1681,28,GER
88,Sebastiaan Bornauw,VfL Wolfsburg,1.1,18.0,1431,20,BEL
89,Tom Krauss,1. FSV Mainz 05,1.1,17.0,1339,29,GER
90,Niels Nkounkou,Eintracht Frankfurt,1.1,16.0,1301,29,FRA
91,Cristian Gamboa,VfL Bochum,1.1,15.0,1187,22,CRC
91,Raphaël Guerreiro,Bayern München,1.1,15.0,1194,20,POR
93,Aster Vranckx,VfL Wolfsburg,1.1,14.0,1143,24,BEL
94,Jonas Föhrenbach,1. FC Heidenheim 1846,1.0,31.0,2790,33,GER
95,Erhan Masovic,VfL Bochum,1.0,25.0,2218,29,SRB
95,Lennard Maloney,1. FC Heidenheim 1846,1.0,25.0,2292,29,USA
97,Edmond Tapsoba,Bayer 04 Leverkusen,1.0,24.0,2084,28,BFA
98,Emre Can,Borussia Dortmund,1.0,22.0,1956,25,GER
99,Dayot Upamecano,Bayern München,1.0,19.0,1763,25,FRA
99,Mads Valentin Pedersen,FC Augsburg,1.0,19.0,1783,27,DEN
101,Iago,FC Augsburg,1.0,18.0,1622,23,BRA
102,Fabian Nürnberger,SV Darmstadt,1.0,17.0,1519,21,GER
102,Marvin Friedrich,Borussia Mönchengladbach,1.0,17.0,1561,24,GER
104,Niklas Dorsch,FC Augsburg,1.0,16.0,1387,21,GER
105,Arne Engels,FC Augsburg,1.0,15.0,1398,32,BEL
106,Florian Neuhaus,Borussia Mönchengladbach,1.0,14.0,1226,25,GER
106,Norman Theuerkauf,1. FC Heidenheim 1846,1.0,14.0,1257,25,GER
108,Aissa Laidouni,1. FC Union Berlin,1.0,12.0,1064,23,TUN
109,Felix Nmecha,Borussia Dortmund,1.0,11.0,1016,20,GER
109,Jordy Makengo,SC Freiburg,1.0,11.0,1022,20,FRA
111,Nicolas Seiwald,RB Leipzig,1.0,8.0,708,21,AUT
111,Noah Weisshaupt,SC Freiburg,1.0,8.0,744,24,GER
113,Woo-Yeong Jeong,VfB Stuttgart,1.0,7.0,618,26,KOR
114,Angelo Stiller,VfB Stuttgart,0.9,28.0,2780,32,GER
114,Maximilian Eggestein,SC Freiburg,0.9,28.0,2918,33,GER
116,Atakan Karazor,VfB Stuttgart,0.9,27.0,2630,33,GER
