Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
38,Anton Stach,TSG Hoffenheim,1.5,55.3,2497,33,GER
39,Kevin Akpoguma,TSG Hoffenheim,1.5,51.4,1095,17,NGA
40,Finn Becker,TSG Hoffenheim,1.4,90.0,596,22,GER
41,Karim Adeyemi,Borussia Dortmund,1.4,87.5,911,21,GER
42,Cristian Gamboa,VfL Bochum,1.4,75.0,1187,22,CRC
43,Maximilian Wittek,VfL Bochum,1.4,73.9,1067,21,GER
44,Joshua Kimmich,Bayern München,1.4,73.3,2185,28,GER
45,Ozan Kabak,TSG Hoffenheim,1.4,72.9,2290,28,TUR
46,Julian Chabot,FC Köln,1.4,71.2,2707,32,GER
47,Marco Reus,Borussia Dortmund,1.4,67.6,1612,26,GER
48,Josha Vagnoman,VfB Stuttgart,1.4,64.3,1181,18,GER
49,Joakim Mæhle,VfL Wolfsburg,1.4,62.9,2454,30,DEN
50,Maximilian Philipp,SC Freiburg,1.4,62.5,311,17,GER
51,Leandro Barreiro,1. FSV Mainz 05,1.4,61.5,2606,31,LUX
52,Emir Karic,SV Darmstadt,1.4,60.0,1781,27,AUT
53,Nathan N'Goumou,Borussia Mönchengladbach,1.4,59.5,1381,32,FRA
54,Patrick Mainka,1. FC Heidenheim 1846,1.4,57.6,3060,34,GER
55,Benjamin Henrichs,RB Leipzig,1.4,57.4,2531,33,GER
56,Josip Stanisic,Bayer 04 Leverkusen,1.4,52.6,1257,20,CRO
57,Klaus Gjasula,SV Darmstadt,1.4,50.0,1366,22,ALB
58,Fabian Nürnberger,SV Darmstadt,1.3,75.9,1519,21,GER
59,Marvin Mehlem,SV Darmstadt,1.3,75.0,1491,20,GER
60,Patrick Osterhage,VfL Bochum,1.3,68.4,1863,24,GER
61,Denis Thomalla,1. FC Heidenheim 1846,1.3,66.7,432,21,GER
62,Eric Ebimbe,Eintracht Frankfurt,1.3,65.9,1967,31,FRA
63,Nikola Dovedan,1. FC Heidenheim 1846,1.3,64.3,646,21,AUT
64,Piero Hincapié,Bayer 04 Leverkusen,1.3,62.9,1484,26,ECU
65,Aurelio Buta,Eintracht Frankfurt,1.3,62.5,1744,30,POR
65,Jamal Musiala,Bayern München,1.3,62.5,1766,24,GER
67,Julian Weigl,Borussia Mönchengladbach,1.3,60.6,2766,31,GER
68,Marco Friedl,SV Werder Bremen,1.3,60.4,2198,25,AUT
69,Woo-Yeong Jeong,VfB Stuttgart,1.3,60.0,618,26,KOR
70,Mitchell Weiser,SV Werder Bremen,1.3,59.4,2639,30,GER
71,Anthony Losilla,VfL Bochum,1.3,58.7,2586,31,FRA
72,Brenden Aaronson,1. FC Union Berlin,1.3,56.3,1263,30,USA
73,Fabian Holland,SV Darmstadt,1.3,55.3,1847,23,GER
74,Kevin Paredes,VfL Wolfsburg,1.3,50.0,1429,28,USA
75,Maximilian Wöber,Borussia Mönchengladbach,1.3,47.0,2070,25,AUT
76,Raphaël Guerreiro,Bayern München,1.2,84.2,1194,20,POR
77,Moritz Jenz,VfL Wolfsburg,1.2,70.6,1745,22,GER
78,Diogo Leite,1. FC Union Berlin,1.2,69.2,2708,32,POR
79,Matus Bero,VfL Bochum,1.2,68.8,1665,24,SVK
80,Felix Nmecha,Borussia Dortmund,1.2,68.4,1016,20,GER
81,Dejan Ljubicic,FC Köln,1.2,62.8,2055,26,AUT
82,Ko Itakura,Borussia Mönchengladbach,1.2,61.8,1598,20,JPN
83,Mohamed Simakan,RB Leipzig,1.2,60.4,2139,32,FRA
84,Adrian Beck,1. FC Heidenheim 1846,1.2,59.1,971,23,GER
85,Niklas Stark,SV Werder Bremen,1.2,57.7,1086,17,GER
86,Aleksandar Pavlovic,Bayern München,1.2,57.1,1228,19,GER
87,Julian Ryerson,Borussia Dortmund,1.2,56.1,1772,21,NOR
88,Benno Schmitz,FC Köln,1.2,55.6,1154,22,GER
89,András Schäfer,1. FC Union Berlin,1.2,55.2,1218,20,HUN
90,Omar Traoré,1. FC Heidenheim 1846,1.2,55.0,2474,31,GER
91,Kristijan Jakic,FC Augsburg,1.2,54.8,1253,18,CRO
92,Arne Engels,FC Augsburg,1.2,54.5,1398,32,BEL
93,Jan Schöppner,1. FC Heidenheim 1846,1.2,54.2,2000,26,GER
94,Matthias Bader,SV Darmstadt,1.2,49.0,1807,24,GER
95,Lukas Kübler,SC Freiburg,1.2,48.0,1848,26,GER
96,Aster Vranckx,VfL Wolfsburg,1.2,46.9,1143,24,BEL
97,Rasmus Carstensen,FC Köln,1.2,46.8,1658,23,DEN
98,Florian Pick,1. FC Heidenheim 1846,1.1,100.0,315,22,GER
99,Umut Tohumcu,TSG Hoffenheim,1.1,75.0,1012,20,GER
100,Edmond Tapsoba,Bayer 04 Leverkusen,1.1,73.5,2084,28,BFA
101,Dani Olmo,RB Leipzig,1.1,69.2,1454,21,ESP
102,Joseph Scally,Borussia Mönchengladbach,1.1,68.3,2236,31,USA
103,Norman Theuerkauf,1. FC Heidenheim 1846,1.1,66.7,1257,25,GER
103,Robert Skov,TSG Hoffenheim,1.1,66.7,1261,25,DEN
105,Philipp Max,Eintracht Frankfurt,1.1,65.4,1357,23,GER
106,Min-Jae Kim,Bayern München,1.1,64.9,1970,25,KOR
107,Yannick Gerhardt,VfL Wolfsburg,1.1,64.5,1635,25,GER
108,Edimilson Fernandes,1. FSV Mainz 05,1.1,64.0,1284,21,SUI
109,Dayot Upamecano,Bayern München,1.1,61.8,1763,25,FRA
110,Marcel Sabitzer,Borussia Dortmund,1.1,61.5,1964,25,AUT
111,Maximilian Arnold,VfL Wolfsburg,1.1,60.8,2503,30,GER
112,Ansgar Knauff,Eintracht Frankfurt,1.1,60.5,2117,31,GER
113,Maxence Lacroix,VfL Wolfsburg,1.1,60.4,2364,28,FRA
114,David Raum,RB Leipzig,1.1,60.3,2743,31,GER
115,Angelo Stiller,VfB Stuttgart,1.1,60.0,2780,32,GER
115,Benedikt Gimber,1. FC Heidenheim 1846,1.1,60.0,2026,24,GER
115,Matej Maglica,SV Darmstadt,1.1,60.0,1701,26,CRO
118,Willian Pacho,Eintracht Frankfurt,1.1,59.7,2970,33,ECU
119,Anthony Rouault,VfB Stuttgart,1.1,57.1,1008,22,FRA
119,Lucas Tousart,1. FC Union Berlin,1.1,57.1,1573,23,FRA
121,Jérome Roussillon,1. FC Union Berlin,1.1,56.3,743,23,FRA
122,Ritsu Doan,SC Freiburg,1.1,54.0,2253,30,JPN
123,Tuta,Eintracht Frankfurt,1.1,52.4,2605,30,BRA
124,Florian Grillitsch,TSG Hoffenheim,1.1,51.9,2297,30,AUT
125,Josip Juranovic,1. FC Union Berlin,1.0,70.0,1290,21,CRO
126,Danilho Doekhi,1. FC Union Berlin,1.0,67.6,2160,24,NED
127,Odilon Kossounou,Bayer 04 Leverkusen,1.0,66.7,1812,22,CIV
128,Jordy Makengo,SC Freiburg,1.0,64.7,1022,20,FRA
128,Robin Knoche,1. FC Union Berlin,1.0,64.7,1916,24,GER
130,Jan Thielmann,FC Köln,1.0,64.3,1588,22,GER
130,Sargis Adamyan,FC Köln,1.0,64.3,797,20,ARM
132,Manuel Gulde,SC Freiburg,1.0,62.2,2048,27,GER
133,Nadiem Amiri,1. FSV Mainz 05,1.0,61.5,1401,23,GER
134,Kevin Stöger,VfL Bochum,1.0,61.2,2678,32,AUT
135,Lennard Maloney,1. FC Heidenheim 1846,1.0,60.5,2292,29,USA
136,Robert Andrich,Bayer 04 Leverkusen,1.0,60.0,1681,28,GER
137,Aissa Laidouni,1. FC Union Berlin,1.0,57.1,1064,23,TUN
138,Ellyes Skhiri,Eintracht Frankfurt,1.0,54.5,2169,27,TUN
139,Olivier Deman,SV Werder Bremen,1.0,53.6,1359,29,BEL
140,Alphonso Davies,Bayern München,1.0,51.1,2067,29,CAN
141,Christoph Baumgartner,RB Leipzig,1.0,50.0,1149,32,AUT
141,Danny da Costa,1. FSV Mainz 05,1.0,50.0,826,19,GER
143,Denis Huseinbasic,FC Köln,1.0,47.4,1627,26,BIH
144,Leonardo Bittencourt,SV Werder Bremen,1.0,42.9,1585,29,GER
145,Jakub Kaminski,VfL Wolfsburg,1.0,35.7,465,17,POL
146,Bartol Franjic,SV Darmstadt,0.9,80.0,1232,20,CRO
146,Florian Neuhaus,Borussia Mönchengladbach,0.9,80.0,1226,25,GER
148,Lucas Höler,SC Freiburg,0.9,75.0,2309,33,GER
149,Alex Kral,1. FC Union Berlin,0.9,73.7,1365,24,CZE
150,Dan-Axel Zagadou,VfB Stuttgart,0.9,66.7,1453,19,FRA
151,Marvin Friedrich,Borussia Mönchengladbach,0.9,65.2,1561,24,GER
152,Tobias Kempe,SV Darmstadt,0.9,65.0,1351,24,GER
153,Elvis Rexhbecaj,FC Augsburg,0.9,63.3,1994,25,GER
154,Gian-Luca Waldschmidt,FC Köln,0.9,63.2,1151,22,GER
155,Nathan Tella,Bayer 04 Leverkusen,0.9,61.5,812,24,NGA
155,Thomas Müller,Bayern München,0.9,61.5,1659,31,GER
157,Marius Wolf,Borussia Dortmund,0.9,60.0,1161,22,GER
157,Salih Özcan,Borussia Dortmund,0.9,60.0,1179,23,TUR
159,Kevin Sessa,1. FC Heidenheim 1846,0.9,58.8,1001,30,GER
160,Luca Netz,Borussia Mönchengladbach,0.9,57.9,2231,30,GER
161,Christopher Antwi-Adjej,VfL Bochum,0.9,57.1,1216,25,GHA
162,Hugo Larsson,Eintracht Frankfurt,0.9,56.3,1885,29,SWE
163,Leon Goretzka,Bayern München,0.9,56.1,2242,30,GER
164,Enzo Millot,VfB Stuttgart,0.9,55.0,2254,31,FRA
165,Ridle Baku,VfL Wolfsburg,0.9,54.1,2011,33,GER
166,John Anthony Brooks,TSG Hoffenheim,0.9,53.6,1539,21,USA
167,Keven Schlotterbeck,VfL Bochum,0.9,52.4,2184,27,GER
167,Leart Paqarada,FC Köln,0.9,52.4,1073,17,KVX
169,Iago,FC Augsburg,0.9,47.2,1622,23,BRA
170,Mattias Svanberg,VfL Wolfsburg,0.9,45.9,1725,25,SWE
171,Kilian Sildillia,SC Freiburg,0.9,44.2,1804,27,FRA
172,Matthijs de Ligt,Bayern München,0.8,80.0,1389,22,NED
173,Florian Kainz,FC Köln,0.8,71.4,2210,33,AUT
173,Sven Michel,FC Augsburg,0.8,71.4,574,22,GER
175,Jeffrey Gouweleeuw,FC Augsburg,0.8,65.7,2594,30,NED
176,Christopher Trimmel,1. FC Union Berlin,0.8,65.2,1653,26,AUT
177,Benedict Hollerbach,1. FC Union Berlin,0.8,64.7,1283,28,GER
178,Vincenzo Grifo,SC Freiburg,0.8,64.5,2344,32,ITA
179,Arne Maier,FC Augsburg,0.8,64.3,998,22,GER
180,Waldemar Anton,VfB Stuttgart,0.8,64.1,2888,33,GER
181,Brajan Gruda,1. FSV Mainz 05,0.8,63.6,1651,28,GER
182,Fares Chaibi,Eintracht Frankfurt,0.8,63.0,1920,28,ALG
183,Anthony Jung,SV Werder Bremen,0.8,62.2,2583,31,GER
184,Merlin Röhl,SC Freiburg,0.8,61.9,1483,24,GER
185,Jae-Sung Lee,1. FSV Mainz 05,0.8,60.6,2124,29,KOR
186,Robin Koch,Eintracht Frankfurt,0.8,60.5,2740,31,GER
187,Steffen Tigges,FC Köln,0.8,60.0,715,25,GER
188,Christoph Klarer,SV Darmstadt,0.8,59.5,2356,30,AUT
189,Grischa Prömel,TSG Hoffenheim,0.8,56.3,2146,28,GER
190,Jonas Föhrenbach,1. FC Heidenheim 1846,0.8,54.5,2790,33,GER
191,Alejandro Grimaldo,Bayer 04 Leverkusen,0.8,53.3,2785,33,ESP
192,Lovro Majer,VfL Wolfsburg,0.8,46.2,2116,32,CRO
192,Sebastiaan Bornauw,VfL Wolfsburg,0.8,46.2,1431,20,BEL
194,Jens Stage,SV Werder Bremen,0.8,42.3,2334,30,DEN
195,Anthony Caci,1. FSV Mainz 05,0.8,41.1,2493,31,FRA
196,Adam Hlozek,Bayer 04 Leverkusen,0.8,40.0,451,23,CZE
197,Hiroki Ito,VfB Stuttgart,0.7,94.7,2231,26,JPN
198,Linton Maina,FC Köln,0.7,83.3,1904,31,GER
199,Ivan Ordets,VfL Bochum,0.7,73.7,1879,24,UKR
200,Granit Xhaka,Bayer 04 Leverkusen,0.7,72.4,2828,33,SUI
201,Florian Wirtz,Bayer 04 Leverkusen,0.7,66.7,2377,32,GER
202,Jeremie Frimpong,Bayer 04 Leverkusen,0.7,65.4,2263,31,NED
203,Chris Führich,VfB Stuttgart,0.7,63.3,2594,34,GER
204,Marvin Pieringer,1. FC Heidenheim 1846,0.7,63.2,1520,31,GER
205,Pavel Kaderabek,TSG Hoffenheim,0.7,61.3,2419,29,CZE
206,Marius Bülter,TSG Hoffenheim,0.7,61.1,1346,30,GER
207,Sepp van den Berg,1. FSV Mainz 05,0.7,60.5,2838,33,NED
208,Willi Orban,RB Leipzig,0.7,60.0,1583,19,HUN
209,Romano Schmid,SV Werder Bremen,0.7,57.1,2614,33,AUT
210,Ihlas Bebou,TSG Hoffenheim,0.7,54.5,1628,32,TOG
210,Nico Elvedi,Borussia Mönchengladbach,0.7,54.5,2485,30,SUI
212,Matthias Ginter,SC Freiburg,0.7,51.7,1918,23,GER
213,Maximilian Eggestein,SC Freiburg,0.7,49.0,2918,33,GER
214,Milos Veljkovic,SV Werder Bremen,0.7,48.4,1921,23,SRB
215,Fredrik Jensen,FC Augsburg,0.7,47.8,1350,22,FIN
216,Lukas Daschner,VfL Bochum,0.7,44.4,525,20,GER
216,Pascal Stenzel,VfB Stuttgart,0.7,44.4,1068,23,GER
218,Philipp Mwene,1. FSV Mainz 05,0.7,44.1,2003,23,AUT
219,Amine Adli,Bayer 04 Leverkusen,0.7,43.8,890,23,MAR
220,Silvan Widmer,1. FSV Mainz 05,0.7,43.5,1243,20,SUI
221,Julian Brandt,Borussia Dortmund,0.6,82.4,2230,32,GER
222,Kevin Vogt,1. FC Union Berlin,0.6,79.2,2643,32,GER
