Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
118,Julian Justvan,SV Darmstadt,2.0,0.0,1069,18,GER
118,Kristijan Jakic,FC Augsburg,2.0,0.0,1253,18,CRO
118,Ludovic Ajorque,1. FSV Mainz 05,2.0,0.0,1355,26,FRA
118,Matthijs de Ligt,Bayern München,2.0,0.0,1389,22,NED
118,Maximilian Arnold,VfL Wolfsburg,2.0,0.0,2503,30,GER
118,Maximilian Mittelstaedt,VfB Stuttgart,2.0,0.0,2104,31,GER
118,Maximilian Wöber,Borussia Mönchengladbach,2.0,0.0,2070,25,AUT
118,Merlin Röhl,SC Freiburg,2.0,0.0,1483,24,GER
118,Milos Veljkovic,SV Werder Bremen,2.0,0.0,1921,23,SRB
118,Mohamed Simakan,RB Leipzig,2.0,0.0,2139,32,FRA
118,Moritz Broschinski,VfL Bochum,2.0,0.0,1242,26,GER
118,Nick Woltemade,SV Werder Bremen,2.0,0.0,1182,30,GER
118,Nico Elvedi,Borussia Mönchengladbach,2.0,0.0,2485,30,SUI
118,Nico Schlotterbeck,Borussia Dortmund,2.0,0.0,2861,33,GER
118,Niklas Stark,SV Werder Bremen,2.0,0.0,1086,17,GER
118,Olivier Deman,SV Werder Bremen,2.0,0.0,1359,29,BEL
118,Patrick Mainka,1. FC Heidenheim 1846,2.0,0.0,3060,34,GER
118,Patrick Osterhage,VfL Bochum,2.0,0.0,1863,24,GER
118,Patrick Wimmer,VfL Wolfsburg,2.0,0.0,594,14,AUT
118,Robin Koch,Eintracht Frankfurt,2.0,0.0,2740,31,GER
118,Woo-Yeong Jeong,VfB Stuttgart,2.0,0.0,618,26,KOR
118,Yannick Gerhardt,VfL Wolfsburg,2.0,0.0,1635,25,GER
168,Elvis Rexhbecaj,FC Augsburg,2.0,1.0,1994,25,GER
168,Sven Michel,FC Augsburg,2.0,1.0,574,22,GER
168,Timo Werner,RB Leipzig,2.0,1.0,204,8,GER
171,Emre Can,Borussia Dortmund,2.0,2.0,1956,25,GER
171,Julian Weigl,Borussia Mönchengladbach,2.0,2.0,2766,31,GER
173,Aaron Seydel,SV Darmstadt,1.0,0.0,615,16,GER
173,Adrian Beck,1. FC Heidenheim 1846,1.0,0.0,971,23,GER
173,András Schäfer,1. FC Union Berlin,1.0,0.0,1218,20,HUN
173,Andreas Hanche-Olsen,1. FSV Mainz 05,1.0,0.0,995,15,NOR
173,Angelo Stiller,VfB Stuttgart,1.0,0.0,2780,32,GER
173,Anthony Jung,SV Werder Bremen,1.0,0.0,2583,31,GER
173,Anthony Losilla,VfL Bochum,1.0,0.0,2586,31,FRA
173,Aurelio Buta,Eintracht Frankfurt,1.0,0.0,1744,30,POR
173,Aymen Barkok,1. FSV Mainz 05,1.0,0.0,312,13,MAR
173,Benedikt Gimber,1. FC Heidenheim 1846,1.0,0.0,2026,24,GER
173,Benjamin Henrichs,RB Leipzig,1.0,0.0,2531,33,GER
173,Bernardo,VfL Bochum,1.0,0.0,2924,33,BRA
173,Castello Lukeba,RB Leipzig,1.0,0.0,2185,32,FRA
173,Chris Bedia,1. FC Union Berlin,1.0,0.0,139,7,CIV
173,Christian Günter,SC Freiburg,1.0,0.0,1064,15,GER
173,Dan-Axel Zagadou,VfB Stuttgart,1.0,0.0,1453,19,FRA
173,David Datro Fofana,1. FC Union Berlin,1.0,0.0,687,12,CIV
173,Dayot Upamecano,Bayern München,1.0,0.0,1763,25,FRA
173,Dominik Kohr,1. FSV Mainz 05,1.0,0.0,2190,31,GER
173,Eric Martel,FC Köln,1.0,0.0,2464,30,GER
173,Fabian Nürnberger,SV Darmstadt,1.0,0.0,1519,21,GER
173,Felix Nmecha,Borussia Dortmund,1.0,0.0,1016,20,GER
173,Florian Grillitsch,TSG Hoffenheim,1.0,0.0,2297,30,AUT
173,Hrvoje Smolcic,Eintracht Frankfurt,1.0,0.0,345,11,CRO
173,Iago,FC Augsburg,1.0,0.0,1622,23,BRA
173,Ivan Ordets,VfL Bochum,1.0,0.0,1879,24,UKR
173,Jamie Bynoe-Gittens,Borussia Dortmund,1.0,0.0,1059,25,ENG
173,Jan Thielmann,FC Köln,1.0,0.0,1588,22,GER
173,Janik Haberer,1. FC Union Berlin,1.0,0.0,1223,21,GER
173,Jeffrey Gouweleeuw,FC Augsburg,1.0,0.0,2594,30,NED
173,Joseph Scally,Borussia Mönchengladbach,1.0,0.0,2236,31,USA
173,Joshua Kimmich,Bayern München,1.0,0.0,2185,28,GER
173,Julian Malatini,SV Werder Bremen,1.0,0.0,602,11,ARG
173,Karim Onisiwo,1. FSV Mainz 05,1.0,0.0,1496,24,AUT
173,Kevin Kampl,RB Leipzig,1.0,0.0,1360,26,SVN
173,Kouadio Koné,Borussia Mönchengladbach,1.0,0.0,1565,22,FRA
173,Lennard Maloney,1. FC Heidenheim 1846,1.0,0.0,2292,29,USA
173,Leonardo Bittencourt,SV Werder Bremen,1.0,0.0,1585,29,GER
173,Leonidas Stergiou,VfB Stuttgart,1.0,0.0,587,15,SUI
173,Linton Maina,FC Köln,1.0,0.0,1904,31,GER
173,Lovro Zvonarek,Bayern München,1.0,0.0,160,5,CRO
173,Luca Pfeiffer,SV Darmstadt,1.0,0.0,1625,24,GER
173,Lukas Daschner,VfL Bochum,1.0,0.0,525,20,GER
173,Lukas Klostermann,RB Leipzig,1.0,0.0,1433,25,GER
173,Lukas Kübler,SC Freiburg,1.0,0.0,1848,26,GER
173,Lukas Nmecha,VfL Wolfsburg,1.0,0.0,39,3,GER
173,Mads Valentin Pedersen,FC Augsburg,1.0,0.0,1783,27,DEN
173,Mahmoud Dahoud,VfB Stuttgart,1.0,0.0,217,13,SYR
173,Manuel Gulde,SC Freiburg,1.0,0.0,2048,27,GER
173,Marco Friedl,SV Werder Bremen,1.0,0.0,2198,25,AUT
173,Marco Richter,1. FSV Mainz 05,1.0,0.0,713,20,GER
173,Marius Bülter,TSG Hoffenheim,1.0,0.0,1346,30,GER
173,Matej Maglica,SV Darmstadt,1.0,0.0,1701,26,CRO
173,Mathias Honsak,SV Darmstadt,1.0,0.0,1013,23,AUT
173,Matthias Bader,SV Darmstadt,1.0,0.0,1807,24,GER
173,Mattias Svanberg,VfL Wolfsburg,1.0,0.0,1725,25,SWE
173,Matus Bero,VfL Bochum,1.0,0.0,1665,24,SVK
173,Max Finkgrafe,FC Köln,1.0,0.0,1756,24,GER
173,Maximilian Bauer,FC Augsburg,1.0,0.0,808,14,GER
173,Maximilian Eggestein,SC Freiburg,1.0,0.0,2918,33,GER
173,Maximilian Philipp,SC Freiburg,1.0,0.0,311,17,GER
173,Mert Kömür,FC Augsburg,1.0,0.0,116,4,TUR
173,Mikkel Kaufmann,1. FC Union Berlin,1.0,0.0,479,18,DEN
173,Milos Pantovic,1. FC Union Berlin,1.0,0.0,14,1,SRB
173,Min-Jae Kim,Bayern München,1.0,0.0,1970,25,KOR
173,Nacho Ferri,Eintracht Frankfurt,1.0,0.0,68,8,ESP
173,Nadiem Amiri,1. FSV Mainz 05,1.0,0.0,1401,23,GER
173,Nicolas Höfler,SC Freiburg,1.0,0.0,2332,28,GER
