Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
95,Matthias Bader,SV Darmstadt,2.1,37.8,1807,24,GER
96,Niels Nkounkou,Eintracht Frankfurt,2.1,35.7,1301,29,FRA
97,Marius Wolf,Borussia Dortmund,2.1,35.1,1161,22,GER
98,Ellyes Skhiri,Eintracht Frankfurt,2.0,45.8,2169,27,TUN
99,Florian Kainz,FC Köln,2.0,39.7,2210,33,AUT
99,Manuel Gulde,SC Freiburg,2.0,39.7,2048,27,GER
101,Leart Paqarada,FC Köln,2.0,35.3,1073,17,KVX
102,Kevin Kampl,RB Leipzig,1.9,58.0,1360,26,SVN
103,Arne Engels,FC Augsburg,1.9,56.9,1398,32,BEL
104,Marco Richter,1. FSV Mainz 05,1.9,55.6,713,20,GER
105,Maximilian Mittelstaedt,VfB Stuttgart,1.9,55.0,2104,31,GER
106,Niklas Dorsch,FC Augsburg,1.9,51.7,1387,21,GER
107,Silvan Widmer,1. FSV Mainz 05,1.9,50.0,1243,20,SUI
108,Ko Itakura,Borussia Mönchengladbach,1.9,44.0,1598,20,JPN
109,Sebastiaan Bornauw,VfL Wolfsburg,1.9,37.0,1431,20,BEL
110,Xavi Simons,RB Leipzig,1.8,68.4,2673,32,NED
111,Jonathan Tah,Bayer 04 Leverkusen,1.8,60.2,2632,31,GER
112,Julian Justvan,SV Darmstadt,1.8,58.3,1069,18,GER
113,Amadou Haidara,RB Leipzig,1.8,56.4,1537,21,MLI
114,Odilon Kossounou,Bayer 04 Leverkusen,1.8,53.6,1812,22,CIV
115,Fabian Nürnberger,SV Darmstadt,1.8,51.7,1519,21,GER
116,Mario Götze,Eintracht Frankfurt,1.8,50.0,2075,30,GER
117,Salih Özcan,Borussia Dortmund,1.8,46.9,1179,23,TUR
118,Marius Bülter,TSG Hoffenheim,1.8,42.9,1346,30,GER
119,Keven Schlotterbeck,VfL Bochum,1.8,41.0,2184,27,GER
120,Sepp van den Berg,1. FSV Mainz 05,1.8,40.0,2838,33,NED
121,Moritz Jenz,VfL Wolfsburg,1.8,36.5,1745,22,GER
122,Benno Schmitz,FC Köln,1.8,35.4,1154,22,GER
