Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
145,Yannick Gerhardt,VfL Wolfsburg,1.8,1.0,1635,25,GER
147,Gian-Luca Waldschmidt,FC Köln,1.8,0.0,1151,22,GER
147,Nick Woltemade,SV Werder Bremen,1.8,0.0,1182,30,GER
149,Ian Maatsen,Borussia Dortmund,1.7,2.0,1269,16,NED
149,Jakub Kaminski,VfL Wolfsburg,1.7,2.0,465,17,POL
149,Silas Katompa Mvumpa,VfB Stuttgart,1.7,2.0,890,27,COD
152,Aurelio Buta,Eintracht Frankfurt,1.7,1.0,1744,30,POR
152,Josip Stanisic,Bayer 04 Leverkusen,1.7,1.0,1257,20,CRO
152,Ozan Kabak,TSG Hoffenheim,1.7,1.0,2290,28,TUR
155,Ivan Ordets,VfL Bochum,1.7,0.0,1879,24,UKR
155,Kevin Sessa,1. FC Heidenheim 1846,1.7,0.0,1001,30,GER
157,Aissa Laidouni,1. FC Union Berlin,1.6,3.0,1064,23,TUN
157,Woo-Yeong Jeong,VfB Stuttgart,1.6,3.0,618,26,KOR
159,Willian Pacho,Eintracht Frankfurt,1.6,2.0,2970,33,ECU
160,Amadou Haidara,RB Leipzig,1.6,1.0,1537,21,MLI
160,Christoph Baumgartner,RB Leipzig,1.6,1.0,1149,32,AUT
160,Karim Adeyemi,Borussia Dortmund,1.6,1.0,911,21,GER
160,Kilian Sildillia,SC Freiburg,1.6,1.0,1804,27,FRA
160,Sheraldo Becker,1. FC Union Berlin,1.6,1.0,649,11,SUR
165,Jeffrey Gouweleeuw,FC Augsburg,1.6,0.0,2594,30,NED
165,Ludovic Ajorque,1. FSV Mainz 05,1.6,0.0,1355,26,FRA
165,Max Finkgrafe,FC Köln,1.6,0.0,1756,24,GER
165,Patrik Schick,Bayer 04 Leverkusen,1.6,0.0,1064,20,CZE
169,Joseph Scally,Borussia Mönchengladbach,1.5,4.0,2236,31,USA
170,Marvin Pieringer,1. FC Heidenheim 1846,1.5,3.0,1520,31,GER
170,Waldemar Anton,VfB Stuttgart,1.5,3.0,2888,33,GER
172,Hugo Ekitike,Eintracht Frankfurt,1.5,2.0,717,14,FRA
172,Marvin Mehlem,SV Darmstadt,1.5,2.0,1491,20,GER
172,Matthias Ginter,SC Freiburg,1.5,2.0,1918,23,GER
175,Hugo Larsson,Eintracht Frankfurt,1.5,1.0,1885,29,SWE
175,Norman Theuerkauf,1. FC Heidenheim 1846,1.5,1.0,1257,25,GER
177,Julian Chabot,FC Köln,1.5,0.0,2707,32,GER
177,Kevin Kampl,RB Leipzig,1.5,0.0,1360,26,SVN
177,Odilon Kossounou,Bayer 04 Leverkusen,1.5,0.0,1812,22,CIV
180,Julian Weigl,Borussia Mönchengladbach,1.4,3.0,2766,31,GER
181,Eric Maxim Choupo-Moting,Bayern München,1.4,2.0,703,27,CMR
181,Fabian Holland,SV Darmstadt,1.4,2.0,1847,23,GER
181,Jan Schöppner,1. FC Heidenheim 1846,1.4,2.0,2000,26,GER
181,Josha Vagnoman,VfB Stuttgart,1.4,2.0,1181,18,GER
185,Edmond Tapsoba,Bayer 04 Leverkusen,1.4,1.0,2084,28,BFA
186,Benedict Hollerbach,1. FC Union Berlin,1.4,0.0,1283,28,GER
186,Felix Agu,SV Werder Bremen,1.4,0.0,1621,24,GER
186,Jonas Föhrenbach,1. FC Heidenheim 1846,1.4,0.0,2790,33,GER
186,Mats Hummels,Borussia Dortmund,1.4,0.0,1581,25,GER
190,Michael Gregoritsch,SC Freiburg,1.3,4.0,1684,32,AUT
191,Karim Onisiwo,1. FSV Mainz 05,1.3,3.0,1496,24,AUT
192,Benjamin Sesko,RB Leipzig,1.3,2.0,1528,31,SVN
192,Emre Can,Borussia Dortmund,1.3,2.0,1956,25,GER
192,Philipp Hofmann,VfL Bochum,1.3,2.0,1576,29,GER
195,Danny da Costa,1. FSV Mainz 05,1.3,1.0,826,19,GER
195,Lennard Maloney,1. FC Heidenheim 1846,1.3,1.0,2292,29,USA
195,Maxence Lacroix,VfL Wolfsburg,1.3,1.0,2364,28,FRA
195,Olivier Deman,SV Werder Bremen,1.3,1.0,1359,29,BEL
199,Bernardo,VfL Bochum,1.3,0.0,2924,33,BRA
199,Elvis Rexhbecaj,FC Augsburg,1.3,0.0,1994,25,GER
199,Felix Uduokhai,FC Augsburg,1.3,0.0,2922,33,GER
202,Adam Hlozek,Bayer 04 Leverkusen,1.2,3.0,451,23,CZE
202,Senne Lynen,SV Werder Bremen,1.2,3.0,1791,32,BEL
204,Anthony Rouault,VfB Stuttgart,1.2,2.0,1008,22,FRA
204,Felix Nmecha,Borussia Dortmund,1.2,2.0,1016,20,GER
204,Felix Passlack,VfL Bochum,1.2,2.0,966,15,GER
207,Janik Haberer,1. FC Union Berlin,1.2,1.0,1223,21,GER
207,Lukas Daschner,VfL Bochum,1.2,1.0,525,20,GER
209,Dominik Kohr,1. FSV Mainz 05,1.2,0.0,2190,31,GER
209,Jan Thielmann,FC Köln,1.2,0.0,1588,22,GER
211,Maximilian Wöber,Borussia Mönchengladbach,1.1,3.0,2070,25,AUT
212,Sargis Adamyan,FC Köln,1.1,2.0,797,20,ARM
213,Benedikt Gimber,1. FC Heidenheim 1846,1.1,1.0,2026,24,GER
213,Benno Schmitz,FC Köln,1.1,1.0,1154,22,GER
213,Florian Pick,1. FC Heidenheim 1846,1.1,1.0,315,22,GER
213,Keven Schlotterbeck,VfL Bochum,1.1,1.0,2184,27,GER
213,Leandro Barreiro,1. FSV Mainz 05,1.1,1.0,2606,31,LUX
213,Stefan Lainer,Borussia Mönchengladbach,1.1,1.0,749,15,AUT
219,Giovanni Reyna,Borussia Dortmund,1.1,0.0,271,11,USA
220,Luca Pfeiffer,SV Darmstadt,1.0,3.0,1625,24,GER
221,András Schäfer,1. FC Union Berlin,1.0,2.0,1218,20,HUN
221,Anthony Losilla,VfL Bochum,1.0,2.0,2586,31,FRA
221,Christoph Klarer,SV Darmstadt,1.0,2.0,2356,30,AUT
221,Jonathan Burkardt,1. FSV Mainz 05,1.0,2.0,1541,21,GER
225,Attila Szalai,SC Freiburg,1.0,0.0,390,7,HUN
225,Danilho Doekhi,1. FC Union Berlin,1.0,0.0,2160,24,NED
225,Matej Maglica,SV Darmstadt,1.0,0.0,1701,26,CRO
225,Timo Hübers,FC Köln,1.0,0.0,2779,31,GER
229,Moritz Broschinski,VfL Bochum,0.9,2.0,1242,26,GER
229,Piero Hincapié,Bayer 04 Leverkusen,0.9,2.0,1484,26,ECU
231,Cristian Gamboa,VfL Bochum,0.9,1.0,1187,22,CRC
231,Jonathan Tah,Bayer 04 Leverkusen,0.9,1.0,2632,31,GER
231,Kristijan Jakic,FC Augsburg,0.9,1.0,1253,18,CRO
231,Milos Veljkovic,SV Werder Bremen,0.9,1.0,1921,23,SRB
231,Sebastien Haller,Borussia Dortmund,0.9,1.0,389,14,CIV
231,Takuma Asano,VfL Bochum,0.9,1.0,2003,29,JPN
231,Tiago Tomás,VfL Wolfsburg,0.9,1.0,1029,26,POR
238,Anthony Jung,SV Werder Bremen,0.9,0.0,2583,31,GER
238,Dayot Upamecano,Bayern München,0.9,0.0,1763,25,FRA
238,Leonidas Stergiou,VfB Stuttgart,0.9,0.0,587,15,SUI
238,Lukas Klostermann,RB Leipzig,0.9,0.0,1433,25,GER
238,Mahmoud Dahoud,VfB Stuttgart,0.9,0.0,217,13,SYR
238,Ramy Bensebaini,Borussia Dortmund,0.9,0.0,1030,17,ALG
238,Rogério,VfL Wolfsburg,0.9,0.0,906,13,BRA
238,Thomas Meunier,Borussia Dortmund,0.9,0.0,588,8,BEL
246,Tom Bischof,TSG Hoffenheim,0.8,2.0,169,13,GER
246,Tom Krauss,1. FSV Mainz 05,0.8,2.0,1339,29,GER
248,David Jurasek,TSG Hoffenheim,0.8,1.0,490,13,CZE
248,Eric Martel,FC Köln,0.8,1.0,2464,30,GER
248,Nikola Dovedan,1. FC Heidenheim 1846,0.8,1.0,646,21,AUT
248,Stefan Schimmer,1. FC Heidenheim 1846,0.8,1.0,141,16,GER
248,Sven Michel,FC Augsburg,0.8,1.0,574,22,GER
248,Tomas Cvancara,Borussia Mönchengladbach,0.8,1.0,892,21,CZE
254,Castello Lukeba,RB Leipzig,0.8,0.0,2185,32,FRA
254,Denis Thomalla,1. FC Heidenheim 1846,0.8,0.0,432,21,GER
254,Dion Drena Beljo,FC Augsburg,0.8,0.0,562,26,CRO
254,Erhan Masovic,VfL Bochum,0.8,0.0,2218,29,SRB
254,Klaus Gjasula,SV Darmstadt,0.8,0.0,1366,22,ALB
254,Kouadio Koné,Borussia Mönchengladbach,0.8,0.0,1565,22,FRA
254,Philipp Förster,VfL Bochum,0.8,0.0,378,13,GER
254,Salih Özcan,Borussia Dortmund,0.8,0.0,1179,23,TUR
254,Willi Orban,RB Leipzig,0.8,0.0,1583,19,HUN
263,Denis Huseinbasic,FC Köln,0.7,3.0,1627,26,BIH
264,Yorbe Vertessen,1. FC Union Berlin,0.7,2.0,593,13,BEL
265,Mark Uth,FC Köln,0.7,1.0,369,11,GER
265,Mathias Honsak,SV Darmstadt,0.7,1.0,1013,23,AUT
265,Nicolas Höfler,SC Freiburg,0.7,1.0,2332,28,GER
265,Patrick Osterhage,VfL Bochum,0.7,1.0,1863,24,GER
269,Dan-Axel Zagadou,VfB Stuttgart,0.7,0.0,1453,19,FRA
269,Diogo Leite,1. FC Union Berlin,0.7,0.0,2708,32,POR
269,Dominique Heintz,FC Köln,0.7,0.0,565,12,GER
269,Faride Alidou,FC Köln,0.7,0.0,1284,26,GER
269,Finn Becker,TSG Hoffenheim,0.7,0.0,596,22,GER
269,Jessic Ngankam,1. FSV Mainz 05,0.7,0.0,450,22,GER
269,Steffen Tigges,FC Köln,0.7,0.0,715,25,GER
269,Youssoufa Moukoko,Borussia Dortmund,0.7,0.0,614,20,GER
277,Adrian Beck,1. FC Heidenheim 1846,0.6,1.0,971,23,GER
277,Goncalo Paciencia,VfL Bochum,0.6,1.0,645,19,POR
277,Jérome Roussillon,1. FC Union Berlin,0.6,1.0,743,23,FRA
277,Oscar Vilhelmsson,SV Darmstadt,0.6,1.0,1375,26,SWE
277,Patric Pfeiffer,FC Augsburg,0.6,1.0,509,11,GER
282,Aaron Seydel,SV Darmstadt,0.6,0.0,615,16,GER
282,Aymen Barkok,1. FSV Mainz 05,0.6,0.0,312,13,MAR
282,Dawid Kownacki,SV Werder Bremen,0.6,0.0,366,22,POL
282,Donny van de Beek,Eintracht Frankfurt,0.6,0.0,357,8,NED
282,Florent Muslija,SC Freiburg,0.6,0.0,97,10,KVX
282,Kevin Vogt,1. FC Union Berlin,0.6,0.0,2643,32,GER
282,Ko Itakura,Borussia Mönchengladbach,0.6,0.0,1598,20,JPN
282,Lukas Kübler,SC Freiburg,0.6,0.0,1848,26,GER
282,Matthijs de Ligt,Bayern München,0.6,0.0,1389,22,NED
282,Niklas Süle,Borussia Dortmund,0.6,0.0,1509,23,GER
282,Patrick Mainka,1. FC Heidenheim 1846,0.6,0.0,3060,34,GER
282,Philipp Lienhart,SC Freiburg,0.6,0.0,1265,15,AUT
282,Robin Koch,Eintracht Frankfurt,0.6,0.0,2740,31,GER
295,Min-Jae Kim,Bayern München,0.5,1.0,1970,25,KOR
295,Moritz Jenz,VfL Wolfsburg,0.5,1.0,1745,22,GER
295,Noah Mbamba,Bayer 04 Leverkusen,0.5,1.0,14,3,BEL
295,Sebastian Polter,SV Darmstadt,0.5,1.0,444,9,GER
299,Alex Kral,1. FC Union Berlin,0.5,0.0,1365,24,CZE
299,Amos Pieper,SV Werder Bremen,0.5,0.0,591,7,GER
299,Fraser Hornby,SV Darmstadt,0.5,0.0,214,7,SCO
299,Jordy Makengo,SC Freiburg,0.5,0.0,1022,20,FRA
299,Manuel Gulde,SC Freiburg,0.5,0.0,2048,27,GER
299,Marnon-Thomas Busch,1. FC Heidenheim 1846,0.5,0.0,592,16,GER
299,Rani Khedira,1. FC Union Berlin,0.5,0.0,1350,20,GER
299,Sebastian Rode,Eintracht Frankfurt,0.5,0.0,57,8,GER
307,Arthur,Bayer 04 Leverkusen,0.4,2.0,184,4,BRA
307,Nicolas Seiwald,RB Leipzig,0.4,2.0,708,21,AUT
309,Christian Kühlwetter,1. FC Heidenheim 1846,0.4,1.0,7,1,GER
309,Emil Forsberg,RB Leipzig,0.4,1.0,460,14,SWE
309,Nico Elvedi,Borussia Mönchengladbach,0.4,1.0,2485,30,SUI
312,Borja Iglesias,Bayer 04 Leverkusen,0.4,0.0,252,7,ESP
312,Bryan Zaragoza,Bayern München,0.4,0.0,178,7,ESP
312,Christoph Kramer,Borussia Mönchengladbach,0.4,0.0,240,14,GER
312,Eljif Elmas,RB Leipzig,0.4,0.0,256,14,MKD
312,Eric Dier,Bayern München,0.4,0.0,1166,15,ENG
312,Jens Petter Hauge,Eintracht Frankfurt,0.4,0.0,138,10,NOR
312,Kevin Akpoguma,TSG Hoffenheim,0.4,0.0,1095,17,NGA
312,Lucas Tousart,1. FC Union Berlin,0.4,0.0,1573,23,FRA
312,Manuel Riemann,VfL Bochum,0.4,0.0,2970,33,GER
312,Maximilian Philipp,SC Freiburg,0.4,0.0,311,17,GER
312,Mikkel Kaufmann,1. FC Union Berlin,0.4,0.0,479,18,DEN
312,Robin Knoche,1. FC Union Berlin,0.4,0.0,1916,24,GER
312,Sepp van den Berg,1. FSV Mainz 05,0.4,0.0,2838,33,NED
312,Tim Oermann,VfL Bochum,0.4,0.0,709,16,GER
312,Tim Siersleben,1. FC Heidenheim 1846,0.4,0.0,909,14,GER
327,Bartol Franjic,SV Darmstadt,0.3,1.0,1232,20,CRO
327,Christian Gross,SV Werder Bremen,0.3,1.0,792,20,GER
329,Aster Vranckx,VfL Wolfsburg,0.3,0.0,1143,24,BEL
329,Cedric Zesiger,VfL Wolfsburg,0.3,0.0,1634,23,SUI
329,Christoph Zimmermann,SV Darmstadt,0.3,0.0,1216,19,GER
329,Clemens Riedel,SV Darmstadt,0.3,0.0,754,14,GER
329,David Datro Fofana,1. FC Union Berlin,0.3,0.0,687,12,CIV
329,Davie Selke,FC Köln,0.3,0.0,1271,19,GER
329,Gerrit Holtmann,SV Darmstadt,0.3,0.0,388,10,PHI
329,John Anthony Brooks,TSG Hoffenheim,0.3,0.0,1539,21,USA
329,Kilian Fischer,VfL Wolfsburg,0.3,0.0,292,6,GER
329,Lovro Zvonarek,Bayern München,0.3,0.0,160,5,CRO
329,Marco Friedl,SV Werder Bremen,0.3,0.0,2198,25,AUT
329,Niklas Dorsch,FC Augsburg,0.3,0.0,1387,21,GER
329,Patrick Wimmer,VfL Wolfsburg,0.3,0.0,594,14,AUT
329,Pep Biel,FC Augsburg,0.3,0.0,274,11,ESP
329,Stanley N'Soki,TSG Hoffenheim,0.3,0.0,632,11,FRA
329,Stefan Bell,1. FSV Mainz 05,0.3,0.0,669,10,GER
329,Tim Breithaupt,FC Augsburg,0.3,0.0,625,16,GER
346,Josuha Guilavogui,1. FSV Mainz 05,0.2,1.0,407,11,FRA
346,Kjell Wätjen,Borussia Dortmund,0.2,1.0,104,2,GER
348,Amin Sarr,VfL Wolfsburg,0.2,0.0,377,14,SWE
348,Chris Bedia,1. FC Union Berlin,0.2,0.0,139,7,CIV
348,Fabio Carvalho,RB Leipzig,0.2,0.0,158,9,POR
348,Fabio Chiarodia,Borussia Mönchengladbach,0.2,0.0,149,7,ITA
348,Finn Dahmen,FC Augsburg,0.2,0.0,2790,31,GER
348,Jannik Müller,SV Darmstadt,0.2,0.0,1133,16,GER
348,Julian Malatini,SV Werder Bremen,0.2,0.0,602,11,ARG
348,Justin Diehl,FC Köln,0.2,0.0,165,7,GER
348,Makoto Hasebe,Eintracht Frankfurt,0.2,0.0,217,8,JPN
348,Marcel Schuhen,SV Darmstadt,0.2,0.0,2790,31,GER
348,Marvin Schwäbe,FC Köln,0.2,0.0,3060,34,GER
348,Mathias Olesen,FC Köln,0.2,0.0,107,6,LUX
348,Mergim Berisha,TSG Hoffenheim,0.2,0.0,263,8,GER
348,Merveille Papela,1. FSV Mainz 05,0.2,0.0,253,11,GER
348,Nicolas Cozza,VfL Wolfsburg,0.2,0.0,278,6,FRA
348,Niklas Stark,SV Werder Bremen,0.2,0.0,1086,17,GER
348,Noah Atubolu,SC Freiburg,0.2,0.0,3060,34,GER
348,Robert Gumny,FC Augsburg,0.2,0.0,477,13,POL
348,Yannik Keitel,SC Freiburg,0.2,0.0,921,15,GER
367,Moritz-Broni Kwarteng,VfL Bochum,0.1,1.0,275,11,GER
367,Oliver Baumann,TSG Hoffenheim,0.1,1.0,3060,34,GER
367,Paxten Aaronson,Eintracht Frankfurt,0.1,1.0,95,7,USA
